"Back","戻る"
"Backup Log Details","バックアップログの詳細"
"Create","作成"
"Requested system report has no data to output.","要求されたシステムレポートに出力するデータがありません。"
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","システムレポートを削除してもよろしいですか？"
"Download","ダウンロード"
"Go to Top","トップへ"
"Report","レポート"
"System Report Information","システムレポート情報"
"Requested system report has no data to display.","要求されたシステムレポートに表示するデータがありません。"
"Output path %1 doesn't exist","出力先ディレクトリ %1 が存在しません"
"Unknown DB param: %1","不明なDBパラメータ: %1"
"Paths file already exists","パスファイルは既に存在します"
"Paths file cannot be created","パスファイルを作成できません"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","合計 %1 レコードが削除されました。"
"Support","サポート"
"Data Collector","データコレクタ"
"The backup has been saved.","バックアップが保存されました。"
"Failed to save backup with error: %1","エラーのあるバックアップを保存できませんでした: %1"
"An error occurred while saving backup","バックアップの保存中にエラーが発生しました"
"All processes should be complete","All processes should be complete"
"Wrong param id","間違ったparam id"
"The backup has been deleted.","バックアップが削除されました。"
"Cannot delete backup","バックアップを削除できません"
"File does not exist","ファイルは存在しません"
"Log Details","ログの詳細"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","データコレクタバックアップの一括削除中にエラーが発生しました。ログを確認してもう一度お試しください。"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","選択した後、 ""作成"" ボタンをクリックします。その後、システムレポートが生成されている間待機します。これには数分かかることがあります。この手順が完了すると、通知が届きます。"
"Create System Report","システムレポートの作成"
"Unable to find a system report to delete.","削除するシステムレポートを見つけることができません。"
"The system report has been deleted.","システムレポートが削除されました。"
"An error occurred while deleting the system report. Please review log and try again.","システムレポートの削除中にエラーが発生しました。ログを確認してもう一度お試しください。"
"Requested system report no longer exists.","要求されたシステムレポートは存在しません。"
"Unable to read system report data to display.","表示するシステムレポートデータを読み取ることができません。"
"No groups were specified to generate system report.","システムレポートを生成するグループは指定されていません。"
"The system report has been generated.","システムレポートが生成されました。"
"An error occurred while the system report was being created. Please review the log and try again.","システムレポートの作成中にエラーが発生しました。ログを確認してもう一度お試しください。"
"System Reports","システムレポート"
"An error occurred during mass deletion of system reports. Please review log and try again.","システムレポートの一括削除中にエラーが発生しました。ログを確認してもう一度お試しください。"
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","サポートモジュールは %s オペレーションシステムをサポートしていません"
"Unable to create backup due to php exec function is disabled","PHP exe機能が無効のためにバックアップを作成することができません"
"Incomplete","未完了"
"Complete","完了"
"Failed","失敗"
"Directory %s should have writable & readable permissions","ディレクトリ%sには書き込みと読み込み権限が必要です"
"Windows","ウィンドウズ"
"OS X","OS X"
"Unknown Status","不明なステータス"
"Processing ...","処理中..."
"(now)","(現在)"
"[%1 minutes ago]","[%1 分前]"
"[%1 hours ago]","[%1 時間前]"
"[%1 days ago]","[%1 日前]"
"[%1 weeks ago]","[%1 週間前]"
"[%1 months ago]","[%1 ヶ月前]"
"[%1 years ago]","[%1 年前]"
"And more...","さらに見る"
"Column %1","列 %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","システムレポートデータの準備：検出された単一行モードですが、データが不完全である可能性があります。"
"Yes","Yes"
"No","No"
"All Eav Attributes","すべてのEav属性"
"Category Eav Attributes","カテゴリEav属性"
"Customer Address Eav Attributes","顧客アドレス属性"
"Customer Eav Attributes","顧客のEav属性"
"Entity Types","エンティティタイプ"
"ID","ID"
"Code","コード"
"Model","モデル"
"Attribute Model","属性モデル"
"Increment Model","インクリメントモデル"
"Main Table","メインテーブル"
"Additional Attribute Table","追加の属性テーブル"
"New Eav Attributes","新しいEav属性"
"Product Eav Attributes","製品Eav属性"
"Rma Item Eav Attributes","RmaアイテムEav属性"
"User Defined Eav Attributes","ユーザー定義のEav属性"
"Name","名前"
"Enabled","有効"
"Value","値"
"Scope","スコープ"
"Configuration","設定"
"Path","パス"
"Data from app/etc/env.php","app/etc/env.php　からのデータ"
"Title","タイトル"
"Group","グループ"
"Is Gateway","はゲートウェイです"
"Void","無効"
"For Checkout","チェックアウトの場合"
"For Multishipping","マルチシッピングの場合"
"Capture Online","オンライン計上"
"Partial Capture Online","部分キャプチャオンライン"
"Refund Online","払い戻しオンライン"
"Partial Refund Online","部分払い戻しオンライン"
"Capture Offline","オフライン計上"
"Partial Capture Offline","部分キャプチャオフライン"
"Refund Offline","オフラインで返金"
"Partial Refund Offline","一部払い戻しオフライン"
"Payments Functionality Matrix","支払い機能マトリックス"
"Payment Methods","支払方法"
"Shipping Methods","配送方法"
"Job Code","ジョブコード"
"Cron Expression","Cron式"
"Run Class","クラスを実行する"
"Run Method","メソッドを実行する"
"Group Code","グループコード"
"All Configurable Cron Jobs","すべての設定可能なCronジョブ"
"All Global Cron Jobs","すべてのグローバルCronジョブ"
"Cron Schedules List","Cronスケジュール一覧"
"Schedule Id","スケジュールID"
"Status","ステータス"
"Created At","作成日"
"Scheduled At","予定時刻"
"Executed At","実行時"
"Finished At","完了"
"Core Configurable Cron Jobs","コア設定可能なCronジョブ"
"Core Global Cron Jobs","コアグローバルCronジョブ"
"Cron Schedules by job code","ジョブコード別のCronスケジュール"
"Count","カウント"
"Cron Schedules by status code","ステータスコード別のCronスケジュール"
"Status Code","ステータスコード"
"Custom Configurable Cron Jobs","カスタム設定可能なCronジョブ"
