"Back","ආපසු"
"Backup Log Details","උපස්ථ ලොග් විස්තර"
"Create","නිර්මාණය කරන්න"
"Requested system report has no data to output.","ඉල්ලූ පද්ධති වාර්තාවේ ප්‍රතිදානය කිරීමට දත්ත නොමැත."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","ඔබට පද්ධති වාර්තාව මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Download","බාගත"
"Go to Top","ඉහළට යන්න"
"Report","වාර්තාව"
"System Report Information","පද්ධති වාර්තා තොරතුරු"
"Requested system report has no data to display.","ඉල්ලූ පද්ධති වාර්තාවේ සංදර්ශන කිරීමට දත්ත නොමැත."
"Output path %1 doesn't exist","ප්‍රතිදාන මාර්ගය %1 නොපවතී"
"Unknown DB param: %1","නොදන්නා DB පරාමිතිය: %1"
"Paths file already exists","මාර්ග ගොනුව දැනටමත් පවතී"
"Paths file cannot be created","මාර්ග ගොනුව සෑදිය නොහැක"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","මුළු වාර්තා(ය) %1 ක් මකා ඇත."
"Support","සහාය"
"Data Collector","දත්ත එකතු කරන්නා"
"The backup has been saved.","උපස්ථය සුරැකී ඇත."
"Failed to save backup with error: %1","දෝෂය සමඟ උපස්ථ සුරැකීමට අසමත් විය: %1"
"An error occurred while saving backup","උපස්ථය සුරැකීමේදී දෝෂයක් ඇති විය"
"All processes should be complete","All processes should be complete"
"Wrong param id","වැරදි පරාමිති id"
"The backup has been deleted.","උපස්ථය මකා ඇත."
"Cannot delete backup","උපස්ථය මකා දැමිය නොහැක"
"File does not exist","ගොනුව නොපවතී"
"Log Details","ලොග් විස්තර"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","දත්ත එකතු කරන්නාගේ උපස්ථ විශාල වශයෙන් මකා දැමීමේදී දෝෂයක් සිදු විය. කරුණාකර ලොගය සමාලෝචනය කර නැවත උත්සාහ කරන්න."
