"Back","Trở lại"
"Backup Log Details","Sao lưu Nhật ký chi tiết"
"Create","Tạo"
"Requested system report has no data to output.","Yêu cầu hệ thống báo cáo đã không có dữ liệu đầu ra."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc, %1"
"Are you sure you want to delete the system report?","Bạn có chắc bạn muốn xóa bỏ hệ thống báo cáo?"
"Download","Tải về"
"Go to Top","Về đầu trang"
"Report","Báo cáo"
"System Report Information","Hệ thống báo cáo thông tin"
"Requested system report has no data to display.","Yêu cầu hệ thống báo cáo đã không có dữ liệu để hiển thị."
"Output path %1 doesn't exist","Đường dẫn đầu ra %1 không tồn tại"
"Unknown DB param: %1","DB param Không rõ: %1"
"Paths file already exists","Đường dẫn tệp đã tồn tại"
"Paths file cannot be created","Đường dẫn tập tin không thể được tạo ra"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Tổng cộng %1 bản ghi (s) đã bị xóa."
"Support","Hỗ trợ"
"Data Collector","Thu thập dữ liệu"
"The backup has been saved.","Sao lưu đã được lưu."
"Failed to save backup with error: %1","Không thể lưu bản sao lưu với lỗi: %1"
"An error occurred while saving backup","Lỗi xuất hiện khi lưu bản sao lưu"
"All processes should be complete","All processes should be complete"
"Wrong param id","Sai param id"
"The backup has been deleted.","Sao lưu đã bị xóa."
"Cannot delete backup","Không thể xóa bản sao lưu"
"File does not exist","File không tồn tại"
"Log Details","Đăng nhập thông tin chi tiết"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Lỗi xuất hiện trong hàng loạt xoá dữ liệu sưu tập sao lưu. Xin vui lòng xem xét đăng nhập và thử lại."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Sau khi bạn chọn xong, hãy nhấp vào nút ""Tạo"". Sau đó chờ hệ thống báo cáo được tạo ra. Điều này có thể mất một vài phút. Bạn sẽ nhận được một thông báo khi hoàn tất bước này."
"Create System Report","Tạo hệ thống báo cáo"
"Unable to find a system report to delete.","Không thể tìm thấy một hệ thống báo cáo để xóa."
"The system report has been deleted.","Hệ thống báo cáo đã bị xóa."
"An error occurred while deleting the system report. Please review log and try again.","Lỗi xảy ra khi xóa báo cáo của hệ thống. Xin vui lòng xem xét đăng nhập và thử lại."
"Requested system report no longer exists.","Yêu cầu hệ thống báo cáo không còn tồn tại."
"Unable to read system report data to display.","Không thể đọc dữ liệu báo cáo của hệ thống để hiển thị."
"No groups were specified to generate system report.","Không có nhóm được chỉ định để tạo ra các hệ thống báo cáo."
"The system report has been generated.","Hệ thống báo cáo đã được tạo ra."
"An error occurred while the system report was being created. Please review the log and try again.","Lỗi xuất hiện khi hệ thống báo cáo đã được tạo ra. Xin vui lòng xem lại các bản ghi và thử lại."
"System Reports","Hệ thống báo cáo"
"An error occurred during mass deletion of system reports. Please review log and try again.","Lỗi xảy ra trong quá trình xóa lượng lớn hệ thống báo cáo. Xin vui lòng xem xét đăng nhập và thử lại."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Hỗ trợ Module không hỗ trợ hệ thống hoạt động %s"
"Unable to create backup due to php exec function is disabled","Không thể tạo sao lưu do chức năng php exec bị vô hiệu hóa"
"Incomplete","Không đầy đủ"
"Complete","Hoàn tất"
"Failed","Thất bại"
"Directory %s should have writable & readable permissions","Thư mục %s cần phải có quyền truy cập ghi & có thể đọc được"
"Windows","Cửa sổ"
"OS X","OS X"
"Unknown Status","Không rõ trạng thái"
"Processing ...","Đang xử lý ..."
"(now)","(bây giờ)"
"[%1 minutes ago]","[%1 phút trước]"
"[%1 hours ago]","[%1 giờ trước]"
"[%1 days ago]","[%1 ngày trước]"
"[%1 weeks ago]","[%1 tuần trước]"
"[%1 months ago]","[%1 tháng trước]"
"[%1 years ago]","[%1 năm trước]"
"And more...","Và nhiều hơn nữa..."
"Column %1","Cột %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Chuẩn bị hệ thống báo cáo dữ liệu: phát hiện chế độ hàng đơn nhưng dữ liệu có thể không đầy đủ."
"Yes","Có"
"No","Không"
