"Back","Voltar"
"Backup Log Details","Detalhes de Log de backup"
"Create","Criar"
"Requested system report has no data to output.","Relatório do sistema solicitado não possui dados de saída."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Deseja realmente excluir este relatório do sistema?"
"Download","Fazer Download"
"Go to Top","Ir para o topo"
"Report","Relatório"
"System Report Information","Informação de relatório de sistema"
"Requested system report has no data to display.","O relatório do sistema solicitado não possui dados a serem exibidos."
"Output path %1 doesn't exist","O caminho %1 não existe"
"Unknown DB param: %1","Parâmetro de BD desconhecido: %1"
"Paths file already exists","Caminhos de arquivo já existem"
"Paths file cannot be created","Não é possível criar caminho do ficheiro"
"Please select item(s).","Por favor, selecione o(s) item(s)."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"Support","Atendimento"
"Data Collector","Coletor de dados"
"The backup has been saved.","O backup foi salvo."
"Failed to save backup with error: %1","Falha ao salvar o backup com o erro: %1"
"An error occurred while saving backup","Ocorreu um erro ao salvar o backup"
"All processes should be complete","Todos os processos devem ser completos"
"Wrong param id","ID de parâmetro errado"
"The backup has been deleted.","O backup foi excluído."
"Cannot delete backup","Não é possível excluir backup"
"File does not exist","O arquivo não existe"
"Log Details","Detalhes do Log"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Ocorreu um erro durante a exclusão em massa de backups de coletor de dados. Por favor, revise o log e tente novamente."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Depois de fazer suas seleções, clique no botão ""Criar"". Então aguarde enquanto o Sistema de Relatório é gerado. Isto pode levar alguns minutos. Uma vez que essa etapa for concluída, você receberá uma notificação."
"Create System Report","Criar relatório de sistema"
"Unable to find a system report to delete.","Não é possível o relatório de sistema para excluir."
"The system report has been deleted.","O relatório de sistema foi excluído."
"An error occurred while deleting the system report. Please review log and try again.","Ocorreu um erro ao excluir o relatório de sistema. Por favor, revise o log e tente novamente."
"Requested system report no longer exists.","Relatório do sistema solicitado não existe mais."
"Unable to read system report data to display.","Não é possível ler dados de relatório do sistema para exibir."
"No groups were specified to generate system report.","Nenhum grupo foi especificado para gerar o relatório de sistema."
"The system report has been generated.","Foi gerado o relatório do sistema."
"An error occurred while the system report was being created. Please review the log and try again.","Ocorreu um erro ao excluir o relatório de sistema. Por favor, revise o log e tente novamente."
"System Reports","Relatórios do sistema"
"An error occurred during mass deletion of system reports. Please review log and try again.","Ocorreu um erro durante a exclusão em massa dos relatórios do sistema. Por favor, revise o log e tente novamente."
"Utility %1 not found","Utilitário %1 não encontrado"
"Unknown utility: %1","Utilidade desconhecida: %1"
"Cannot set root directory.","Não é possível definir o diretório raiz."
"Support Module doesn't support %s operation system","Módulo de Apoio não suporta o sistema de operação de %s"
"Unable to create backup due to php exec function is disabled","Não é possível criar backup devido a função php ""exec"" estar desabilitada"
"Incomplete","Incompleto"
"Complete","Finalizado"
