"Back","Retour"
"Backup Log Details","Modèle du front office"
"Create","Créer"
"Requested system report has no data to output.","Le rapport système demandé n'a aucune donnée à afficher."
"&copy; Magento Commerce Inc., %1","&copy; Commerce Magento Inc. , %1"
"Are you sure you want to delete the system report?","Êtes-vous sûr de vouloir supprimer ce rapport système ?"
"Download","Télécharger"
"Go to Top","Aller en haut"
"Report","Rapport"
"System Report Information","Informations de rapport système"
"Requested system report has no data to display.","Le rapport système demandé n'a aucune donnée à afficher."
"Output path %1 doesn't exist","Le chemin de sortie %1 n'existe pas"
"Unknown DB param: %1","Paramètre BDD inconnu : %1"
"Paths file already exists","Fichiers chemins existent déjà"
"Paths file cannot be created","Fichier chemins ne peut pas être créé"
"Please select item(s).","Sélectionnez des éléments."
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) a (ont) été effacé(s)."
"Support","Support"
"Data Collector","Collecteur de données"
"The backup has been saved.","La sauvegarde a été enregistrée."
"Failed to save backup with error: %1","Impossible d'enregistrer la sauvegarde avec erreur : %1"
"An error occurred while saving backup","Erreur lors de l'enregistrement de la sauvegarde"
"All processes should be complete","Tous les processus doivent être terminés"
"Wrong param id","Mauvaise Id de paramètre"
"The backup has been deleted.","La sauvegarde a été supprimée."
"Cannot delete backup","Impossible de supprimer la sauvegarde"
"File does not exist","Le fichier n’existe pas"
"Log Details","Détails du journal"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Une erreur est survenue lors de la suppression en masse des sauvegardes de collecteur de données. Voyez les journaux et ré-essayez."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Après avoir fait vos sélections, cliquez le bouton ""Créer"". Puis patientez pendant que le rapport système se génère. Cela va prendre quelques minutes. Vous recevrez une notification une fois cette étape terminée."
"Create System Report","Créer le rapport système"
"Unable to find a system report to delete.","Impossible de trouver un rapport système à supprimer."
"The system report has been deleted.","Le rapport système a été supprimé."
"An error occurred while deleting the system report. Please review log and try again.","Une erreur est survenue lors de la suppression du rapport système. Voyez le journal et essayez de nouveau."
"Requested system report no longer exists.","Le rapport système demandé n'existe plus."
"Unable to read system report data to display.","Impossible de lire les données du rapport système à afficher."
"No groups were specified to generate system report.","Aucun groupe a été spécifié pour générer le rapport système."
"The system report has been generated.","Le rapport système a été généré."
"An error occurred while the system report was being created. Please review the log and try again.","Une erreur s’est produite alors que le rapport du système était en cours de création. S’il vous plaît vérifiez le journal, puis réessayez."
"System Reports","Rapports système"
"An error occurred during mass deletion of system reports. Please review log and try again.","Une erreur s’est produite au cours de la suppression massive des rapports système. S’il vous plaît examinez le journal, puis réessayez."
"Utility %1 not found","Utilitaire %1 introuvable"
"Unknown utility: %1","Utilitaire inconnu : %1"
"Cannot set root directory.","Impossible de définir le répertoire racine."
"Support Module doesn't support %s operation system","Module de prise en charge ne supporte pas les système d’exploitation %s"
"Unable to create backup due to php exec function is disabled","Impossible de créer la sauvegarde à cause de php exec qui est désactivé"
"Incomplete","Incomplet"
"Complete","Terminée"
"Failed","Échec"
"Directory %s should have writable & readable permissions","Dossiers %s doivent disposer d’autorisations en écriture & lecture"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Statut inconnu"
"Processing ...","En cours de traitement ..."
"(now)","(maintenant)"
"[%1 minutes ago]","[il y a %1 minutes]"
"[%1 hours ago]","[il y a %1 heures]"
"[%1 days ago]","[il y a %1 jours]"
"[%1 weeks ago]","[il y a %1 semaines]"
"[%1 months ago]","[il y a %1 mois]"
"[%1 years ago]","[il y a %1 années]"
"And more...","Et bien plus encore..."
"Column %1","Colonne %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Préparation des données de rapport système : Mode ligne unique détecté mais les données peuvent être incomplètes."
"Yes","Oui"
"No","Non"
"All Eav Attributes","Tous les attributs Eav"
"Category Eav Attributes","Attributs Eav de catégorie"
"Customer Address Eav Attributes","Attributs d'adresse client Eav"
"Customer Eav Attributes","Attributs Eav client"
"Entity Types","Types d'entités"
"ID","Identifiant"
"Code","Code"
"Model","Modèle"
"Attribute Model","Modèle d'attribut"
"Increment Model","Modèle d'Incrément"
"Main Table","Table principale"
"Additional Attribute Table","Table d'attributs additionnelle"
"New Eav Attributes","Nouveaux Attributs Eav"
"Product Eav Attributes","Attributs Eav produit"
"Rma Item Eav Attributes","Attributs Eav article Rma"
"User Defined Eav Attributes","Attributs Eav définis par l'utilisateur"
"Name","Nom"
"Enabled","Activé"
"Value","Valeur"
"Scope","Portée"
"Configuration","Configuration"
"Path","Chemin"
"Data from app/etc/env.php","Données depuis app/etc/env.php"
"Title","Titre"
"Group","Groupe"
"Is Gateway","Est la passerelle"
"Void","Annuler"
"For Checkout","Pour le paiement"
"For Multishipping","Pour les envois multi-adresses"
"Capture Online","Capturer en ligne"
"Partial Capture Online","Capture partielle en ligne"
"Refund Online","Remboursement en ligne"
"Partial Refund Online","Remboursement partiel en ligne"
"Capture Offline","Capturer hors ligne"
"Partial Capture Offline","Capture partielle hors ligne"
"Refund Offline","Remboursement hors ligne"
"Partial Refund Offline","Remboursement partiel hors ligne"
"Payments Functionality Matrix","Matrix de fonction des paiements"
"Payment Methods","Modes de paiement"
"Shipping Methods","Modes de livraison"
"Job Code","Code du job"
"Cron Expression","Expression Cron"
"Run Class","Classe de lancement"
"Run Method","Méthode de lancement"
"Group Code","Code du groupe"
"All Configurable Cron Jobs","Toutes les tâches Cron configurables"
"All Global Cron Jobs","Toutes les tâches Cron"
"Cron Schedules List","Liste des tâches Cron planifiées"
"Schedule Id","Id de planification"
"Status","Statut"
"Created At","Créé à"
"Scheduled At","Planifié le"
"Executed At","Exécuté le"
"Finished At","Terminé le"
"Core Configurable Cron Jobs","Tâches Cron configurables du Core"
"Core Global Cron Jobs","Tâches Cron gobales du Core"
"Cron Schedules by job code","Tâches Cron planifiées par code de tâches"
"Count","Décompte"
"Cron Schedules by status code","Tâches Cron planifiées par code de statut"
"Status Code","Code du statut"
"Custom Configurable Cron Jobs","Tâches Cron configurables sur mesure"
"Custom Global Cron Jobs","Tâches Cron globales sur mesure"
"Errors in Cron Schedules Queue","Erreurs dans la file d'attente des tâches Cron programmées"
"Error","Erreur"
"Corrupted Categories Data","Données des catégories corrompues"
"Id","Id"
"Expected Children Count","Nombre d'éléments enfants attendus"
"Actual Children Count","Nombre d'éléments enfants réels"
"Expected Level","Niveau attendu"
"Actual Level","Niveau actuel"
"Duplicate Categories By URL Key","Dupliquer les catégories par clé URL"
"URL key","Clé d'URL"
"Store","Magasin"
"Duplicate Orders By Increment Id","Dupliquer les commandes par incrément Id"
"Increment Id","ID d'incrément"
"Customer Id","ID client"
"Duplicate Products By SKU","Dupliquer les produits par REF"
"SKU","REF"
"Duplicate Products By URL Key","Dupliquer les produits par clé URL"
"URL Key","Clé d'URL"
"Website","Site web""%s and greater"
"Duplicate Users By Email","Dupliquer les utilisateurs par email"
"Email","Email"
"Type","Type"
"Parent","Parent"
"Adminhtml Themes List","Liste des thèmes Adminhtml"
"Frontend Themes List","Liste des thèmes Frontend"
"Event Name","Nom de l'événement"
"Observer Class","Classe d'observeur"
"Method","Méthode"
"All Admin Events","Tous les événements Admin"
"All Crontab Events","Tous les événements Crontab"
"All Doc Events","Tous les événements Doc"
"All Frontend Events","Tous les événements Frontend"
"All Global events","Tous les événements globaux"
"All REST Events","Tous les événements REST"
"All SOAP Events","Tous les événements SOAP"
"Core Admin Events","Événements Admin Core"
"Core Crontab Events","Événements Crontab Core"
"Core Doc Events","Événements Doc Core"
"Core Frontend Events","Événements Frontend Core"
"Core Global Events","Événements Global Core"
"Core REST Events","Événements REST Core"
"Core SOAP Events","Événements SOAP Core"
"Custom Admin Events","Événements Admin personnalisés"
"Custom Crontab Events","Événements Crontab personnalisés"
"Custom Doc Events","Événements Doc personnalisés"
"Custom Frontend Events","Événements Frontend personnalisés"
"Custom Global Events","Événements globaux personnalisés"
"Custom REST Events","Événements REST personnalisés"
"Custom SOAP Events","Événements SOAP personnalisés"
"Log Files","Fichiers journaux"
"File","Fichier"
"Size","Taille"
"Log Entries","Entrées du journal"
"Last Update","Dernière mise à jour"
"Today's Top Debug Messages","Les meilleurs messages de débogage du jour"
"Message","Message"
"Last Occurrence","Dernière Occurrence"
"Today's Top Exception Messages","Les meilleurs messages d'exception du jour"
"Stack Trace","Trace de pile"
"Today's Top System Messages","Les meilleurs messages système du jour"
"Top Debug Messages","Top Messages de Debug"
"Top Exception Messages","Top Messages Exception"
"Top System Messages","Top Messages système"
"Store Views List","Liste des vues magasin"
"Stores List","Liste des magasins"
"Root Category","Catégorie racine"
"Default Store View","Vue magasin par défaut"
"Websites List","Liste des sites web"
"Is Default","Est par défaut"
"Default Store","Magasin par défaut"
"Websites Tree","Arborescence des sites web"
"There was an error while loading system report data.","Il y a eu une erreur lors du chargement des données du rapport système."
"General","Général"
"Environment","Environnement"
"Cannot save backup. The reason is: Utility lsof not found","Impossible d'enregistrer la sauvegarde. La raison est : l'utilitaire lsof n'a pas été trouvé"
"Test error","Erreur de test"
"Error message!","Message d’erreur !"
"User Defined","Défini par l'utilisateur"
"Entity Type Code","Code de type d'entité"
"Source Model","Modèle source"
"Backend Model","Modèle pour le back office"
"Frontend Model","Modèle du front office"
"text","texte"
"Show Log","Afficher journal"
"Delete","Supprimer"
"Delete ""%1""","Supprimer ""%1"""
"Are you sure you want to delete a ""%1"" record?","Êtes-vous certain(e) de vouloir supprimer l'enregistrement ""%1"" ?"
"View","Voir"
"Are you sure you wan't to delete a ""%1"" record?","Êtes-vous certain(e) de vouloir supprimer l'enregistrement ""%1"" ?"
"Empty log","Journal vide"
"Backup ID: ","ID de sauvegarde : "
"Collapse","Replier"
"Expand","Étendre"
" (no data)"," (aucune donnée)"
"Top","Haut"
"No data","Aucune donnée"
"Support Data Collector","Support de Collecteur de données"
"Support System Report","Rapport système de support"
"System Report","Rapport système"
"Data","Données"
"Modules","Modules"
"Logs","Journal d’activité (logs)"
"Attributes","Attributs"
"Events","Evènements"
"Cron","Tâches Cron"
"Design","Design"
"Stores","Magasins"
"New Backup","Nouvelle sauvegarde"
"Refresh Status","Actualiser le statut"
"Are you sure you want to delete selected item(s)?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"Delete items","Supprimer les éléments"
"Code Dump","Dump (sauvegarde) du code"
"DB Dump","Dump (sauvegarde) de la base de données"
"Choose Report Groups","Choisir les groupes de rapports"
"New Report","Nouveau rapport"
"Date Generated","Date de génération"
"Report Groups","Groupes de rapports"
"An item needs to be selected. Select and try again.","Un élément doit être sélectionné. Sélectionnez, puis réessayez."
"All processes should be completed.","Tous les processus doivent être terminés."
"The ""%1"" utility wasn't found. Verify the utility and try again.","L'utilitaire ""%1"" n'a pas été trouvé. Vérifiez l'utilitaire et réessayez."
"The ""%1"" utility is unknown. Verify the utility and try again.","L'utilitaire ""%1"" est inconnu. Vérifiez l'utilitaire et réessayez."
"The root category can't be set. Verify the category and try again.","La catégorie racine ne peut pas être définie. Vérifiez la catégorie et réessayez."
