"Back","رجوع"
"Backup Log Details","تفاصيل سجل النسخ الاحتياطي"
"Create","إنشاء"
"Requested system report has no data to output.","تقرير النظام المطلوب لا يحتوي على بيانات الإخراج."
"&copy; Magento Commerce Inc., %1","&copy; شركة التجارة الماجنتو، %1"
"Are you sure you want to delete the system report?","هل أنت متأكد من أنك تريد حذف هذا التقرير؟"
"Download","تحميل"
"Go to Top","الانتقال إلى الأعلى"
"Report","تقرير"
"System Report Information","تقرير معلومات النظام"
"Requested system report has no data to display.","تقرير النظام المطلوب لا يحتوي على بيانات لإظهارها."
"Output path %1 doesn't exist","Output path %1 doesn't exist"
"Unknown DB param: %1","Unknown DB param: %1"
"Paths file already exists","مسارات الملف موجوده مسبقاً"
"Paths file cannot be created","لا يمكن إنشاء ملف المسارات"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","عدد %1 سجلات تم حذفها."
"Support","دعم"
"Data Collector","أداة تجميع البيانات"
"The backup has been saved.","لقد تم حفظ النسخة الاحتياطية."
"Failed to save backup with error: %1","فشل في حفظ النسخة الاحتياطية بسبب الخطأ: %1"
"An error occurred while saving backup","حدث خطأ أثناء حفظ النسخ الاحتياطي"
"All processes should be complete","All processes should be complete"
"Wrong param id","Wrong param id"
"The backup has been deleted.","لقد تم حذف النسخ الاحتياطي."
"Cannot delete backup","لا يمكن حذف النسخ الاحتياطي"
"File does not exist","الملف غير موجود"
"Log Details","تفاصيل السجل"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","حدث خطأ أثناء الحذف الجماعي لجامع بيانات النسخ الاحتياطي. الرجاء مراجعة السجل ثم حاول مرة أخرى."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","بعد إجراء التحديدات، انقر فوق زر ""إنشاء"". ثم انتظر بينما يتم إنشاء ""التقرير النظام"". قد يستغرق هذا بضع دقائق. وسوف تتلقى إشعارا بمجرد الانتهاء من هذه الخطوة."
"Create System Report","إنشاء تقرير نظام"
"Unable to find a system report to delete.","لا يمكن العثور على تقرير النظام لحذفه."
"The system report has been deleted.","تم حذف تقرير النظام."
"An error occurred while deleting the system report. Please review log and try again.","حدث خطأ أثناء حذف تقرير النظام. الرجاء مراجعة السجل والمحاولة مرة أخرى."
"Requested system report no longer exists.","تقرير النظام المطلوب لم يعد موجوداً."
"Unable to read system report data to display.","غير قادر على قراءة بيانات تقرير النظام لعرضه."
"No groups were specified to generate system report.","لم يتم تحديد أية مجموعات لتوليد تقرير النظام."
"The system report has been generated.","تم إنشاء تقرير النظام."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"System Reports","System Reports"
"An error occurred during mass deletion of system reports. Please review log and try again.","An error occurred during mass deletion of system reports. Please review log and try again."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Support Module doesn't support %s operation system"
"Unable to create backup due to php exec function is disabled","Unable to create backup due to php exec function is disabled"
"Incomplete","Incomplete"
"Complete","تكملة"
"Failed","فشل"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","حالة غير معروفة"
"Processing ...","Processing ..."
"(now)","(now)"
"[%1 minutes ago]","[%1 minutes ago]"
"[%1 hours ago]","[قبل %1 ساعات]"
"[%1 days ago]","[قبل %1 يوم]"
"[%1 weeks ago]","[قبل %1 اسبوع]"
"[%1 months ago]","[قبل %1 شهر]"
"[%1 years ago]","[قبل %1 سنة]"
"And more...","And more..."
"Column %1","Column %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Yes","نعم"
"No","لا"
"All Eav Attributes","All Eav Attributes"
"Category Eav Attributes","Category Eav Attributes"
"Customer Address Eav Attributes","Customer Address Eav Attributes"
"Customer Eav Attributes","Customer Eav Attributes"
"Entity Types","Entity Types"
"ID","التعريف"
"Code","رمز"
"Model","Model"
"Attribute Model","موديل السمة"
"Increment Model","Increment Model"
"Main Table","Main Table"
"Additional Attribute Table","Additional Attribute Table"
"New Eav Attributes","New Eav Attributes"
"Product Eav Attributes","Product Eav Attributes"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"User Defined Eav Attributes","User Defined Eav Attributes"
"Name","اسم"
"Enabled","تفعيل"
"Value","قيمة"
"Scope","مدى"
"Configuration","الضبط"
"Path","المسار"
"Data from app/etc/env.php","Data from app/etc/env.php"
"Title","العنوان"
"Group","مجموعة"
"Is Gateway","Is Gateway"
"Void","Void"
"For Checkout","For Checkout"
"For Multishipping","For Multishipping"
"Capture Online","اسر داخل الشبكة"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Refund Online"
"Partial Refund Online","Partial Refund Online"
"Capture Offline","اسر خارج الشبكة"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","رد خارج الشبكة"
"Partial Refund Offline","Partial Refund Offline"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payment Methods","نظم الدفع"
"Shipping Methods","طريقة الشحن"
"Job Code","Job Code"
"Cron Expression","Cron Expression"
"Run Class","Run Class"
"Run Method","Run Method"
"Group Code","Group Code"
"All Configurable Cron Jobs","كل الـ Cron Jobs المخصصة"
"All Global Cron Jobs","All Global Cron Jobs"
"Cron Schedules List","Cron Schedules List"
"Schedule Id","Schedule Id"
"Status","الحاله"
"Created At","انشئة في "
"Scheduled At","Scheduled At"
"Executed At","Executed At"
"Finished At","الانتهاء في"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron Schedules by job code"
"Count","Count"
"Cron Schedules by status code","Cron Schedules by status code"
"Status Code","Status Code"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Error","خطأ"
"Corrupted Categories Data","Corrupted Categories Data"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Duplicate Categories By URL Key"
"URL key","URL key"
"Store","متجر"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Customer Id"
"Duplicate Products By SKU","Duplicate Products By SKU"
"SKU","رمز المنتج"
"Duplicate Products By URL Key","Duplicate Products By URL Key"
"URL Key","مفتاح URL"
"Website","الموقع"
"Duplicate Users By Email","Duplicate Users By Email"
"Email","البريد الإلكتروني"
"Type","النوع"
"Parent","Parent"
"Adminhtml Themes List","Adminhtml Themes List"
"Frontend Themes List","Frontend Themes List"
"Event Name","Event Name"
"Observer Class","Observer Class"
"Method","Method"
"All Admin Events","All Admin Events"
"All Crontab Events","All Crontab Events"
"All Doc Events","All Doc Events"
"All Frontend Events","All Frontend Events"
"All Global events","All Global events"
"All REST Events","All REST Events"
"All SOAP Events","All SOAP Events"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Log Files"
"File","ملف"
"Size","الحجم"
"Log Entries","Log Entries"
"Last Update","آخر تحديث"
