"Back","Terug"
"Backup Log Details","Back-uplogboek Details"
"Create","Creëren"
"Requested system report has no data to output.","Aangevraagd systeemverslag heeft geen data om weer te geven."
"&copy; Magento Commerce Inc., %1","© Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Bent u zeker dat u het systeemverslag wilt verwijderen?"
"Download","Downloads"
"Go to Top","Ga naar het begin"
"Report","Verslag"
"System Report Information","Systeemverslag informatie"
"Requested system report has no data to display.","Aangevraagd systeemverslag heeft geen data om weer te geven."
"Output path %1 doesn't exist","Output path %1 bestaat niet"
"Unknown DB param: %1","Onbekende DB param: %1"
"Paths file already exists","Paden bestand bestaan al"
"Paths file cannot be created","Paden bestand kan niet worden aangemaakt"
"Please select item(s).","Selecteer item(s)."
"A total of %1 record(s) have been deleted.","%1 record(s) verwijderd."
"Support","Ondersteuning"
"Data Collector","Gegevensverzamelaarset"
"The backup has been saved.","De back-up is opgeslagen."
"Failed to save backup with error: %1","Opslaan van de back-up mislukt met fout: %1"
"An error occurred while saving backup","Er is een fout opgetreden bij het opslaan van de backup"
"All processes should be complete","Alle processen moeten voltooid zijn"
"Wrong param id","Verkeerde param-id"
"The backup has been deleted.","De back-up is verwijderd."
"Cannot delete backup","Kan de back-up niet verwijderen"
"File does not exist","Bestand bestaat niet"
"Log Details","Loggegevens"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Er is een fout opgetreden tijdens massale verwijderin van datacollector back-ups. Controleer het logboek en probeer het opnieuw."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Nadat u uw selectie heeft gemaakt, klik op de ""Aanmaken"" knop. Oefen dan even geduld uit tijdens de systeem verslag generatie. Dit kan enkele minuten duren. U zal een melding ontvangen zodra deze stap is voltooid."
"Create System Report","Systeem rapport maken"
"Unable to find a system report to delete.","Kan geen systeemverslag vinden om te verwijderen."
"The system report has been deleted.","Het systeemverslag werd verwijderd."
"An error occurred while deleting the system report. Please review log and try again.","Er is een fout opgetreden tijdens het verwijderen van het systeemverslag. Controleer het fouten logboek en probeer opnieuw."
"Requested system report no longer exists.","Het opgevraagde systeemverslag bestaat niet meer."
"Unable to read system report data to display.","Kan het systeemverslag niet lezen en dus ook niet weergeven."
"No groups were specified to generate system report.","Er werden geen groepen opgegeven om een systeemverslag te genereren."
"The system report has been generated.","Het systeemverslag is gegenereerd."
"An error occurred while the system report was being created. Please review the log and try again.","Er is een fout opgetreden bij het maken van het systeemverslag. Controleer het logboek en probeer het opnieuw."
"System Reports","Systeem rapporten"
"An error occurred during mass deletion of system reports. Please review log and try again.","Er is een fout opgetreden tijdens het massa verwijderen van systeem rapportages. Controleer het logboek en probeer het opnieuw."
"Utility %1 not found","Hulpprogramma voor %1 niet gevonden"
"Unknown utility: %1","Onbekende nut: %1"
"Cannot set root directory.","Kan root-directory niet instellen."
"Support Module doesn't support %s operation system","Ondersteuningsmodule ondersteund geen %s besturingssysteem"
"Unable to create backup due to php exec function is disabled","Kan geen backup aanmaken omdat de php exec functie is uitgeschakeld"
"Incomplete","Onvolledig"
"Complete","Voltooid"
"Failed","Mislukt"
"Directory %s should have writable & readable permissions","Map %s moeten schrijf- en leesbevoegdheden hebben"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Onbekende status"
"Processing ...","Verwerken ..."
"(now)","(nu)"
"[%1 minutes ago]","[%1 minuten geleden]"
"[%1 hours ago]","[%1 uren geleden]"
"[%1 days ago]","[%1 dagen geleden]"
"[%1 weeks ago]","[%1 weken geleden]"
"[%1 months ago]","[%1 maanden geleden]"
"[%1 years ago]","[%1 jaar geleden]"
"And more...","En meer..."
"Column %1","Kolom %1"
