"Back","Назад"
"Backup Log Details","Резервна копија Лог Детаљи"
"Create","Креирај"
"Requested system report has no data to output.","Requested system report has no data to output."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Да ли сте сигурни желите да делете тхе сyстем репорт?"
"Download","Преузимање"
"Go to Top","Go to Top"
"Report","Извештај"
"System Report Information","Систем Репорт Информације"
"Requested system report has no data to display.","Requested system report has no data to display."
"Output path %1 doesn't exist","Оутпут патх %1 не постоји"
"Unknown DB param: %1","Непознат ДБ парам: %1"
"Paths file already exists","Paths file already exists"
"Paths file cannot be created","Патхс филе не може бе цреатед"
"Please select item(s).","Молимо изаберите итем(с)."
"A total of %1 record(s) have been deleted.","Укупно %1 запис(а) је уклоњено."
"Support","Подршка"
"Data Collector","Data Collector"
"The backup has been saved.","Тхе бацкуп је савед."
"Failed to save backup with error: %1","Неуспешно саве бацкуп wитх еррор: %1"
"An error occurred while saving backup","Дошло је до грешке wхиле савинг бацкуп"
"All processes should be complete","Све процессес схоулд бе цомплете"
"Wrong param id","Wrong param id"
"The backup has been deleted.","Тхе бацкуп је делетед."
"Cannot delete backup","Не може делете бацкуп"
"File does not exist","Датотека не постоји"
"Log Details","Лог Детаљи"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Дошло је до грешке дуринг масс делетион оф дата цоллецтор бацкупс. Плеасе ревиеw лог анд покушајте поново."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Након што направите свој избор, кликните на дугме ""Креирај"". Затим сачекајте док се Систем извештај генерише. Ово може потрајати неколико минута. Добићете обавештење када овај корак буде завршен."
"Create System Report","Креирај Систем Репорт"
"Unable to find a system report to delete.","Није могуће финд а сyстем репорт то делете."
"The system report has been deleted.","Тхе сyстем репорт је делетед."
"An error occurred while deleting the system report. Please review log and try again.","Дошло је до грешке wхиле делетинг тхе сyстем репорт. Плеасе ревиеw лог анд покушајте поново."
"Requested system report no longer exists.","Requested system report no longer exists."
"Unable to read system report data to display.","Није могуће реад сyстем репорт дата то дисплаy."
"No groups were specified to generate system report.","Не гроупс wере специфиед то генерате сyстем репорт."
"The system report has been generated.","Тхе сyстем репорт је генератед."
"An error occurred while the system report was being created. Please review the log and try again.","Дошло је до грешке wхиле тхе сyстем репорт wас беинг цреатед. Плеасе ревиеw тхе лог анд покушајте поново."
"System Reports","Систем Извештаји"
"An error occurred during mass deletion of system reports. Please review log and try again.","Дошло је до грешке дуринг масс делетион оф сyстем репортс. Плеасе ревиеw лог анд покушајте поново."
"Utility %1 not found","Утилитy %1 није пронађено"
"Unknown utility: %1","Непознат утилитy: %1"
"Cannot set root directory.","Не може сет роот дирецторy."
"Support Module doesn't support %s operation system","Подршка Модуле доесн'т суппорт %с оператион сyстем"
"Unable to create backup due to php exec function is disabled","Није могуће цреате бацкуп дуе то пхп еxец фунцтион ис дисаблед"
"Incomplete","Incomplete"
"Complete","Завршено"
"Failed","Није успело"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Непознат Статус"
"Processing ...","Обрађује се ..."
"(now)","(now)"
"[%1 minutes ago]","[%1 minutes ago]"
"[%1 hours ago]","[%1 hours ago]"
"[%1 days ago]","[%1 days ago]"
"[%1 weeks ago]","[%1 weeks ago]"
"[%1 months ago]","[%1 months ago]"
"[%1 years ago]","[%1 years ago]"
"And more...","And more..."
"Column %1","Column %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Yes","Да"
"No","Не"
"All Eav Attributes","Све Еав Аттрибутес"
"Category Eav Attributes","Категорија Еав Аттрибутес"
"Customer Address Eav Attributes","Купац Адреса Еав Аттрибутес"
"Customer Eav Attributes","Купац Еав Аттрибутес"
"Entity Types","Entity Types"
"ID","ИД"
"Code","Код"
"Model","Model"
"Attribute Model","Атрибут Модел"
"Increment Model","Increment Model"
"Main Table","Main Table"
"Additional Attribute Table","Аддитионал Атрибут Табле"
"New Eav Attributes","Ново Еав Аттрибутес"
"Product Eav Attributes","Производ Еав Аттрибутес"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"User Defined Eav Attributes","User Defined Eav Attributes"
"Name","Име"
"Enabled","Омогућено"
"Value","Вредност"
"Scope","Опсег"
"Configuration","Конфигурација"
"Path","Путања"
"Data from app/etc/env.php","Data from app/etc/env.php"
"Title","Наслов"
"Group","Група"
"Is Gateway","Is Gateway"
"Void","Void"
"For Checkout","Фор Наплата"
"For Multishipping","For Multishipping"
"Capture Online","Capture Online"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Повраћај Онлине"
"Partial Refund Online","Партиал Повраћај Онлине"
"Capture Offline","Capture Offline"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","Повраћај Оффлине"
"Partial Refund Offline","Партиал Повраћај Оффлине"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payment Methods","Плаћање Метходс"
"Shipping Methods","Начин Доставе"
"Job Code","Јоб Код"
