"Back","Kembali"
"Backup Log Details","Rincian Log Cadangan"
"Create","Membuat"
"Requested system report has no data to output.","Laporan sistem yang diminta tidak memiliki data untuk output."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Yakin ingin menghapus laporan sistem?"
"Download","Download"
"Go to Top","Ke Atas"
"Report","Melaporkan"
"System Report Information","Informasi Laporan Sistem"
"Requested system report has no data to display.","Laporan sistem yang diminta tidak memiliki data untuk ditampilkan."
"Output path %1 doesn't exist","Jalur keluaran %1 tidak ada"
"Unknown DB param: %1","Parameter DB tidak dikenal: %1"
"Paths file already exists","File jalur sudah ada"
"Paths file cannot be created","File jalur tidak dapat dibuat"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Total %1 Record telah dihapus."
"Support","Mendukung"
"Data Collector","Pengumpul data"
"The backup has been saved.","Cadangan telah disimpan."
"Failed to save backup with error: %1","Gagal menyimpan cadangan dengan kesalahan: %1"
"An error occurred while saving backup","Terjadi kesalahan saat menyimpan cadangan"
"All processes should be complete","All processes should be complete"
"Wrong param id","Salah param id"
"The backup has been deleted.","Cadangan telah dihapus."
"Cannot delete backup","Tidak dapat menghapus cadangan"
"File does not exist","File tidak ada"
"Log Details","Rincian log"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Terjadi kesalahan saat penghapusan massal backup data kolektor. Silakan tinjau log dan coba lagi."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Setelah Anda memilih, klik tombol ""Buat"". Kemudian stand by while System Report yang dihasilkan. Ini mungkin memakan waktu beberapa menit. Anda akan menerima pemberitahuan setelah langkah ini selesai."
"Create System Report","Buat Laporan Sistem"
"Unable to find a system report to delete.","Tidak dapat menemukan laporan sistem yang akan dihapus."
"The system report has been deleted.","Laporan sistem telah dihapus."
"An error occurred while deleting the system report. Please review log and try again.","Terjadi kesalahan saat menghapus laporan sistem. Silakan tinjau log dan coba lagi."
"Requested system report no longer exists.","Laporan sistem yang diminta tidak ada lagi."
"Unable to read system report data to display.","Tidak dapat membaca data laporan sistem yang akan ditampilkan."
"No groups were specified to generate system report.","Tidak ada kelompok yang ditentukan untuk menghasilkan laporan sistem."
"The system report has been generated.","Laporan sistem telah dibuat."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"System Reports","Laporan Sistem"
"An error occurred during mass deletion of system reports. Please review log and try again.","Terjadi kesalahan saat penghapusan massal laporan sistem. Silakan tinjau log dan coba lagi."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Support Module tidak mendukung %s sistem operasi"
"Unable to create backup due to php exec function is disabled","Tidak dapat membuat cadangan karena fungsi exec php dinonaktifkan"
"Incomplete","Tidak lengkap"
"Complete","Lengkap"
"Failed","Gagal"
"Directory %s should have writable & readable permissions","Direktori %s seharusnya memiliki izin tertulis dan dapat dibaca"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Status tidak diketahui"
"Processing ...","Memproses ..."
"(now)","(sekarang)"
"[%1 minutes ago]","[%1 minutes ago]"
"[%1 hours ago]","[%1 hours ago]"
"[%1 days ago]","[%1 days ago]"
"[%1 weeks ago]","[%1 week ago]"
"[%1 months ago]","[%1 months ago]"
"[%1 years ago]","[%1 tahun yang lalu]"
"And more...","Dan lagi..."
"Column %1","Kolom%1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Menyiapkan data laporan sistem: Terdeteksi Single Row Mode namun data mungkin tidak lengkap."
"Yes","Ya"
"No","Tidak"
"All Eav Attributes","Semua Atribut Eav"
"Category Eav Attributes","Kategori Atribut Eav"
"Customer Address Eav Attributes","Alamat Pelanggan Eav Atribut"
"Customer Eav Attributes","Atribut Pelanggan Eav"
"Entity Types","Jenis Entitas"
"ID","Id"
"Code","Kode"
"Model","Model"
"Attribute Model","Attribute Model"
"Increment Model","Model kenaikan"
"Main Table","Meja utama"
"Additional Attribute Table","Tabel Atribut Tambahan"
"New Eav Attributes","Atribut Eav Baru"
"Product Eav Attributes","Atribut Produk Eav"
"Rma Item Eav Attributes","Rma Item Eav Atribut"
"User Defined Eav Attributes","Atribut Eav yang Ditetapkan Pengguna"
"Name","Nama"
"Enabled","Diaktifkan"
"Value","Nilai"
"Scope","Cakupan"
"Configuration","Konfigurasi"
"Path","Jalan"
"Data from app/etc/env.php","Data dari app/etc/env.php"
"Title","Judul"
"Group","Kelompok"
"Is Gateway","Apakah Gateway"
"Void","Kosong"
"For Checkout","Untuk checkout"
"For Multishipping","Untuk multishipping"
"Capture Online","Tangkap Online"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Pengembalian Dana Online"
"Partial Refund Online","Sebagian Pengembalian Dana Online"
"Capture Offline","Tangkap Offline"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","Pengembalian dana secara Offline"
"Partial Refund Offline","Sebagian Refund Offline"
"Payments Functionality Matrix","Matriks Fungsi Pembayaran"
"Payment Methods","Metode Pembayaran"
"Shipping Methods","Metode pengiriman"
"Job Code","Kode pekerjaan"
"Cron Expression","Ekspresi Cron"
"Run Class","Jalankan Kelas"
"Run Method","Jalankan Metode"
"Group Code","Kode grup"
"All Configurable Cron Jobs","Semua Pekerjaan Cron yang Dapat Dikonfigurasi"
"All Global Cron Jobs","Semua Global Cron Jobs"
"Cron Schedules List","Daftar Cron Daftar"
"Schedule Id","Id Jadwal"
"Status","Subjek"
"Created At","Dibuat di"
"Scheduled At","Dijadwalkan di"
"Executed At","Executed At"
"Finished At","Selesai di"
"Core Configurable Cron Jobs","Core Cron yang dapat dikonfigurasi"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Jadwal Cron dengan kode pekerjaan"
"Count","Menghitung"
"Cron Schedules by status code","Jadwal Cron berdasarkan kode status"
"Status Code","Kode status"
"Custom Configurable Cron Jobs","Custom Cron Jobs Dikonfigurasi"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Kesalahan dalam Antrian Jadwal Cron"
"Error","Kesalahan"
"Corrupted Categories Data","Data Kategori yang Rusak"
"Id","Id"
"Expected Children Count","Jumlah anak yang diharapkan"
"Actual Children Count","Jumlah Anak Aktual"
"Expected Level","Tingkat yang Diharapkan"
"Actual Level","Tingkat Aktual"
"Duplicate Categories By URL Key","Kategori Duplikat Dengan Tombol URL"
"URL key","Kunci URL"
"Store","Toko"
"Duplicate Orders By Increment Id","Perintah Duplikat Dengan Kenaikan Id"
"Increment Id","Id kenaikan"
"Customer Id","Id Pelanggan"
"Duplicate Products By SKU","Produk Duplikat Dengan SKU"
"SKU","SKU"
"Duplicate Products By URL Key","Produk Duplikat Dengan Kunci URL"
"URL Key","Kunci URL"
"Website","Situs web"
"Duplicate Users By Email","Pengguna Duplikat Dengan Email"
"Email","E-mail"
"Type","Jenis"
"Parent","Induk"
"Adminhtml Themes List","Daftar Tema Adminhtml"
"Frontend Themes List","Daftar Tema Depan"
"Event Name","Nama acara"
"Observer Class","Kelas pengamat"
"Method","Metode"
"All Admin Events","Semua Acara Admin"
"All Crontab Events","Semua acara crontab"
"All Doc Events","Semua Dokumen Acara"
"All Frontend Events","Semua Acara Frontend"
"All Global events","Semua acara Global"
"All REST Events","Semua acara REST"
"All SOAP Events","Semua acara SOAP"
"Core Admin Events","Acara Admin Inti"
"Core Crontab Events","Acara Core Crontab"
"Core Doc Events","Acara Core Doc"
"Core Frontend Events","Acara Inti Inti"
"Core Global Events","Peristiwa Global Inti"
"Core REST Events","Acara Core REST"
"Core SOAP Events","Acara SOAP Inti"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Peristiwa Crontab Khusus"
"Custom Doc Events","Acara Dok Khusus"
"Custom Frontend Events","Peristiwa Frontend Khusus"
"Custom Global Events","Peristiwa Global Khusus"
"Custom REST Events","Acara REST Khusus"
"Custom SOAP Events","Peristiwa SOAP Khusus"
"Log Files","File log"
"File","Mengajukan"
"Size","Ukuran"
"Log Entries","Entri log"
"Last Update","Pembaharuan Terakhir"
"Today's Top Debug Messages","Pesan Debug Teratas hari ini"
"Message","Pesan"
"Last Occurrence","Kemunculan terakhir"
"Today's Top Exception Messages","Pesan Kesalahan Teratas Hari Ini"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Pesan Sistem Teratas Hari Ini"
"Top Debug Messages","Pesan Debug Teratas"
"Top Exception Messages","Pesan Kesalahan Teratas"
"Top System Messages","Pesan Sistem Teratas"
"Store Views List","Daftar tampilan toko"
