"Back","Geri"
"Backup Log Details","Yedekleme Günlüğü Ayrıntıları"
"Create","Oluştur"
"Requested system report has no data to output.","İstenen sistem raporunun çıktısı olan hiçbir veri yok."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Sistem raporunu silmek istediğinizden emin misiniz?"
"Download","İndir"
"Go to Top","Yukarı git"
"Report","Rapor"
"System Report Information","Sistem Raporu Bilgileri"
"Requested system report has no data to display.","İstenen sistem raporunun gösterilecek verisi yok."
"Output path %1 doesn't exist","Çıktı yolu %1 mevcut değil"
"Unknown DB param: %1","Bilinmeyen Veritabanı parametresi: %1"
"Paths file already exists","Yol dosyaları zaten mevcut"
"Paths file cannot be created","Yol dosyaları oluşturulamıyor"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Toplam %1 kayıt(lar) silindi."
"Support","Destek"
"Data Collector","Veri Toplayıcı"
"The backup has been saved.","Yedek kaydedildi."
"Failed to save backup with error: %1","Yedek şu hata ile kaydedilemedi: %1"
"An error occurred while saving backup","Yedekleme kaydedilirken bir hata oluştu"
"All processes should be complete","All processes should be complete"
"Wrong param id","Yanlış parametre kimliği"
"The backup has been deleted.","Yedek silindi."
"Cannot delete backup","Yedekleme silinemiyor"
"File does not exist","Dosya bulunamadı"
"Log Details","Günlük ayrıntıları"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Veri toplayıcı yedeklemelerinin toplu silinmesi sırasında bir hata oluştu. Lütfen günlüğünü inceleyin ve tekrar deneyin."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Seçimlerinizi yaptıktan sonra, ""Oluştur"" butonuna tıklayın. Sistem Raporu hazırlanırken bekleyin. Bu bir kaç dakika alabilir. Bu adım tamamlandıktan sonra bir bildirim alacaksınız."
"Create System Report","Sistem Raporu Oluştur"
"Unable to find a system report to delete.","Silinecek bir sistem raporu bulunamadı."
