"Back","Volver"
"Backup Log Details","Detalles de registro de Backup"
"Create","Crear"
"Requested system report has no data to output.","El reporte de sistema solicitado no tiene datos para salida."
"&copy; Magento Commerce Inc., %1","© Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","¿Está seguro que desea eliminar el informe de sistema?"
"Download","Descargar"
"Go to Top","Ir a la parte superior"
"Report","Informe"
"System Report Information","Información de reporte de sistema"
"Requested system report has no data to display.","El reporte de sistema solicitado no tiene datos para mostrar."
"Output path %1 doesn't exist","Ruta de salida %1 no existe"
"Unknown DB param: %1","Desconocida param DB: %1"
"Paths file already exists","Ya existe la ruta de archivo"
"Paths file cannot be created","No se puede crear archivo de rutas"
"Please select item(s).","Por favor, seleccione los artículos."
"A total of %1 record(s) have been deleted.","Un total de %1 registro(s) han sido borrados."
"Support","Soporte"
"Data Collector","Colector de datos"
"The backup has been saved.","Se ha guardado el respaldo."
"Failed to save backup with error: %1","No se pudo guardar la copia de seguridad por error: %1"
"An error occurred while saving backup","Error al guardar la copia de seguridad"
"All processes should be complete","Todos los procesos deben ser completados"
"Wrong param id","Id de parámetro incorrecto"
"The backup has been deleted.","Se ha eliminado el respaldo."
"Cannot delete backup","No se puede eliminar la copia de seguridad"
"File does not exist","El archivo no existe"
"Log Details","Datos del registro"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Se ha producido un error durante la eliminación masiva de copias de colector. Revise el registro y vuelva a intentarlo."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Después de realizar sus selecciones, haga clic en el botón ""Crear"". Luego una pausa mientras se genera el informe. Esto puede tardar unos minutos. Usted recibirá una notificación cuando se haya completado este paso."
"Create System Report","Crear informe del sistema"
"Unable to find a system report to delete.","No se puede encontrar un informe del sistema para borrar."
"The system report has been deleted.","El informe ha sido eliminado."
"An error occurred while deleting the system report. Please review log and try again.","Error al eliminar el informe. Revise el registro y vuelva a intentarlo."
"Requested system report no longer exists.","Informe solicitado ya no existe."
"Unable to read system report data to display.","No se puede leer los datos de informe del sistema para mostrar."
"No groups were specified to generate system report.","No hay grupos fueron especificados para generar el informe."
"The system report has been generated.","El informe ha sido generado."
"An error occurred while the system report was being created. Please review the log and try again.","Error mientras se se creó el informe. Por favor, revise el registro y vuelva a intentarlo."
"System Reports","Informes del sistema"
"An error occurred during mass deletion of system reports. Please review log and try again.","Se ha producido un error durante el borrado total de los informes del sistema. Revise el registro y vuelva a intentarlo."
"Utility %1 not found","Utilidad %1 no encontrada"
"Unknown utility: %1","Utilidad desconocida: %1"
"Cannot set root directory.","No se puede establecer el directorio raíz."
"Support Module doesn't support %s operation system","Módulo de apoyo no soporta sistema operativo de %s"
"Unable to create backup due to php exec function is disabled","No se puede crear copia de seguridad debido a php exec función está deshabilitada"
"Incomplete","Incompleto"
"Complete","Completo"
"Failed","Ha fallado"
"Directory %s should have writable & readable permissions","Directorio %s debe tener permisos de escritura y lectura"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Estatus desconocido"
"Processing ...","Procesando ..."
"(now)","(ahora)"
"[%1 minutes ago]","[ hace %1 minutos]"
"[%1 hours ago]","[hace %1 horas]"
"[%1 days ago]","[hace %1 días]"
"[%1 weeks ago]","[hace %1]"
"[%1 months ago]","[%1 meses atrás]"
"[%1 years ago]","[hace %1 años]"
"And more...","Y más..."
"Column %1","Columna %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparación de datos de informe del sistema: detecta solo modo de fila pero los datos pueden estar incompletos."
"Yes","Si"
"No","No 	"
"All Eav Attributes","Todos los atributos Eav"
"Category Eav Attributes","Atributos de Categoría Eav"
"Customer Address Eav Attributes","Cliente dirección Eav atributos"
"Customer Eav Attributes","Atributos Eav de cliente"
"Entity Types","Tipo de entidad"
"ID","Número de Identificación (ID)"
"Code","Código"
"Model","Modelo"
"Attribute Model","Modelo de atributo"
"Increment Model","Modelo de incremento"
"Main Table","Tabla principal"
"Additional Attribute Table","Tabla de atributos adicionales"
"New Eav Attributes","Nuevos atributos Eav"
"Product Eav Attributes","Atributos del producto Eav"
"Rma Item Eav Attributes","Atrubutos Eav de artículo Rma"
"User Defined Eav Attributes","Atributos Eav definidos por el usuario"
"Name","Nombre"
"Enabled","Habilitado"
"Value","Valor"
"Scope","Alcance"
"Configuration","Configuración"
"Path","Ruta de acceso"
"Data from app/etc/env.php","Datos de app/etc/env.php"
"Title","Título"
"Group","Grupo"
"Is Gateway","Es puerta de entrada"
"Void","Nulo"
"For Checkout","Para la comprobación"
"For Multishipping","Para Multienvío"
"Capture Online","Capturar en línea"
"Partial Capture Online","Captura parcial en línea"
"Refund Online","Reembolso en línea"
"Partial Refund Online","Reembolso parcial en línea"
"Capture Offline","Capturar fuera de línea"
"Partial Capture Offline","Captura parcial fuera de línea"
"Refund Offline","Captura parcial fuera de línea"
"Partial Refund Offline","Reembolso parcial fuera de línea"
"Payments Functionality Matrix","Matriz de funcionalidad de pagos"
"Payment Methods","Métodos de pago"
"Shipping Methods","Métodos de envío"
"Job Code","Código de trabajo"
"Cron Expression","Expresión cron"
"Run Class","Ejecutar la clase"
"Run Method","Método de ejecución"
"Group Code","Código de grupo"
"All Configurable Cron Jobs","Todos los trabajos Cron Configurables"
"All Global Cron Jobs","Todos los trabajos Cron Globales"
"Cron Schedules List","Lista de programación cron"
"Schedule Id","ID de Programa"
"Status","Estado"
"Created At","Creado el"
"Scheduled At","Programado en"
"Executed At","Ejecutado en"
"Finished At","Terminado en"
"Core Configurable Cron Jobs","Cron Jobs Core Configurables"
"Core Global Cron Jobs","Trabajos de Cron Global Core"
"Cron Schedules by job code","Programación cron por código de trabajo"
"Count","Cuenta"
"Cron Schedules by status code","Horarios de cron por código de estado"
"Status Code","Estado Código"
"Custom Configurable Cron Jobs","Personalizada puede configurar Cron Jobs"
"Custom Global Cron Jobs","Trabajos de Cron Globales personalizados"
"Errors in Cron Schedules Queue","Errores en Cron horarios cola"
"Error","Error"
"Corrupted Categories Data","Datos de categoría corruptos"
"Id","Id"
"Expected Children Count","Cuenta de hijos esperados"
"Actual Children Count","Cuenta real de los hijos"
"Expected Level","Nivel esperado"
"Actual Level","Nivel real"
"Duplicate Categories By URL Key","Categorías duplicadas por clave URL"
"URL key","Clave URL"
"Store","Tienda"
"Duplicate Orders By Increment Id","Duplicadas pedidos por Id de incremento"
"Increment Id","Identificación de incremento"
"Customer Id","Id del cliente"
"Duplicate Products By SKU","Duplicar los productos por SKU"
"SKU","Art"
"Duplicate Products By URL Key","Duplicar los productos de enlace clave"
"URL Key","Clave de enlace"
"Website","Página web"
"Duplicate Users By Email","Duplicar los usuarios por correo electrónico"
"Email","Correo electrónico"
"Type","Tipo"
"Parent","Padre"
"Adminhtml Themes List","Lista de temas Adminhtml"
"Frontend Themes List","Lista de temas de frontend"
"Event Name","Nombre del evento"
"Observer Class","Clase Observer"
"Method","Método"
"All Admin Events","Todos los eventos de Admin"
"All Crontab Events","Todos los eventos de Crontab"
"All Doc Events","Todos los Eventos Doc"
"All Frontend Events","Todos los eventos de interfaz"
"All Global events","Todos los eventos globales"
"All REST Events","Todos los eventos REST"
"All SOAP Events","Todos los Eventos SOAP"
"Core Admin Events","Eventos de Admin base"
"Core Crontab Events","Eventos Core Crontab"
"Core Doc Events","Eventos Core Doc"
"Core Frontend Events","Eventos de interfaz de base"
"Core Global Events","Principales acontecimientos mundiales"
"Core REST Events","Base resto eventos"
"Core SOAP Events","Eventos Core SOAP"
"Custom Admin Events","Eventos de Admin personalizados"
"Custom Crontab Events","Eventos personalizados Crontab"
"Custom Doc Events","Eventos Doc Personalizados"
"Custom Frontend Events","Eventos de interfaz personalizados"
"Custom Global Events","Eventos personalizados Globales"
"Custom REST Events","Eventos personalizados REST"
"Custom SOAP Events","Eventos Personalizados SOAP"
"Log Files","Archivos de registro"
"File","Archivo"
"Size","Tamaño"
"Log Entries","Entradas del Registro"
