"Back","بازگشت"
"Backup Log Details","جزئیات پشتیبان گیری"
"Create","ایجاد"
"Requested system report has no data to output.","گزارش سیستم درخواست شده برای خروجی داده ای ندارد."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","آیا مطمئن هستید که می خواهید گزارش سیستم را حذف کنید?"
"Download","دانلود"
"Go to Top","برو به بالا"
"Report","گزارش"
"System Report Information","اطلاعات گزارش سیستم"
"Requested system report has no data to display.","گزارش سیستم مورد درخواست هیچ اطلاعاتی برای نمایش ندارد."
"Output path %1 doesn't exist","مسیر خروجی %1 وجود ندارد"
"Unknown DB param: %1","پارامتر ناشناخته DB: %1"
"Paths file already exists","مسیر های فایل در حال حاضر وجود دارد"
"Paths file cannot be created","مسیر فایل را نمی توان ایجاد کرد"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","در مجموع %1 رکورد (ها) حذف شده است."
"Support","پشتیبانی"
"Data Collector","جمع آوری داده ها"
"The backup has been saved.","پشتیبان ذخیره شده است."
"Failed to save backup with error: %1","پشتیبان گیری با خطا: %1 ذخیره نشد"
"An error occurred while saving backup","هنگام ذخیره نسخه پشتیبان تهیه شد خطایی رخ داده"
"All processes should be complete","All processes should be complete"
"Wrong param id","شناسه نادرست"
"The backup has been deleted.","پشتیبان حذف شده است."
"Cannot delete backup","نسخه پشتیبان تهیه نمیشود"
"File does not exist","فایل وجود ندارد"
"Log Details","نمایش جزییات"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","خطایی هنگام حذف انبوه از داده ها پشتیبان گیری جمع آوری رخ داد. ورود به سیستم فایل را نقد کنید و دوباره سعی کنید."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","پس از انتخاب خود، روی دکمه ""ایجاد"" کلیک کنید. سپس در حالی که گزارش سیستم تولید می شود، ایستاده است. این ممکن است چند دقیقه طول بکشد. پس از اتمام مرحله، یک اعلان دریافت خواهید کرد."
"Create System Report","ایجاد گزارش سیستم"
"Unable to find a system report to delete.","قادر به پیدا کردن گزارش سیستم برای حذف نیست."
"The system report has been deleted.","گزارش سیستم حذف شده است."
"An error occurred while deleting the system report. Please review log and try again.","هنگام حذف گزارش سیستم، خطایی رخ داد. لطفا ثبت نام کنید و دوباره امتحان کنید."
"Requested system report no longer exists.","گزارش سیستم درخواست شده دیگر وجود ندارد."
"Unable to read system report data to display.","قادر به خواندن اطلاعات گزارش سیستم برای نمایش نیست."
"No groups were specified to generate system report.","هیچ گروهی برای تولید گزارش سیستم مشخص نشده است."
"The system report has been generated.","گزارش سیستم تولید شده است."
"An error occurred while the system report was being created. Please review the log and try again.","خطایی رخ داده است در حالی که گزارش سیستم ایجاد شده است. لطفا بررسی کنید و دوباره سعی کنید."
"System Reports","گزارشات سیستم"
"An error occurred during mass deletion of system reports. Please review log and try again.","یک خطا هنگام حذف توالی گزارش های سیستم رخ داد. لطفا ثبت نام کنید و دوباره امتحان کنید."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","ماژول پشتیبانی سیستم عامل %s را پشتیبانی نمی کند"
"Unable to create backup due to php exec function is disabled","قادر به تهیه نسخه پشتیبان به دلیل انجام عملیات php exec غیر فعال است"
"Incomplete","ناتمام"
"Complete","کامل"
"Failed","ناموفق"
"Directory %s should have writable & readable permissions","مسیر %s باید دارای مجوزهای قابل خواندن و نوشتن باشد"
"Windows","ویندوز"
"OS X","OS X"
"Unknown Status","وضعیت ناشناخته"
"Processing ...","پردازش ..."
"(now)","(در حال حاضر)"
"[%1 minutes ago]","[%1 دقیقه پیش]"
"[%1 hours ago]","[%1 ساعت پیش]"
"[%1 days ago]","[%1 روز پیش]"
"[%1 weeks ago]","[%1 هفته پیش]"
"[%1 months ago]","[%1 ماه قبل]"
"[%1 years ago]","[%1 سال پیش]"
"And more...","و بیشتر..."
"Column %1","ستون %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","تهیه گزارش های داده سیستم: حالت ردیف مشخص شده شناسایی شده، اما داده ها ممکن است ناقص باشند."
"Yes","بله"
"No","خیر"
"All Eav Attributes","همه ویژگی های Eav"
"Category Eav Attributes","دسته ویژگی های Eav"
"Customer Address Eav Attributes","ویژگی های Eav آدرس مشتری"
"Customer Eav Attributes","ویژگی های Eav مشتری"
"Entity Types","انواع ورودی ها"
"ID","شناسه"
"Code","کد"
"Model","مدل"
"Attribute Model","مدل ویژگی"
"Increment Model","مدل رشد"
"Main Table","جدول اصلی"
"Additional Attribute Table","جدول ویژگی های اضافی"
