"Back","Πίσω"
"Backup Log Details","Καταχώρηση του αρχείου καταγραφής αντιγράφων ασφαλείας"
"Create","Δημιουργία"
"Requested system report has no data to output.","Η ζητούμενη έκθεση συστήματος δεν έχει δεδομένα για έξοδο."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Είστε βέβαιοι ότι θέλετε να διαγράψετε την έκθεση συστήματος;"
"Download","Λήψη"
"Go to Top","Μεταβείτε στην κορυφή"
"Report","Αναφορά"
"System Report Information","Πληροφορίες αναφοράς συστήματος"
"Requested system report has no data to display.","Έκθεση συστήματος που ζητήθηκε δεν έχει δεδομένα για να εμφανίσετε."
"Output path %1 doesn't exist","Δεν υπάρχει η διαδρομή εξόδου %1"
"Unknown DB param: %1","Άγνωστη Παράμετρος DB: %1"
"Paths file already exists","Υπάρχουν ήδη οι διαδρομές αρχείου"
"Paths file cannot be created","Δεν μπορούν να δημιουργηθούν διαδρομές αρχείου"
"Please select item(s).","Παρακαλώ επιλέξτε αντικείμενο(α)."
"A total of %1 record(s) have been deleted.","Συνολικά %1 εγγραφη(ές) έχουν διαγραφεί."
"Support","Υποστήριξη"
"Data Collector","Συλλογέας Δεδομένων"
"The backup has been saved.","Αποθηκεύτηκε το αντίγραφο ασφαλείας."
"Failed to save backup with error: %1","Απέτυχε η αποθήκευση αντιγράφων ασφαλείας με σφάλμα: %1"
"An error occurred while saving backup","Παρουσιάστηκε σφάλμα κατά την αποθήκευση αντιγράφων ασφαλείας"
"All processes should be complete","Όλες οι διαδικασίες πρέπει να είναι πλήρης"
"Wrong param id","Λάθος id παραμέτρου"
"The backup has been deleted.","Το αντίγραφο ασφαλείας έχει διαγραφεί."
"Cannot delete backup","Δεν είναι δυνατό να διαγράψετε αντίγραφα ασφαλείας"
"File does not exist","Το αρχείο δεν υπάρχει"
"Log Details","Λεπτομέρειες των στοιχείων καταγραφής"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Παρουσιάστηκε σφάλμα κατά τη διάρκεια της μαζικής διαγραφής των δεδομένων συλλογής αντιγράφων ασφαλείας. Παρακαλούμε αναθεώρηση τη καταγραφή και προσπαθήστε ξανά."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Αφού κάνετε τις επιλογές σας, κάντε κλικ στο κουμπί ""Δημιουργία"". Στη συνέχεια περιμένετε ενώ δημιουργείται η έκθεση συστήματος. Αυτό μπορεί να διαρκέσει μερικά λεπτά. Μόλις ολοκληρωθεί αυτό το βήμα θα λάβετε μια ειδοποίηση."
"Create System Report","Δημιουργία αναφοράς συστήματος"
"Unable to find a system report to delete.","Δεν μπορούμε να βρούμε μια αναφορά συστήματος για να διαγράψουμε."
"The system report has been deleted.","Αναφορά συστήματος έχει διαγραφεί."
"An error occurred while deleting the system report. Please review log and try again.","Παρουσιάστηκε σφάλμα κατά τη διαγραφή αναφοράς συστήματος. Παρακαλούμε αναθεώρηση καταγραφή και προσπαθήστε ξανά."
"Requested system report no longer exists.","Έκθεση συστήματος που ζητήθηκε δεν υπάρχει πλέον."
"Unable to read system report data to display.","Δεν είναι δυνατή η ανάγνωση δεδομένων έκθεσης συστήματος για εμφάνιση."
"No groups were specified to generate system report.","Καμία ομάδα δεν καθορίστηκε για τη δημιουργία έκθεσης συστήματος."
"The system report has been generated.","Η έκθεση του συστήματος έχει δημιουργηθεί."
"An error occurred while the system report was being created. Please review the log and try again.","Παρουσιάστηκε ένα σφάλμα κατά την αναφορά του συστήματος που δημιουργήθηκε. Παρακαλώ εξετάστε το αρχείο καταγραφής και προσπαθήστε ξανά."
"System Reports","Αναφορές συστήματος"
"An error occurred during mass deletion of system reports. Please review log and try again.","Παρουσιάστηκε σφάλμα κατά τη μαζική διαγραφή αναφορών συστήματος. Παρακαλούμε αναθεωρήστε καταγραφή και προσπαθήστε ξανά."
"Utility %1 not found","Το βοηθητικό πρόγραμμα %1 δεν βρέθηκε"
"Unknown utility: %1","Άγνωστο βοηθητικό πρόγραμμα: %1"
"Cannot set root directory.","Δεν είναι δυνατός ο ορισμός ριζικού καταλόγου."
"Support Module doesn't support %s operation system","Λειτουργική μονάδα υποστήριξης δεν υποστηρίζει τη λειτουργία του συστήματος %s"
"Unable to create backup due to php exec function is disabled","Δεν είναι δυνατή η δημιουργία αντιγράφων ασφαλείας λόγω οτι η php λειτουργία exec είναι απενεργοποιημένη"
"Incomplete","Ελλιπής"
"Complete","Ολοκληρώθηκε"
"Failed","Απέτυχε"
"Directory %s should have writable & readable permissions","Κατάλογος %s πρέπει να έχει δικαιώματα μόνο για ανάγνωση & εγγραφή"
"Windows","Παράθυρα"
"OS X","OS X"
"Unknown Status","Άγνωστη κατάσταση"
"Processing ...","Επεξεργασία ..."
"(now)","(τώρα)"
