"Back","חזור"
"Backup Log Details","גיבוי פרטי הרישום עבור הלוג"
"Create","יצירה"
"Requested system report has no data to output.","הדוח המבוקש עבור המערכת לא מכיל נתונים לפלט."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","האם אתה בטוח שברצונך למחוק את הדוח של המערכת?"
"Download","הורדה"
"Go to Top","ללכת לעליון"
"Report","דוח"
"System Report Information","דוח מידע של מערכת"
"Requested system report has no data to display.","המערכת מבקשת את הדוח המכיל נתונים להצגה."
"Output path %1 doesn't exist","פלט עבור נתיב %1 לא קיים"
"Unknown DB param: %1","Unknown DB param: %1"
"Paths file already exists","Paths file already exists"
"Paths file cannot be created","Paths file cannot be created"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","סך של %1 רשומות נמחקו."
"Support","תמיכה"
"Data Collector","מלקט נתונים"
"The backup has been saved.","הגיבוי נשמר."
"Failed to save backup with error: %1","שמירת גיבוי נכשלה עם שגיאה: %1"
"An error occurred while saving backup","אירעה שגיאה בעת שמירת גיבוי"
"All processes should be complete","All processes should be complete"
"Wrong param id","Wrong param id"
"The backup has been deleted.","הגיבוי נמחק."
"Cannot delete backup","לא ניתן למחוק גיבוי"
"File does not exist","הקובץ אינו קיים"
"Log Details","Log Details"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","An error occurred during mass deletion of data collector backups. Please review log and try again."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed."
"Create System Report","Create System Report"
"Unable to find a system report to delete.","Unable to find a system report to delete."
"The system report has been deleted.","The system report has been deleted."
"An error occurred while deleting the system report. Please review log and try again.","An error occurred while deleting the system report. Please review log and try again."
"Requested system report no longer exists.","Requested system report no longer exists."
"Unable to read system report data to display.","Unable to read system report data to display."
"No groups were specified to generate system report.","No groups were specified to generate system report."
"The system report has been generated.","The system report has been generated."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"System Reports","דו""חות מערכת"
