"Back","Nazad"
"Backup Log Details","Rezervna kopija Log Detalji"
"Create","Kreiraj"
"Requested system report has no data to output.","Requested system report has no data to output."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Da li ste sigurni želite da delete the system report?"
"Download","Preuzimanje"
"Go to Top","Go to Top"
"Report","Izveštaj"
"System Report Information","Sistem Report Informacije"
"Requested system report has no data to display.","Requested system report has no data to display."
"Output path %1 doesn't exist","Output path %1 ne postoji"
"Unknown DB param: %1","Nepoznat DB param: %1"
"Paths file already exists","Paths file already exists"
"Paths file cannot be created","Paths file ne može be created"
"Please select item(s).","Molimo izaberite item(s)."
"A total of %1 record(s) have been deleted.","Ukupno %1 zapis(a) je uklonjeno."
"Support","Podrška"
"Data Collector","Data Collector"
"The backup has been saved.","The backup je saved."
"Failed to save backup with error: %1","Neuspešno save backup with error: %1"
"An error occurred while saving backup","Došlo je do greške while saving backup"
"All processes should be complete","Sve processes should be complete"
"Wrong param id","Wrong param id"
"The backup has been deleted.","The backup je deleted."
"Cannot delete backup","Ne može delete backup"
"File does not exist","Datoteka ne postoji"
"Log Details","Log Detalji"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Došlo je do greške during mass deletion of data collector backups. Please review log and pokušajte ponovo."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Nakon što napravite svoj izbor, kliknite na dugme ""Kreiraj"". Zatim sačekajte dok se Sistem izveštaj generiše. Ovo može potrajati nekoliko minuta. Dobićete obaveštenje kada ovaj korak bude završen."
"Create System Report","Kreiraj Sistem Report"
"Unable to find a system report to delete.","Nije moguće find a system report to delete."
"The system report has been deleted.","The system report je deleted."
"An error occurred while deleting the system report. Please review log and try again.","Došlo je do greške while deleting the system report. Please review log and pokušajte ponovo."
"Requested system report no longer exists.","Requested system report no longer exists."
"Unable to read system report data to display.","Nije moguće read system report data to display."
