"Back","Powrót"
"Backup Log Details","Szczegóły logów backupu"
"Create","Utwórz"
"Requested system report has no data to output.","Żądany raport nie ma żadnych danych do wyświetlenia."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Czy na pewno chcesz usunąć raport systemu?"
"Download","Pobierz"
"Go to Top","Przejdź do góry"
"Report","Raport"
"System Report Information","System raportów informacji"
"Requested system report has no data to display.","Żądany raport systemu nie ma danych do wyświetlenia."
"Output path %1 doesn't exist","Wyjście %1 ścieżki nie istnieje"
"Unknown DB param: %1","Nieznany parametr DB: %1"
"Paths file already exists","Ścieżka pliku już istnieje"
"Paths file cannot be created","Nie można utworzyć ścieżki pliku"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Usunięto %1 rekordów."
"Support","Wsparcie techniczne"
"Data Collector","Modułów zbierający dane"
"The backup has been saved.","Kopia zapasowa została zapisana."
"Failed to save backup with error: %1","Podczas próby zapisu kopii zapasowej wystąpił błąd: %1"
"An error occurred while saving backup","Wystąpił błąd podczas zapisywania kopii zapasowej"
"All processes should be complete","All processes should be complete"
"Wrong param id","Niewłaściwy parametr Id"
"The backup has been deleted.","Kopia zapasowa została usunięta."
"Cannot delete backup","Nie można usunąć kopii zapasowej"
"File does not exist","Plik nie istnieje"
"Log Details","Szczegóły logów"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Wystąpił błąd podczas masowego usuwania danych kolektora kopii zapasowych. Przejrzyj logi i spróbuj ponownie."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Po wybraniu opcji, kliknij przycisk ""Utwórz"". Następnie zaczekaj aż zostanie wygenerowany raport systemu. Może to potrwać kilka minut. Otrzymasz powiadomienie po zakończeniu tego etapu."
"Create System Report","Utwórz raport systemu"
"Unable to find a system report to delete.","Nie można odnaleźć raportu systemu, aby go usunąć."
"The system report has been deleted.","Raport systemu został usunięty."
"An error occurred while deleting the system report. Please review log and try again.","Wystąpił błąd podczas usuwania raportu systemu. Przejrzyj logi i spróbuj ponownie."
"Requested system report no longer exists.","Żądany raport systemu już nie istnieje."
