"Add Scheduled Export","Lisää ajastettu vienti"
"Add Scheduled Import","Lisää ajastettu tuonti"
"Scheduled Import/Export","Ajoitettu tuonti/vienti"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Name","Nimi"
"Description","Kuvaus"
"Entity Type","Entiteetin tyyppi"
"Start Time","Aloitusaika"
"Frequency","Tiheys"
"Status","Tila"
"Server Type","Palvelintyyppi"
"File Directory","Tiedostohakemisto"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP-isäntä[:portti]"
"User Name","Käyttäjänimi"
"Password","Salasana"
"File Mode","File Mode"
"Passive Mode","Passive Mode"
"Failed Email Receiver","Failed Email Receiver"
"Failed Email Sender","Failed Email Sender"
"Failed Email Template","Failed Email Template"
"Send Failed Email Copy To","Send Failed Email Copy To"
"Send Failed Email Copy Method","Send Failed Email Copy Method"
"Export Settings","Vientiasetukset"
"Export File Information","Export File Information"
"Export Failed Emails","Export Failed Emails"
"File Format","Tiedostomuoto"
"Entity Attributes","Entity Attributes"
"Import Settings","Tuontiasetukset"
"Import File Information","Import File Information"
"Import Failed Emails","Import Failed Emails"
"Import Behavior","Import Behavior"
"Field separator","Kenttäerotin"
"Multiple value separator","Multiple value separator"
"On Error","On Error"
"File Name","Tiedostonimi"
"Images File Directory","Images File Directory"
"Clean Now","Clean Now"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"The operation ran.","The operation ran."
"We can't run the operation right now, see error log for details.","We can't run the operation right now, see error log for details."
"We can't delete the scheduled operation right now.","We can't delete the scheduled operation right now."
"No valid data sent","No valid data sent"
"You deleted the history files.","You deleted the history files."
"We can't delete the history files right now.","We can't delete the history files right now."
"A total of %1 record(s) have been updated.","Yhteensä %1 tietue(tta) päivitetty."
"We cannot change status for all items.","We cannot change status for all items."
"You deleted a total of %1 record(s).","Yhteensä %1 tietue(tta) poistettu."
"We can't delete all the items right now.","We can't delete all the items right now."
"We can't save the scheduled operation right now.","We can't save the scheduled operation right now."
"We can't create directory ""%1""","Hakemistoa ""%1"" ei voida luoda"
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We can't delete ""%1"" because the directory is not writable.","We can't delete ""%1"" because the directory is not writable."
"Scheduled Import","Ajastettu tuonti"
"New Scheduled Import","New Scheduled Import"
"Scheduled Export","Scheduled Export"
"New Scheduled Export","New Scheduled Export"
"You saved the scheduled import.","You saved the scheduled import."
"You saved the scheduled report.","You saved the scheduled report."
"You deleted the scheduled import.","You deleted the scheduled import."
"You deleted the scheduled export.","You deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Are you sure you want to delete this scheduled import?"
"Are you sure you want to delete this scheduled export?","Are you sure you want to delete this scheduled export?"
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Unable to delete the cron task."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","File has been not created"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We can't read the file source because the file name is empty.","We can't read the file source because the file name is empty."
"Connecting to server","Yhdistetään palvelimeen"
"Reading import file","Reading import file"
"We can't read the import file.","We can't read the import file."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Save file content"
"Please correct the server type.","Please correct the server type."
"Import path %1 not exists","Import path %1 not exists"
"We can't read the file.","We can't read the file."
"We can't save the file history file.","We can't save the file history file."
"Unknown file format","Tuntematon tiedostomuoto"
"Enabled","Käytössä"
"Disabled","Ei käytössä"
"Import","Tuo"
"Export","Vie"
"Daily","Päivittäinen"
"Weekly","Viikottain"
"Monthly","Kuukausittain"
"Local Server","Paikallinen palvelin"
"Remote FTP","Remote FTP"
"Binary","Binary"
"ASCII","ASCII"
"Stop Import","Pysäytä tuonti"
"Continue Processing","Jatka käsittelyä"
"Failed","Epäonnistui"
"Successful","Onnistui"
"Pending","Odottaa"
"label","tunniste"
"Can not open file","Can not open file"
"%store_name - Scheduled Export Failed","%store_name - Scheduled Export Failed"
"%operation_name - Scheduled Export Failed","%operation_name - Scheduled Export Failed"
"Operation name:","Operation name:"
"Entity type:","Entiteetin tyyppi:"
"File history path:","File history path:"
"Date & Time:","Päivämäärä & aika:"
"Log trace:","Log trace:"
"Scheduled Import/Export File History Cleanup Warnings","Scheduled Import/Export File History Cleanup Warnings"
"%store_name  - Scheduled Import Failed","%store_name  - Scheduled Import Failed"
"%operation_name - Scheduled Import Failed","%operation_name - Scheduled Import Failed"
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Save Files, Days","Save Files, Days"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin mallipohja"
"Delete","Poista"
"Are you sure you want to delete the selected scheduled imports/exports?","Are you sure you want to delete the selected scheduled imports/exports?"
"Change Status","Muuta tila"
"Operation","Operation"
"Last Run","Last Run"
"Last Outcome","Last Outcome"
"Action","Toiminto"
"Edit","Muokkaa"
"Run","Suorita"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
