"Add Scheduled Export","Voeg geplande export toe"
"Add Scheduled Import","Voeg geplande import toe"
"Scheduled Import/Export","Geplande Import/Export"
"Please correct the scheduled operation type.","Corrigeer het type van de geplande actie."
"Name","Naam"
"Description","Beschrijving"
"Entity Type","Eenheid Type"
"Start Time","Begin Tijd"
"Frequency","Frequentie"
"Status","status"
"Server Type","Servertype"
"File Directory","Bestands Indexering"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Voor type ""Local Server"" gebruik relatief pad naar Magento installatie, bijv. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host[:Port]"
"User Name","Gebruikersnaam"
"Password","Wachtwoord"
"File Mode","Bestandsmodus"
"Passive Mode","Passieve Modus"
"Failed Email Receiver","Afzender Mislukt E-mail"
"Failed Email Sender","Afzender Mislukt E-mail"
"Failed Email Template","Mislukt E-mail sjabloon"
"Send Failed Email Copy To","Stuur Mislukte Email Copy Naar"
"Send Failed Email Copy Method","Stuur Mislukte Email Kopieer Methode"
"Export Settings","Export Instellingen"
"Export File Information","Export Bestands Informatie"
"Export Failed Emails","Export Mislukte Emails"
"File Format","Bestandsformaat"
"Entity Attributes","Eenheidattributen"
"Import Settings","Import Instellingen"
"Import File Information","Importeer Bestandsgegevens"
"Import Failed Emails","Geschiedenis-bestanden zijn verwijderd"
"Import Behavior","Import Gedrag"
"Field separator","Veldscheidingsteken"
"Multiple value separator","Meerdere waarde scheidingsteken"
"On Error","Bij fout"
"File Name","Bestandsnaam"
"Images File Directory","Foto's Bestanden Folder"
"Clean Now","Maak nu schoon"
"Scheduled Imports/Exports","Geplande Import/Export"
"The operation ran.","De bewerking liep."
"We can't run the operation right now, see error log for details.","We kunnen de bewerking nu niet uitvoeren, zie foutenlogboek voor details."
"We can't delete the scheduled operation right now.","We kunnen de geplance actie momenteel niet verwijderen."
"No valid data sent","Geen geldige gegevens verzonden"
"You deleted the history files.","U heeft de geschiedenisbestanden verwijderd."
"We can't delete the history files right now.","We kunnen momenteel geen geschiedenisbestanden verwijderen."
"A total of %1 record(s) have been updated.","%1 record(s) bijgewerkt."
"We cannot change status for all items.","We kunnen de status niet wijzigen voor alle producten."
"You deleted a total of %1 record(s).","U verwijderde een totaal van %1 rij(en)."
"We can't delete all the items right now.","We kunnen momenteel niet alle producten verwijderen."
"We can't save the scheduled operation right now.","We kunnen de geplande taak niet opslaan."
"We can't create directory ""%1""","We kunnen folder ""%1"" niet aanmaken"
"The directory ""%1"" is not writable.","De folder ""%1"" heeft geen schrijfrechten."
"We can't delete ""%1"" because the directory is not writable.","We kunnen ""%1"" niet verwijderen omdat de folder geen schrijfrechten heeft."
"Scheduled Import","Geplande Import"
"New Scheduled Import","Nieuwe Geplande Import"
"Scheduled Export","Geplande Export"
"New Scheduled Export","Nieuwe Geplande Export"
"You saved the scheduled import.","U heeft de geplande import opgeslagen."
"You saved the scheduled report.","U heeft het geplande rapport opgeslagen."
"You deleted the scheduled import.","U heeft de geplande import verwijderd."
"You deleted the scheduled export.","U heeft de geplande export verwijderd."
"Are you sure you want to delete this scheduled import?","Weet u zeker dat u de geplande import wilt verwijderen?"
"Are you sure you want to delete this scheduled export?","Weet u zeker datu de geplande export wilt verwijderen?"
"We were unable to save the cron expression.","We kunnen de periodieke expressie niet opslaan."
"Unable to delete the cron task.","Niet mogelijk om periodieke taak te verwijderen."
"Please correct the cron job task","Corrigeer de periodieke taak"
"File has been not created","Bestand is niet gemaakt"
"Something went wrong and the operation failed.","Er ging iets mis en de bewerking is mislukt."
"We can't read the file source because the file name is empty.","We kunnen het brondbestand niet lezen aangezien er geen bestandsnaam is."
"Connecting to server","Verbinding maken met server"
"Reading import file","Het lezen van importbestand"
"We can't read the import file.","We kunnen het importbestand niet lezen."
"Save history file content ""%1""","Sla de geschiedenis bestandsinhoud ""%1"" op"
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We konden bestand ""%1"" niet naar ""%2"" schrijven met behulp van het stuurprogramma ""%3""."
"Save file content","Bestandsgegevens Opslaan"
"Please correct the server type.","Corrigeer het servertype."
"Import path %1 not exists","Import pad %1 bestaat niet"
"We can't read the file.","We kunnen het bestand niet lezen."
"We can't save the file history file.","Geschiedenisbestand van het bestand kon niet worden opgeslagen."
"Unknown file format","Onbekend bestandsformaat"
"Enabled","Ingeschakeld"
"Disabled","Uitgeschakeld"
"Import","Import"
"Export","Export"
"Daily","Dagelijks"
"Weekly","Wekelijks"
"Monthly","Maandelijks"
"Local Server","Lokale Server"
"Remote FTP","Afgelegen FTP"
"Binary","Binair"
"ASCII","ASCII"
"Stop Import","Stop Import"
"Continue Processing","Doorgaan met verwerken"
"Failed","Mislukt"
"Successful","Succesvol"
"Pending","In afwachting"
"label","label"
"Can not open file","Kan bestand niet openen"
"%store_name - Scheduled Export Failed","%store_name - Geplande export is mislukt"
"%operation_name - Scheduled Export Failed","%operation_name - Geplande import is mislukt"
"Operation name:","Bewerking naam:"
"Entity type:","Entiteittype:"
"File history path:","Geschiedenis bestandspad:"
"Date & Time:","Datum & Tijd:"
"Log trace:","Log trace:"
"Scheduled Import/Export File History Cleanup Warnings","Geschiedenis van de opruimingswaarschuwingen van geplande import/export bestanden"
"%store_name  - Scheduled Import Failed","%store_name - Geplande import is mislukt"
"%operation_name - Scheduled Import Failed","%operation_name - Geplande import is mislukt"
"Scheduled Import/Export File History Cleaning","Geplande Import/Export Bestands Geschiedenis Schoonmaak"
"Save Files, Days","Bestanden Opslaan, Dagen"
"Enable Scheduled File History Cleaning","Schakel Geplande Bestands Geschiedenis Schoonmaak In"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"Delete","Verwijder"
"Are you sure you want to delete the selected scheduled imports/exports?","Weet u zeker dat u de geselecteerde geplande invoer/uitvoer wilt verwijderen?"
"Change Status","Verander status"
"Operation","Bewerking"
"Last Run","Laatst uitgevoerd"
"Last Outcome","Laatste Resultaat"
"Action","Actie"
"Edit","Bewerken"
"Run","Run"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","Gebruik voor Type ""Lokale server"" het relatieve pad naar Magento-installatie, bijvoorbeeld var/export, var/import, var/export/some/dir"
