"Add Scheduled Export","ನಿಗದಿತ ರಫ್ತುಗಳನ್ನು ಸೇರಿಸಿ"
"Add Scheduled Import","ನಿಗದಿತ ಆಮದುಗಳನ್ನು ಸೇರಿಸಿ"
"Scheduled Import/Export","ನಿಗದಿತ ಆಮದು/ರಫ್ತು"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Name","ಹೆಸರು"
"Description","ವಿವರಣೆ"
"Entity Type","Entity Type"
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"Frequency","ಆವರ್ತನ"
"Status","ಸ್ಥಿತಿ"
"Server Type","ಸರ್ವರ್ ವಿಧ"
"File Directory","File Directory"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host[:Port]"
"User Name","ಬಳಕೆದಾರರ ಹೆಸರು"
"Password","ಗುಪ್ತಪದ"
"File Mode","File Mode"
"Passive Mode","Passive Mode"
"Failed Email Receiver","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆ ಸ್ವೀಕೃತಿದಾರ"
"Failed Email Sender","ರವಾನೆ ಮಿಂಚೆ ರವಾನೆದಾರರು"
"Failed Email Template","ವಿಫಲ ಮಿಂಚೆಯ ಮಾದರಿ"
"Send Failed Email Copy To","ವಿಫಲವಾದ ಮಿಂಚೆಯ ನಕಲನ್ನು ಇವರಿಗೆ ಕಳುಹಿಸಿ"
"Send Failed Email Copy Method","ವಿಫಲವಾದ ಮಿಂಚೆಯ ನಕಲು ವಿಧಾನವನ್ನು ಕಳುಹಿಸಿ"
"Export Settings","ರಫ್ತು ಸಂಯೋಜನೆಗಳು"
"Export File Information","ರಫ್ತು ಕಡತದ ಮಾಹಿತಿ"
"Export Failed Emails","ವಿಫಲವಾದ ರಫ್ತು ಮಿಂಚೆಗಳು"
"File Format","ಕಡತದ ಮಾದರಿ"
"Entity Attributes","Entity Attributes"
"Import Settings","ಆಮದು ಸಂಯೋಜನೆಗಳು"
"Import File Information","ಆಮದು ಕಡತದ ಮಾಹಿತಿ"
"Import Failed Emails","ವಿಫಲವಾದ ಆಮದು ಮಿಂಚೆಗಳು"
"Import Behavior","ಆಮದು ವರ್ತನೆ"
"Field separator","Field separator"
"Multiple value separator","Multiple value separator"
"On Error","On Error"
"File Name","ಕಡತದ ಹೆಸರು"
"Images File Directory","Images File Directory"
"Clean Now","ಈಗ ಸ್ವಚ್ಛಗೊಳಿಸಿ"
"Scheduled Imports/Exports","ನಿಗದಿತ ಆಮದುಗಳು/ರಫ್ತುಗಳು"
"The operation ran.","The operation ran."
"We can't run the operation right now, see error log for details.","We can't run the operation right now, see error log for details."
"We can't delete the scheduled operation right now.","ನೀವು ನಿಗದಿತ ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸಧ್ಯಕ್ಕೆ ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"No valid data sent","ಮಾನ್ಯವಾದ ದತ್ತಾಂಶವನ್ನು ಕಳುಹಿಸಿಲ್ಲ"
"You deleted the history files.","ನೀವು ಇತಿಹಾಸ ಕಡತಗಳನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"We can't delete the history files right now.","ಸಧ್ಯಕ್ಕೆ ನಾವು ಇತಿಹಾಸ ಕಡತಗಳನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ."
"A total of %1 record(s) have been updated.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಿದೆ."
"We cannot change status for all items.","We cannot change status for all items."
"You deleted a total of %1 record(s).","You deleted a total of %1 record(s)."
"We can't delete all the items right now.","ಸಧ್ಯಕ್ಕೆ ನಾವು ಎಲ್ಲಾ ವಸ್ತುಗಳನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ."
"We can't save the scheduled operation right now.","ನೀವು ನಿಗದಿತ ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸಧ್ಯಕ್ಕೆ ಉಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"We can't create directory ""%1""","We can't create directory ""%1"""
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We can't delete ""%1"" because the directory is not writable.","We can't delete ""%1"" because the directory is not writable."
"Scheduled Import","Scheduled Import"
"New Scheduled Import","New Scheduled Import"
"Scheduled Export","Scheduled Export"
"New Scheduled Export","ಹೊಸ ನಿಗದಿತ ರಫ್ತು"
"You saved the scheduled import.","You saved the scheduled import."
"You saved the scheduled report.","You saved the scheduled report."
"You deleted the scheduled import.","You deleted the scheduled import."
"You deleted the scheduled export.","You deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Are you sure you want to delete this scheduled import?"
"Are you sure you want to delete this scheduled export?","Are you sure you want to delete this scheduled export?"
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Unable to delete the cron task."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","File has been not created"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We can't read the file source because the file name is empty.","We can't read the file source because the file name is empty."
"Connecting to server","ಸರ್ವರನ್ನು ಸಂಪರ್ಕಿಸುತ್ತಿದೆ"
"Reading import file","Reading import file"
"We can't read the import file.","We can't read the import file."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Save file content"
"Please correct the server type.","ಸರ್ವರ್ ವಿಧವನ್ನು ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ."
"Import path %1 not exists","Import path %1 not exists"
"We can't read the file.","ನಾವು ಕಡತವನ್ನು ಓದಲು ಸಾಧ್ಯವಿಲ್ಲ."
"We can't save the file history file.","We can't save the file history file."
"Unknown file format","ಅನಾಮಿಕ ಕಡತದ ಮಾದರಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Import","ಆಮದು"
"Export","ರಫ್ತು"
"Daily","ದೈನಿಕ"
"Weekly","ಸಾಪ್ತಾಹಿಕ"
"Monthly","ಮಾಸಿಕ"
"Local Server","ಸ್ಥಳೀಯ ಸರ್ವರ್"
"Remote FTP","Remote FTP"
"Binary","ಬೈನರಿ"
"ASCII","ಆಸ್ಕಿ"
"Stop Import","ಆಮದು ತಡೆಯಿರಿ"
"Continue Processing","ಪ್ರಕ್ರಿಯೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Failed","ವಿಫಲಗೊಂಡಿದೆ"
"Successful","ಯಶಸ್ವಿಯಾಗಿದೆ"
"Pending","ಬಾಕಿ ಇದೆ"
"label","ಲೇಬಲ್"
"Can not open file","ಕಡತ ತೆರೆಯಲು ಆಗಲಿಲ್ಲ"
"%store_name - Scheduled Export Failed","%store_name - ನಿಗದಿತ ರಫ್ತು ವಿಫಲವಾಗಿದೆ"
"%operation_name - Scheduled Export Failed","%operation_name - ನಿಗದಿತ ರಫ್ತು ವಿಫಲವಾಗಿದೆ"
"Operation name:","ಕಾರ್ಯಾಚರಣೆ ಹೆಸರು:"
"Entity type:","Entity type:"
"File history path:","File history path:"
"Date & Time:","ದಿನಾಂಕ & ಸಮಯ:"
"Log trace:","Log trace:"
"Scheduled Import/Export File History Cleanup Warnings","Scheduled Import/Export File History Cleanup Warnings"
"%store_name  - Scheduled Import Failed","%store_name - ನಿಗದಿತ ಆಮದು ವಿಫಲವಾಗಿದೆ"
"%operation_name - Scheduled Import Failed","%operation_name - ನಿಗದಿತ ಆಮದು ವಿಫಲವಾಗಿದೆ"
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Save Files, Days","Save Files, Days"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","ದೋಷ ಮಿಂಚೆ ರವಾನೆದಾರ"
"Error Email Template","ದೋಷ ಮಿಂಚೆಯ ಮಾದರಿ"
"Delete","ಅಳಿಸಿ"
"Are you sure you want to delete the selected scheduled imports/exports?","Are you sure you want to delete the selected scheduled imports/exports?"
"Change Status","ಸ್ಥಿತಿ ಬದಲಿಸಿ"
"Operation","ಕಾರ್ಯಾಚರಣೆ"
"Last Run","Last Run"
"Last Outcome","Last Outcome"
"Action","ಕ್ರಿಯೆ"
"Edit","ಸಂಪಾದಿಸಿ"
"Run","ಓಡಿ"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
