"Add Scheduled Export","Adicionar Exportação Agendada"
"Add Scheduled Import","Adicionar Importação Agendada"
"Scheduled Import/Export","Agendar Importação/Exportação"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Name","Nome"
"Description","Descrição"
"Entity Type","Tipo de Entidade"
"Start Time","Hora de início"
"Frequency","Frequência"
"Status","Estado"
"Server Type","Tipo de Servidor"
"File Directory","Directoria de ficheiros"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host[:Port]"
"User Name","Nome de utilizador"
"Password","Palavra-passe"
"File Mode","Modo de Ficheiro"
"Passive Mode","Passive Mode"
"Failed Email Receiver","Failed Email Receiver"
"Failed Email Sender","Failed Email Sender"
"Failed Email Template","Failed Email Template"
"Send Failed Email Copy To","Send Failed Email Copy To"
"Send Failed Email Copy Method","Send Failed Email Copy Method"
"Export Settings","Exportar Configurações"
"Export File Information","Export File Information"
"Export Failed Emails","Export Failed Emails"
"File Format","Formato de Ficheiro"
"Entity Attributes","Atributos de Entidade"
"Import Settings","Importar Definições"
"Import File Information","Import File Information"
"Import Failed Emails","Import Failed Emails"
"Import Behavior","Comportamento de Importação"
"Field separator","Separador de Campos"
"Multiple value separator","Delimitador para campos multi-valor"
"On Error","On Error"
"File Name","File Name"
"Images File Directory","Pasta de Ficheiros de Imagem"
"Clean Now","Limpar Agora"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"The operation ran.","The operation ran."
"We can't run the operation right now, see error log for details.","Não foi possível correr a operação agora, consulte o registo de erros para obter detalhes."
"We can't delete the scheduled operation right now.","De momento não é possível eliminar a operação agendada."
"No valid data sent","Nenhuns dado válidos enviados"
"You deleted the history files.","You deleted the history files."
"We can't delete the history files right now.","Não é possível apagar os ficheiros do histórico de momento."
"A total of %1 record(s) have been updated.","Um total de %1 registo(s) foram atualizados."
"We cannot change status for all items.","We cannot change status for all items."
"You deleted a total of %1 record(s).","You deleted a total of %1 record(s)."
"We can't delete all the items right now.","Não foi possível apagar todos os artigos."
"We can't save the scheduled operation right now.","De momento não é possível guardar a operação agendada."
"We can't create directory ""%1""","We can't create directory ""%1"""
"The directory ""%1"" is not writable.","Não é possível escrever no directório ""%1""."
"We can't delete ""%1"" because the directory is not writable.","We can't delete ""%1"" because the directory is not writable."
"Scheduled Import","Scheduled Import"
"New Scheduled Import","New Scheduled Import"
"Scheduled Export","Exportações Agendadas"
"New Scheduled Export","Nova Exportação Agendada"
"You saved the scheduled import.","You saved the scheduled import."
"You saved the scheduled report.","You saved the scheduled report."
"You deleted the scheduled import.","You deleted the scheduled import."
"You deleted the scheduled export.","You deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Are you sure you want to delete this scheduled import?"
"Are you sure you want to delete this scheduled export?","Are you sure you want to delete this scheduled export?"
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Unable to delete the cron task."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","File has been not created"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We can't read the file source because the file name is empty.","Não é possível ler a fonte do ficheiro porque o nome do ficheiro está vazio."
"Connecting to server","Connecting to server"
"Reading import file","Reading import file"
"We can't read the import file.","Não é possível ler o ficheiro a importar."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Save file content"
"Please correct the server type.","Please correct the server type."
"Import path %1 not exists","Import path %1 not exists"
"We can't read the file.","Não foi possível ler o ficheiro."
"We can't save the file history file.","Não foi possível guardar o ficheiro de histórico."
"Unknown file format","Unknown file format"
"Enabled","Ativo"
"Disabled","Inativo"
"Import","Importar"
"Export","Exportar"
"Daily","Diário"
"Weekly","Semanal"
"Monthly","Mensal"
"Local Server","Local Server"
"Remote FTP","Remote FTP"
"Binary","Binary"
"ASCII","ASCII"
"Stop Import","Stop Import"
"Continue Processing","Continue Processing"
"Failed","Falhou"
"Successful","Successful"
"Pending","Pendente"
"label","etiqueta"
"Can not open file","Can not open file"
"%store_name - Scheduled Export Failed","%store_name - Scheduled Export Failed"
"%operation_name - Scheduled Export Failed","%operation_name - Scheduled Export Failed"
"Operation name:","Operation name:"
"Entity type:","Entity type:"
"File history path:","File history path:"
"Date & Time:","Data & Hora:"
"Log trace:","Log trace:"
"Scheduled Import/Export File History Cleanup Warnings","Scheduled Import/Export File History Cleanup Warnings"
"%store_name  - Scheduled Import Failed","%store_name  - Scheduled Import Failed"
"%operation_name - Scheduled Import Failed","%operation_name - Scheduled Import Failed"
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Save Files, Days","Save Files, Days"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Error Email Recipient","Destinatário de Email de Erro"
"Error Email Sender","Remetente de Email de Erro"
"Error Email Template","Template de Email de Erro"
"Delete","Eliminar"
"Are you sure you want to delete the selected scheduled imports/exports?","Are you sure you want to delete the selected scheduled imports/exports?"
"Change Status","Alterar Estado"
"Operation","Operation"
"Last Run","Last Run"
"Last Outcome","Last Outcome"
"Action","Ação"
"Edit","Editar"
"Run","Executar"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
