"Add Scheduled Export","Adicionar Exportação Programada"
"Add Scheduled Import","Nova Exportação Agendada"
"Scheduled Import/Export","Agendar Importação/Exportação"
"Please correct the scheduled operation type.","Por favor, corrija o tipo de operação agendada."
"Name","Nome"
"Description","Descrição"
"Entity Type","Tipo de entidade"
"Start Time","Hora de Início"
"Frequency","Frequência"
"Status","Situação"
"Server Type","Tipo de Servidor"
"File Directory","Diretório de Arquivos"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Para o tipo ""Servidor Local"" use um caminho relativo da instalação do Magento, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host [: porta]"
"User Name","Nome de Usuário"
"Password","Senha"
"File Mode","Modo de Ficheiro"
"Passive Mode","Modo Passivo"
"Failed Email Receiver","Receptor do E-mail falhou"
"Failed Email Sender","Remetente do E-mail falhou"
"Failed Email Template","Modelo de E-mail de Falha"
"Send Failed Email Copy To","Enviar cópia de E-mail falhou para"
"Send Failed Email Copy Method","Enviar E-mail falha de método de cópia"
"Export Settings","Exportar Configurações"
"Export File Information","Formato do arquivo de exportação"
"Export Failed Emails","Exportar E-mails falhou"
"File Format","Formato do arquivo"
"Entity Attributes","Atributos de Entidade"
"Import Settings","Importar Configurações"
"Import File Information","Informações do Arquivo de Importação"
"Import Failed Emails","E-mails falha ao importar"
"Import Behavior","Comportamento de Importação"
"Field separator","Separador de Campos"
"Multiple value separator","Separador de valor múltiplo"
"On Error","No erro"
"File Name","Nome do Arquivo"
"Images File Directory","Diretório do arquivos de imagens"
"Clean Now","Limpar Agora"
"Scheduled Imports/Exports","Agendar Importação/Exportação"
"The operation ran.","A operação ocorreu com sucesso."
"We can't run the operation right now, see error log for details.","Não foi possível executar a operação agora, consulte o registo de erros para obter detalhes."
"We can't delete the scheduled operation right now.","De momento não é possível eliminar a operação agendada."
"No valid data sent","Nenhum dado válido enviado"
"You deleted the history files.","Você excluiu o histórico de arquivos."
"We can't delete the history files right now.","Não é possível apagar os arquivos do histórico de momento."
"A total of %1 record(s) have been updated.","Um total de %1 registro(s) foram atualizados."
"We cannot change status for all items.","Nós não podemos mudar o status de todos os itens."
"You deleted a total of %1 record(s).","Você excluiu um total de %1 registro(s)."
"We can't delete all the items right now.","Não foi possível apagar todos os ítens."
"We can't save the scheduled operation right now.","De momento não é possível salvar a operação agendada."
"We can't create directory ""%1""","Nós não podemos criar o diretório ""%1"""
"The directory ""%1"" is not writable.","O diretório ""%1"" não é editável."
"We can't delete ""%1"" because the directory is not writable.","Não foi possível eliminar ""%1"" porque o diretório não tem permissões de escrita."
"Scheduled Import","Importações Agendadas"
"New Scheduled Import","Nova importação Agendada"
"Scheduled Export","Exportações Agendadas"
"New Scheduled Export","Nova Exportação agendada"
"You saved the scheduled import.","Você salvou a importação agendada."
"You saved the scheduled report.","Você salvou o relatório agendado."
"You deleted the scheduled import.","Você deletou a importação agendada."
"You deleted the scheduled export.","Você deletou a exportação agendada."
"Are you sure you want to delete this scheduled import?","Você tem certeza de que quer deletar esta importação agendada?"
"Are you sure you want to delete this scheduled export?","Você tem certeza de que quer deletar esta exportação agendada?"
"We were unable to save the cron expression.","Não foi possível salvar a expressão na cron."
"Unable to delete the cron task.","Habilitar para deletar a tarefa da cron."
"Please correct the cron job task","Por favor corrija a tarefa da cron"
"File has been not created","O arquivo não foi criado"
"Something went wrong and the operation failed.","Algo deu errado e a operação falhou."
"We can't read the file source because the file name is empty.","Não é possível ler a fonte do arquivo porque o nome do arquivo está vazio."
"Connecting to server","Conectando ao servidor"
"Reading import file","Lendo o arquivo de importação"
"We can't read the import file.","Não é possível ler o arquivo a importar."
"Save history file content ""%1""","Salvar o conteúdo do arquivo de história ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Não foi possível gravar o arquivo ""%1"" para ""%2"" com o ""%3""."
"Save file content","Salvar o conteúdo do arquivo"
"Please correct the server type.","Por Favor corrija o tiço de servidor."
"Import path %1 not exists","%1 do caminho de importação não existe"
"We can't read the file.","Não foi possível ler o arquivo."
"We can't save the file history file.","Não foi possível guardar o arquivo de histórico."
"Unknown file format","Formato de arquivo desconhecido"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Import","Importar"
"Export","Exportar"
"Daily","Diário"
"Weekly","Semanal"
"Monthly","Mensal"
"Local Server","Servidor Local"
"Remote FTP","FTP Remoto"
"Binary","Binário"
"ASCII","ASCII"
"Stop Import","Parar importação"
"Continue Processing","Continuar o processamento"
"Failed","Falhou"
"Successful","Sucesso"
"Pending","Pendente"
"label","rótulo"
"Can not open file","Não foi possível abrir o arquivo"
"%store_name - Scheduled Export Failed","%store_name - exportação agendada falhou"
