"Add Scheduled Export","Zamanlanmış Dışaktarma Ekle"
"Add Scheduled Import","Zamanlanmış İçe Aktarma Ekle"
"Scheduled Import/Export","Zamanlanmış alma/verme"
"Please correct the scheduled operation type.","Lütfen planlanan işlem türünü düzeltin."
"Name","Adı"
"Description","Açıklama"
"Entity Type","Varlık Tipi"
"Start Time","Başlangıç Zamanı"
"Frequency","Sıklık"
"Status","Durum"
"Server Type","Sunucu türü"
"File Directory","Dosya Dizini"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Sunucu[:Port]"
"User Name","Kullanıcı Adı"
"Password","Şifre"
"File Mode","Dosya Modu"
"Passive Mode","Pasif mod"
"Failed Email Receiver","Başarısız E-posta Alıcısı"
"Failed Email Sender","Başarısız E-posta Gönderen"
"Failed Email Template","Başarısız E-posta Şablonu"
"Send Failed Email Copy To","Başarısız E-posta Kopyasını gönder"
"Send Failed Email Copy Method","Başarısız E-posta Kopyalama Yöntemi Gönder"
"Export Settings","Ayarları Dışa Aktar"
"Export File Information","Dosya bilgisini dışa aktar"
"Export Failed Emails","Başarısız E-postaları Dışa Aktar"
"File Format","Dosya formatı"
"Entity Attributes","Varlık Özellikleri"
"Import Settings","Ayarları Al"
"Import File Information","Dosya bilgisini içe aktar"
"Import Failed Emails","Başarısız Ödeme E-posta Adresleri"
"Import Behavior","İçe Aktarma Davranışı"
"Field separator","Alan ayırıcı"
"Multiple value separator","Çoklu değer ayırıcı"
"On Error","Hatalı"
"File Name","Dosya Adı"
"Images File Directory","Görüntü Dosyası Rehberi"
"Clean Now","Şimdi temizle"
"Scheduled Imports/Exports","Zamanlanmış alış/satış"
"The operation ran.","Operasyon koştu."
"We can't run the operation right now, see error log for details.","İşlemi şu anda yürütemiyoruz, ayrıntılar için hata günlüğüne bakın."
"We can't delete the scheduled operation right now.","Zamanlanmış işlemi şu anda silemiyoruz."
"No valid data sent","Geçerli veri gönderilmedi"
"You deleted the history files.","Geçmiş dosyalarını sildiniz."
"We can't delete the history files right now.","Geçmiş dosyalarını şu an silemiyoruz."
"A total of %1 record(s) have been updated.","Toplam %1 kayıt (lar) güncellendi."
"We cannot change status for all items.","Tüm öğeler için durumu değiştiremeyiz."
"You deleted a total of %1 record(s).","Toplam %1 kayıt sildiniz)."
"We can't delete all the items right now.","Şu anda tüm öğeleri silemiyoruz."
"We can't save the scheduled operation right now.","Zamanlanmış işlemi şu an kaydedemiyoruz."
"We can't create directory ""%1""","""%1"" dizinini oluşturamıyoruz"
"The directory ""%1"" is not writable.","""%1"" dizini yazılabilir değil."
"We can't delete ""%1"" because the directory is not writable.","""%1"" 'i silemeyiz çünkü dizin yazılabilir değil."
"Scheduled Import","Zamanlanmış İçe Aktarma"
"New Scheduled Import","Yeni Zamanlanmış İçe Aktarma"
"Scheduled Export","Zamanlanmış Dışa Aktarma"
"New Scheduled Export","Yeni Planlanmış Dışa Aktarma"
"You saved the scheduled import.","Zamanlanmış içe aktarımı kaydettiniz."
"You saved the scheduled report.","Zamanlanmış raporu kaydettiniz."
