"Add Scheduled Export","Legg til planlagt eksport"
"Add Scheduled Import","Legg til planlagt Import"
"Scheduled Import/Export","Planlagt Import/eksport"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Name","Navn"
"Description","Beskrivelse"
"Entity Type","Enhetstype"
"Start Time","Starttid"
"Frequency","Frekvens"
"Status","Status"
"Server Type","Servertype"
"File Directory","Filkatalog"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP-vert [:Port]"
"User Name","Brukernavn"
"Password","Passord"
"File Mode","Fil-modus"
"Passive Mode","Passiv modus"
"Failed Email Receiver","Failed Email Receiver"
"Failed Email Sender","Failed Email Sender"
"Failed Email Template","Failed Email Template"
"Send Failed Email Copy To","Send Failed Email Copy To"
"Send Failed Email Copy Method","Send Failed Email Copy Method"
"Export Settings","Eksportinnstillingene"
"Export File Information","Export File Information"
"Export Failed Emails","Export Failed Emails"
"File Format","File Format"
"Entity Attributes","Entity Attributes"
"Import Settings","Import Settings"
"Import File Information","Import File Information"
"Import Failed Emails","Import Failed Emails"
"Import Behavior","Import Behavior"
"Field separator","Field separator"
"Multiple value separator","Multiple value separator"
"On Error","On Error"
"File Name","File Name"
"Images File Directory","Images File Directory"
"Clean Now","Clean Now"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"The operation ran.","The operation ran."
"We can't run the operation right now, see error log for details.","We can't run the operation right now, see error log for details."
"We can't delete the scheduled operation right now.","We can't delete the scheduled operation right now."
"No valid data sent","No valid data sent"
"You deleted the history files.","You deleted the history files."
"We can't delete the history files right now.","We can't delete the history files right now."
"A total of %1 record(s) have been updated.","Totalt %1 post(er) er oppdatert."
"We cannot change status for all items.","Vi kan ikke endre status for alle varer."
"You deleted a total of %1 record(s).","You deleted a total of %1 record(s)."
"We can't delete all the items right now.","We can't delete all the items right now."
"We can't save the scheduled operation right now.","We can't save the scheduled operation right now."
"We can't create directory ""%1""","We can't create directory ""%1"""
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We can't delete ""%1"" because the directory is not writable.","We can't delete ""%1"" because the directory is not writable."
"Scheduled Import","Scheduled Import"
"New Scheduled Import","New Scheduled Import"
"Scheduled Export","Planlagt Eksport"
"New Scheduled Export","Ny Planlagt Eksport"
"You saved the scheduled import.","Du lagret planlagt import."
"You saved the scheduled report.","Du lagret planlagt rapport."
"You deleted the scheduled import.","Du slettet planlagt import."
"You deleted the scheduled export.","Du slettet planlagt eksport."
"Are you sure you want to delete this scheduled import?","Er du sikker på at du vil slette denne planlagte importen?"
"Are you sure you want to delete this scheduled export?","Er du sikker på at du vil slette denne planlagte eksporten?"
"We were unable to save the cron expression.","Vi kunne ikke lagre cron-uttrykket."
"Unable to delete the cron task.","Kunne ikke slette cron-oppgaven."
"Please correct the cron job task","Vennligst rett cron-job-oppgaven"
"File has been not created","Filen har ikke blitt laget"
"Something went wrong and the operation failed.","Noe gikk galt og operasjonen misslyktes."
"We can't read the file source because the file name is empty.","We can't read the file source because the file name is empty."
"Connecting to server","Kobler til server"
"Reading import file","Leser importfilen"
"We can't read the import file.","We can't read the import file."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Lagre filinnhold"
"Please correct the server type.","Vennligst rett server typen."
"Import path %1 not exists","Import path %1 not exists"
"We can't read the file.","We can't read the file."
"We can't save the file history file.","We can't save the file history file."
"Unknown file format","Unknown file format"
"Enabled","Aktivert"
"Disabled","Deaktivert"
"Import","Importere"
"Export","Eksport"
"Daily","Daglig"
"Weekly","Ukentlig"
"Monthly","Månedlig"
"Local Server","Lokal Server"
"Remote FTP","Remote FTP"
"Binary","Binær"
"ASCII","ASCII"
"Stop Import","Stopp Import"
"Continue Processing","Fortsett prosesseringen"
"Failed","Mislykket"
"Successful","Vellykket"
"Pending","Ventende"
"label","etikett"
"Can not open file","Kan ikke åpne fil"
"%store_name - Scheduled Export Failed","%store_name - Scheduled Export Failed"
"%operation_name - Scheduled Export Failed","%operation_name - Scheduled Export Failed"
"Operation name:","Operasjonsnavn:"
"Entity type:","Enhetstype:"
"File history path:","File history path:"
"Date & Time:","Dato & tid:"
"Log trace:","Log spor:"
"Scheduled Import/Export File History Cleanup Warnings","Scheduled Import/Export File History Cleanup Warnings"
"%store_name  - Scheduled Import Failed","%store_name  - Scheduled Import Failed"
"%operation_name - Scheduled Import Failed","%operation_name - Scheduled Import Failed"
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Save Files, Days","Save Files, Days"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Feil Epost Sender"
"Error Email Template","Feil Epost Mal"
"Delete","Slett"
"Are you sure you want to delete the selected scheduled imports/exports?","Er du sikker på at du vil slette den valgte planlagte importen/ eksporten?"
"Change Status","Endre status"
"Operation","Operasjon"
"Last Run","Last Run"
"Last Outcome","Last Outcome"
"Action","Handling"
"Edit","Redigere"
"Run","Run"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
