"Add Scheduled Export","Thêm định dạng Export"
"Add Scheduled Import","Thêm định dạng import"
"Scheduled Import/Export","định dạng Import/export"
"Please correct the scheduled operation type.","Xin vui lòng làm chính xác hình thức hoạt động theo lịch trình."
"Name","Tên"
"Description","Mô tả"
"Entity Type","Loại thực thể"
"Start Time","Thời Gian Bắt Đầu"
"Frequency","Tần Suất"
"Status","Trạng thái"
"Server Type","Loại Server"
"File Directory","Tập tin thư mục"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","Máy chủ FTP [: port]"
"User Name","Tên người dùng"
"Password","Mật khẩu"
"File Mode","Chế độ tập tin"
"Passive Mode","Chế độ thụ động"
"Failed Email Receiver","Nhận Email Thất bại"
"Failed Email Sender","Gửi Email Thất bại"
"Failed Email Template","Mẫu Email Thất bại"
"Send Failed Email Copy To","Gửi bản sao Email thất bại đến"
"Send Failed Email Copy Method","Gửiphương pháp sao Email thất bại"
"Export Settings","Xuất thiết lập"
"Export File Information","Thông tin tập tin xuất"
"Export Failed Emails","Xuất email thất bại"
"File Format","Định dạng tập tin"
"Entity Attributes","Thuộc tính tổ chức"
"Import Settings","Nhập thiết lập"
"Import File Information","Thông tin tập tin nhập"
"Import Failed Emails","Nhập email thất bại"
"Import Behavior","Hành vi nhập"
"Field separator","Tách trường"
"Multiple value separator","Tách đa giá trị"
"On Error","Bị lỗi"
"File Name","Tên tập tin"
"Images File Directory","Hình ảnh tập tin thư mục"
"Clean Now","Dọn ngay bây giờ"
"Scheduled Imports/Exports","định dạng Import/export"
"The operation ran.","Quá trình thực hiện đã chạy."
"We can't run the operation right now, see error log for details.","Chúng tôi không thể chạy các hoạt động ngay bây giờ, hãy xem chi tiết nhật ký lỗi."
"We can't delete the scheduled operation right now.","Hiện tại không thể xóa các hoạt động theo lịch trình ngay bây giờ."
"No valid data sent","Không có dữ liệu hợp lệ được gửi"
"You deleted the history files.","Bạn đã xoá tập tin lịch sử."
"We can't delete the history files right now.","Hiện tại không thể xóa các tập tin lịch sử ngay bây giờ."
"A total of %1 record(s) have been updated.","Tổng cộng %1 bản ghi (s) đã được cập nhật."
"We cannot change status for all items.","Chúng tôi không thể thay đổi trạng thái cho tất cả các sản phẩm."
"You deleted a total of %1 record(s).","Bạn đã xoá tổng số là %1 bản ghi."
"We can't delete all the items right now.","Chúng tôi không thể xoá tất cả các mặt hàng này ngay bây giờ."
"We can't save the scheduled operation right now.","Chúng tôi không thể lưu các hoạt động theo lịch trình ngay bây giờ."
"We can't create directory ""%1""","Chúng tôi không thể tạo thư mục ""%1"""
"The directory ""%1"" is not writable.","Thư mục ""%1"" không thể ghi được."
"We can't delete ""%1"" because the directory is not writable.","Hiện tại không thể xóa ""%1"" bởi vì thư mục không ghi được."
"Scheduled Import","Dự kiến nhập"
"New Scheduled Import","Dự kiến nhập mới"
"Scheduled Export","Dự kiến xuất"
"New Scheduled Export","Dự kiến xuất mới"
"You saved the scheduled import.","Bạn lưu lịch trình nhập."
"You saved the scheduled report.","Bạn đã lưu các báo cáo theo lịch trình."
"You deleted the scheduled import.","Bạn đã xoá lịch trình nhập."
"You deleted the scheduled export.","Bạn đã xoá lịch trình xuất."
"Are you sure you want to delete this scheduled import?","Bạn có chắc bạn muốn xóa bỏ dự kiến nhập này?"
"Are you sure you want to delete this scheduled export?","Bạn có chắc bạn muốn xóa bỏ dự kiến xuất này?"
"We were unable to save the cron expression.","Chúng tôi đã không thể lưu các biểu thức định kỳ."
"Unable to delete the cron task.","Không thể xóa bỏ tác vụ định kỳ."
"Please correct the cron job task","Xin vui lòng làm chính xác nhiệm vụ công việc định kỳ"
"File has been not created","Tệp đã không được tạo ra"
"Something went wrong and the operation failed.","Một cái gì đó đã đi sai và thao tác thất bại."
"We can't read the file source because the file name is empty.","Chúng tôi không thể đọc tập tin vì tên tập tin là rỗng."
"Connecting to server","Kết nối với máy chủ"
"Reading import file","Đọc tập tin nhập"
"We can't read the import file.","Chúng tôi không thể đọc tập tin được tích hợp."
"Save history file content ""%1""","Lưu nội dung lịch sử tập tin ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Chúng tôi không thể ghi các file tệp ""%1"" đến ""%2"" với phần mềm ghi ""%3""."
"Save file content","Lưu tệp nội dung"
"Please correct the server type.","Xin vui lòng làm chính xác loại máy chủ."
"Import path %1 not exists","đường dẫn Nhập %1 không tồn tại"
"We can't read the file.","Chúng tôi không thể đọc tập tin."
"We can't save the file history file.","Chúng tôi không thể lưu các lịch sử tập tin."
"Unknown file format","Định dạng tập tin không rõ"
"Enabled","Cho phép"
"Disabled","Vô hiệu hóa"
"Import","Nhập"
"Export","Xuất"
"Daily","Hàng ngày"
"Weekly","Hằng tuần"
"Monthly","Hàng tháng"
"Local Server","Máy chủ địa phương"
"Remote FTP","FTP từ xa"
"Binary","Nhị phân"
"ASCII","ASCII"
"Stop Import","Dừng chuyển nhập"
"Continue Processing","Tiếp tục xử lý"
"Failed","Thất bại"
"Successful","Thành công"
"Pending","Đợi duyệt"
"label","nhãn"
"Can not open file","Không thể mở tập tin"
"%store_name - Scheduled Export Failed","%store_name - dự kiến xuất không thành công"
"%operation_name - Scheduled Export Failed","%operation_name - dự kiến xuất không thành công"
"Operation name:","Tên hành động:"
"Entity type:","Loại thực thể:"
"File history path:","Đường dẫn tệp lịch sử:"
"Date & Time:","Ngày & Giờ:"
"Log trace:","Nhật ký theo dõi:"
"Scheduled Import/Export File History Cleanup Warnings","Cảnh báo dọn dẹp lịch sử tập tin Theo lịch trình nhập khẩu"
"%store_name  - Scheduled Import Failed","%store_name - dự kiến nhập không thành công"
"%operation_name - Scheduled Import Failed","%operation_name - dự kiến nhập không thành công"
"Scheduled Import/Export File History Cleaning","Lên kế hoạch dọn dẹp tập tin nhập"
"Save Files, Days","Lưu các tập tin, ngày"
"Enable Scheduled File History Cleaning","Cho phép lên lịch làm sạch tệp tin lịch sử"
"Error Email Recipient","Lỗi Email người nhận"
"Error Email Sender","Lỗi Email người gửi"
"Error Email Template","Lỗi Email mẫu"
"Delete","Xóa bỏ"
