"Add Scheduled Export","Ajouter export programmés"
"Add Scheduled Import","Ajouter import programmés"
"Scheduled Import/Export","Importations / exportations programmées"
"Please correct the scheduled operation type.","Veuillez corriger les types d'opérations programmées."
"Name","Nom"
"Description","Description"
"Entity Type","Type d'entité"
"Start Time","Heure de début"
"Frequency","Fréquence"
"Status","Statut"
"Server Type","Type de serveur"
"File Directory","Répertoire de fichiers"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Pour le type ""Serveur local"" utilisez le chemin relatif à l'installation de Magento, par exemple var/export, var/import, var/export/XXXX/dir"
"FTP Host[:Port]","Hôte FTP [:Port]"
"User Name","Nom d'utilisateur"
"Password","Mot de passe"
"File Mode","Mode de fichiers"
"Passive Mode","Mode passif"
"Failed Email Receiver","Destinataire du courriel échoué"
"Failed Email Sender","Expéditeur du courriel échoué"
"Failed Email Template","Modèle de courriel échoué"
"Send Failed Email Copy To","Envoyer une copie du courriel échoué à"
"Send Failed Email Copy Method","Méthode d'envoi de la copie du courriel échoué"
"Export Settings","Paramètres d'export"
"Export File Information","Informations sur le fichier d'exportation"
"Export Failed Emails","Exporter les courriels échoués"
"File Format","Format de fichier"
"Entity Attributes","Attributs d'entité"
"Import Settings","Paramètres d'import"
"Import File Information","Informations sur le fichier d'importation"
"Import Failed Emails","Importer les courriels échoués"
"Import Behavior","Comportement d'import"
"Field separator","Séparateur de champ"
"Multiple value separator","Séparateur de valeurs multiples"
"On Error","En cas d’erreur"
"File Name","Nom du fichier"
"Images File Directory","Répertoire des fichiers images"
"Clean Now","Nettoyer maintenant"
"Scheduled Imports/Exports","Importations / exportations programmées"
"The operation ran.","L’opération se déroule."
"We can't run the operation right now, see error log for details.","Nous ne pouvons pas exécuter l'opération en ce moment, voir les erreurs de log pour plus de détails."
"We can't delete the scheduled operation right now.","Nous ne pouvons pas supprimer l'opération planifiée en ce moment."
"No valid data sent","Aucune donnée valide envoyée"
"You deleted the history files.","Vous avez supprimé les fichiers de l'historique."
"We can't delete the history files right now.","Nous ne pouvons pas supprimer les fichiers d'historique en ce moment."
"A total of %1 record(s) have been updated.","%1 enregistrement(s) a (ont) été mis à jour."
"We cannot change status for all items.","Nous ne pouvons pas changer de statut pour tous les articles."
"You deleted a total of %1 record(s).","Vous avez supprimé un total de %1 enregistrement(s)."
