"Add Scheduled Export","Додај Сцхедулед Извези"
"Add Scheduled Import","Додај Сцхедулед Увези"
"Scheduled Import/Export","Сцхедулед Увези/Извези"
"Please correct the scheduled operation type.","Молимо исправите тхе сцхедулед оператион тyпе."
"Name","Име"
"Description","Опис"
"Entity Type","Ентитy Тип"
"Start Time","Време почетка"
"Frequency","Учесталост"
"Status","Статус"
"Server Type","Сервер Тип"
"File Directory","Датотека Дирецторy"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","За тип ""Локални сервер"" користите релативну путању до Магенто инсталације, нпр. вар/еxпорт, вар/импорт, вар/еxпорт/соме/дир"
"FTP Host[:Port]","FTP Host[:Port]"
"User Name","Корисничко име"
"Password","Лозинка"
"File Mode","Датотека Моде"
"Passive Mode","Passive Mode"
"Failed Email Receiver","Фаилед Е-пошта Рецеивер"
"Failed Email Sender","Фаилед Е-пошта Сендер"
"Failed Email Template","Фаилед Е-пошта Темплате"
"Send Failed Email Copy To","Пошаљи Фаилед Е-пошта Копирај То"
"Send Failed Email Copy Method","Пошаљи Фаилед Е-пошта Копирај Метход"
"Export Settings","Извези Подешавања"
"Export File Information","Извези Датотека Информације"
"Export Failed Emails","Извези Фаилед Емаилс"
"File Format","Датотека Формат"
"Entity Attributes","Entity Attributes"
"Import Settings","Увези Подешавања"
"Import File Information","Увези Датотека Информације"
"Import Failed Emails","Увези Фаилед Емаилс"
"Import Behavior","Увези Бехавиор"
"Field separator","Field separator"
"Multiple value separator","Multiple value separator"
"On Error","Укључено Грешка"
"File Name","Датотека Назив"
"Images File Directory","Имагес Датотека Дирецторy"
"Clean Now","Clean Now"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"The operation ran.","The operation ran."
"We can't run the operation right now, see error log for details.","We can't run the operation right now, see error log for details."
"We can't delete the scheduled operation right now.","We can't delete the scheduled operation right now."
"No valid data sent","Не валид дата сент"
"You deleted the history files.","You deleted the history files."
"We can't delete the history files right now.","We can't delete the history files right now."
"A total of %1 record(s) have been updated.","Укупно %1 запис(а) је промењено."
"We cannot change status for all items.","Wе не може цханге статус фор алл итемс."
"You deleted a total of %1 record(s).","You deleted a total of %1 record(s)."
"We can't delete all the items right now.","We can't delete all the items right now."
"We can't save the scheduled operation right now.","We can't save the scheduled operation right now."
"We can't create directory ""%1""","Не можемо да креирамо директоријум ""%1"""
"The directory ""%1"" is not writable.","Директоријум ""%1"" није за писање."
"We can't delete ""%1"" because the directory is not writable.","Не можемо да обришемо ""%1"" јер директоријум није за писање."
"Scheduled Import","Сцхедулед Увези"
"New Scheduled Import","Ново Сцхедулед Увези"
"Scheduled Export","Сцхедулед Извези"
"New Scheduled Export","Ново Сцхедулед Извези"
"You saved the scheduled import.","You saved the scheduled import."
"You saved the scheduled report.","You saved the scheduled report."
"You deleted the scheduled import.","You deleted the scheduled import."
"You deleted the scheduled export.","You deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Да ли сте сигурни желите да делете тхис сцхедулед импорт?"
"Are you sure you want to delete this scheduled export?","Да ли сте сигурни желите да делете тхис сцхедулед еxпорт?"
"We were unable to save the cron expression.","Wе wере није могуће саве тхе црон еxпрессион."
"Unable to delete the cron task.","Није могуће делете тхе црон таск."
"Please correct the cron job task","Молимо исправите тхе црон јоб таск"
"File has been not created","Датотека је нот цреатед"
"Something went wrong and the operation failed.","Нешто није у реду анд тхе оператион фаилед."
"We can't read the file source because the file name is empty.","We can't read the file source because the file name is empty."
"Connecting to server","Connecting to server"
"Reading import file","Reading import file"
"We can't read the import file.","We can't read the import file."
"Save history file content ""%1""","Сачувај садржај историјске датотеке ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Не можемо уписати датотеку ""%1"" у ""%2"" са ""%3"" управљачким програмом."
"Save file content","Сачувај филе цонтент"
"Please correct the server type.","Молимо исправите тхе сервер тyпе."
"Import path %1 not exists","Увези патх %1 нот еxистс"
"We can't read the file.","We can't read the file."
"We can't save the file history file.","We can't save the file history file."
"Unknown file format","Непознат филе формат"
"Enabled","Омогућено"
"Disabled","Онемогућено"
"Import","Увести"
"Export","Извези"
"Daily","Дневно"
"Weekly","Седмично"
"Monthly","Месечно"
"Local Server","Local Server"
"Remote FTP","Remote FTP"
"Binary","Binary"
"ASCII","ASCII"
"Stop Import","Стоп Увези"
"Continue Processing","Настави Обрађује се"
"Failed","Није успело"
"Successful","Successful"
"Pending","На чекању"
"label","ознака"
"Can not open file","Can not open file"
"%store_name - Scheduled Export Failed","%сторе_наме - Сцхедулед Извези Фаилед"
"%operation_name - Scheduled Export Failed","%оператион_наме - Сцхедулед Извези Фаилед"
"Operation name:","Operation name:"
"Entity type:","Entity type:"
"File history path:","Датотека хисторy патх:"
"Date & Time:","Датум & време:"
"Log trace:","Log trace:"
"Scheduled Import/Export File History Cleanup Warnings","Сцхедулед Увези/Извези Датотека Хисторy Цлеануп Wарнингс"
"%store_name  - Scheduled Import Failed","%сторе_наме  - Сцхедулед Увези Фаилед"
"%operation_name - Scheduled Import Failed","%оператион_наме - Сцхедулед Увези Фаилед"
"Scheduled Import/Export File History Cleaning","Сцхедулед Увези/Извези Датотека Хисторy Цлеанинг"
"Save Files, Days","Сачувај Филес, Даyс"
"Enable Scheduled File History Cleaning","Омогући Сцхедулед Датотека Хисторy Цлеанинг"
"Error Email Recipient","Погрешан Прималац Мејла"
"Error Email Sender","Погрешан Пошиљалац Мејла"
"Error Email Template","Погрешан Мејл Шаблон"
"Delete","Обрисати"
"Are you sure you want to delete the selected scheduled imports/exports?","Да ли сте сигурни желите да делете тхе селецтед сцхедулед импортс/еxпортс?"
"Change Status","Промена статуса"
"Operation","Operation"
"Last Run","Последњи Рун"
"Last Outcome","Последњи Оутцоме"
"Action","Акција"
"Edit","Измени"
"Run","Run"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","За тип ""Локални сервер"" користите релативну путању до Магенто инсталације,  нпр. вар/еxпорт, вар/импорт, вар/еxпорт/соме/дир"
