"Add Scheduled Export","Dodaj Scheduled Izvezi"
"Add Scheduled Import","Dodaj Scheduled Uvezi"
"Scheduled Import/Export","Scheduled Uvezi/Izvezi"
"Please correct the scheduled operation type.","Molimo ispravite the scheduled operation type."
"Name","Ime"
"Description","Opis"
"Entity Type","Entity Tip"
"Start Time","Vreme početka"
"Frequency","Učestalost"
"Status","Status"
"Server Type","Server Tip"
"File Directory","Datoteka Directory"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Za tip ""Lokalni server"" koristite relativnu putanju do Magento instalacije, npr. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host[:Port]"
"User Name","Korisničko ime"
"Password","Lozinka"
"File Mode","Datoteka Mode"
"Passive Mode","Passive Mode"
"Failed Email Receiver","Failed E-pošta Receiver"
"Failed Email Sender","Failed E-pošta Sender"
"Failed Email Template","Failed E-pošta Template"
"Send Failed Email Copy To","Pošalji Failed E-pošta Kopiraj To"
"Send Failed Email Copy Method","Pošalji Failed E-pošta Kopiraj Method"
"Export Settings","Izvezi Podešavanja"
"Export File Information","Izvezi Datoteka Informacije"
"Export Failed Emails","Izvezi Failed Emails"
"File Format","Datoteka Format"
"Entity Attributes","Entity Attributes"
"Import Settings","Uvezi Podešavanja"
"Import File Information","Uvezi Datoteka Informacije"
"Import Failed Emails","Uvezi Failed Emails"
"Import Behavior","Uvezi Behavior"
"Field separator","Field separator"
"Multiple value separator","Multiple value separator"
"On Error","Uključeno Greška"
"File Name","Datoteka Naziv"
"Images File Directory","Images Datoteka Directory"
"Clean Now","Clean Now"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"The operation ran.","The operation ran."
"We can't run the operation right now, see error log for details.","We can't run the operation right now, see error log for details."
"We can't delete the scheduled operation right now.","We can't delete the scheduled operation right now."
"No valid data sent","Ne valid data sent"
"You deleted the history files.","You deleted the history files."
"We can't delete the history files right now.","We can't delete the history files right now."
"A total of %1 record(s) have been updated.","Ukupno %1 zapis(a) je promenjeno."
"We cannot change status for all items.","We ne može change status for all items."
"You deleted a total of %1 record(s).","You deleted a total of %1 record(s)."
"We can't delete all the items right now.","We can't delete all the items right now."
"We can't save the scheduled operation right now.","We can't save the scheduled operation right now."
"We can't create directory ""%1""","Ne možemo da kreiramo direktorijum ""%1"""
"The directory ""%1"" is not writable.","Direktorijum ""%1"" nije za pisanje."
"We can't delete ""%1"" because the directory is not writable.","Ne možemo da obrišemo ""%1"" jer direktorijum nije za pisanje."
"Scheduled Import","Scheduled Uvezi"
"New Scheduled Import","Novo Scheduled Uvezi"
"Scheduled Export","Scheduled Izvezi"
"New Scheduled Export","Novo Scheduled Izvezi"
"You saved the scheduled import.","You saved the scheduled import."
"You saved the scheduled report.","You saved the scheduled report."
"You deleted the scheduled import.","You deleted the scheduled import."
"You deleted the scheduled export.","You deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Da li ste sigurni želite da delete this scheduled import?"
"Are you sure you want to delete this scheduled export?","Da li ste sigurni želite da delete this scheduled export?"
"We were unable to save the cron expression.","We were nije moguće save the cron expression."
"Unable to delete the cron task.","Nije moguće delete the cron task."
"Please correct the cron job task","Molimo ispravite the cron job task"
"File has been not created","Datoteka je not created"
"Something went wrong and the operation failed.","Nešto nije u redu and the operation failed."
"We can't read the file source because the file name is empty.","We can't read the file source because the file name is empty."
"Connecting to server","Connecting to server"
"Reading import file","Reading import file"
"We can't read the import file.","We can't read the import file."
"Save history file content ""%1""","Sačuvaj sadržaj istorijske datoteke ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Ne možemo upisati datoteku ""%1"" u ""%2"" sa ""%3"" upravljačkim programom."
"Save file content","Sačuvaj file content"
"Please correct the server type.","Molimo ispravite the server type."
"Import path %1 not exists","Uvezi path %1 not exists"
"We can't read the file.","We can't read the file."
"We can't save the file history file.","We can't save the file history file."
"Unknown file format","Nepoznat file format"
"Enabled","Omogućeno"
"Disabled","Onemogućeno"
"Import","Uvesti"
"Export","Izvezi"
"Daily","Dnevno"
"Weekly","Sedmično"
"Monthly","Mesečno"
"Local Server","Local Server"
"Remote FTP","Remote FTP"
"Binary","Binary"
"ASCII","ASCII"
"Stop Import","Stop Uvezi"
"Continue Processing","Nastavi Obrađuje se"
"Failed","Nije uspelo"
"Successful","Successful"
"Pending","Na čekanju"
"label","oznaka"
"Can not open file","Can not open file"
"%store_name - Scheduled Export Failed","%store_name - Scheduled Izvezi Failed"
"%operation_name - Scheduled Export Failed","%operation_name - Scheduled Izvezi Failed"
"Operation name:","Operation name:"
"Entity type:","Entity type:"
"File history path:","Datoteka history path:"
"Date & Time:","Datum & vreme:"
"Log trace:","Log trace:"
"Scheduled Import/Export File History Cleanup Warnings","Scheduled Uvezi/Izvezi Datoteka History Cleanup Warnings"
"%store_name  - Scheduled Import Failed","%store_name  - Scheduled Uvezi Failed"
"%operation_name - Scheduled Import Failed","%operation_name - Scheduled Uvezi Failed"
"Scheduled Import/Export File History Cleaning","Scheduled Uvezi/Izvezi Datoteka History Cleaning"
"Save Files, Days","Sačuvaj Files, Days"
"Enable Scheduled File History Cleaning","Omogući Scheduled Datoteka History Cleaning"
"Error Email Recipient","Pogrešan Primalac Mejla"
"Error Email Sender","Pogrešan Pošiljalac Mejla"
"Error Email Template","Pogrešan Mejl Šablon"
"Delete","Obrisati"
"Are you sure you want to delete the selected scheduled imports/exports?","Da li ste sigurni želite da delete the selected scheduled imports/exports?"
"Change Status","Promena statusa"
"Operation","Operation"
"Last Run","Poslednji Run"
"Last Outcome","Poslednji Outcome"
"Action","Akcija"
"Edit","Izmeni"
"Run","Run"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","Za tip ""Lokalni server"" koristite relativnu putanju do Magento instalacije,  npr. var/export, var/import, var/export/some/dir"
