"Add Scheduled Export","Добавяне на планиран експорт"
"Add Scheduled Import","Добавяне на планиран импорт"
"Scheduled Import/Export","Разписание за импортиране/експортиране"
"Please correct the scheduled operation type.","Коригирайте типа планирана операция."
"Name","Име"
"Description","Описание"
"Entity Type","Тип стойност"
"Start Time","Начален час"
"Frequency","Честота"
"Status","Статус"
"Server Type","Тип на сървъра"
"File Directory","Файлова директория"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP хост [: порт]"
"User Name","Потребителско име"
"Password","Парола"
"File Mode","Режим на файла"
"Passive Mode","Пасивен режим"
"Failed Email Receiver","Грешен имейл получател"
"Failed Email Sender","Грешен имейл подател"
"Failed Email Template","Грешен шаблон на имейл"
"Send Failed Email Copy To","Неуспешно изпращане на имейл, копие на"
"Send Failed Email Copy Method","Неуспешно изпращане имейл копие метод"
"Export Settings","Настройки за експорт"
"Export File Information","Информация за експортиране на файл"
"Export Failed Emails","Неуспешни имейли за експортиране"
"File Format","Формат на файла"
"Entity Attributes","Стойностни атрибути"
"Import Settings","Импортиране на настройки"
"Import File Information","Импортиране на файлова информация"
"Import Failed Emails","Неуспешни имейли за импортиране"
"Import Behavior","Поведение на импортиране"
"Field separator","Разделител за поле"
"Multiple value separator","Множествен стойностен разделител"
"On Error","При грешка"
"File Name","Име на файл"
"Images File Directory","Директория с файлове с изображения"
"Clean Now","Изчисти сега"
"Scheduled Imports/Exports","Разписание за импортиране/експортиране"
"The operation ran.","Операцията започна."
"We can't run the operation right now, see error log for details.","Не може да изпълни операцията точно сега, вижте грешка дънер за подробност."
"We can't delete the scheduled operation right now.","Не може да изтрие планирана операцията точно сега."
"No valid data sent","Изпратени невалидни данни"
"You deleted the history files.","Изтрихте хронологичните файлове."
"We can't delete the history files right now.","Не може да изтриете файлове, историята точно сега."
"A total of %1 record(s) have been updated.","Общо %1 записи са били актуализирани."
"We cannot change status for all items.","Не можем да променим състоянието на всички елементи."
"You deleted a total of %1 record(s).","Изтрихте общо %1 записи."
"We can't delete all the items right now.","Не може да изтриете всички елементи в момента."
"We can't save the scheduled operation right now.","Не може да запише планирана операцията точно сега."
"We can't create directory ""%1""","Не може да създаде директория ""%1"""
"The directory ""%1"" is not writable.","Директорията ""%1"" не е записваем."
"We can't delete ""%1"" because the directory is not writable.","Не може да изтриете ""%1"", защото директорията не е записваем."
"Scheduled Import","Планирано импортиране"
"New Scheduled Import","Ново планирано импортиране"
"Scheduled Export","Планиран експорт"
"New Scheduled Export","Ново планирано експортиране"
"You saved the scheduled import.","Записахте планирания импорт."
"You saved the scheduled report.","Записахте планирания доклад."
"You deleted the scheduled import.","Изтрихте планирания импорт."
"You deleted the scheduled export.","Изтрихте планирания експорт."
"Are you sure you want to delete this scheduled import?","Наистина ли искате да изтриете това планирано импортиране?"
"Are you sure you want to delete this scheduled export?","Наистина ли искате да изтриете това планирано експортиране?"
"We were unable to save the cron expression.","Не успяхме да запишем cron израз."
"Unable to delete the cron task.","Не може да изтрие задача за cron."
"Please correct the cron job task","Коригирайте cron проектното задание"
"File has been not created","Файлът не се създаде"
"Something went wrong and the operation failed.","Нещо се обърка и операцията е неуспешна."
"We can't read the file source because the file name is empty.","Не може да прочете файла източник, защото името на файла е празен."
"Connecting to server","Свързване към сървъра"
"Reading import file","Четене на файл за импортиране"
"We can't read the import file.","Не може да прочете файла за импортиране."
