"Add Scheduled Export","Añadir exportación programada"
"Add Scheduled Import","Añadir importación programada"
"Scheduled Import/Export","Importación y exportación programada"
"Please correct the scheduled operation type.","Por favor corrija el tipo de operación programada."
"Name","Nombre"
"Description","Descripción"
"Entity Type","Tipo de datos"
"Start Time","Hora de inicio"
"Frequency","Frecuencia"
"Status","Estatus"
"Server Type","Tipo de servidor"
"File Directory","Directorio de archivos"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Para tipo ""Servidor Local"" usar ruta de acceso relativa a la instalación de Magento, por ejemplo,var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Server[:Port]"
"User Name","Nombre de usuario"
"Password","Contraseña"
"File Mode","Modo de archivo"
"Passive Mode","Modo Pasivo"
"Failed Email Receiver","Error correo electrónico receptor"
"Failed Email Sender","Remitente de correo electrónico fallido"
"Failed Email Template","Plantilla de correo electrónico fallida"
"Send Failed Email Copy To","Enviar copia del correo fallido a"
"Send Failed Email Copy Method","Enviar método fallido de copia de email"
"Export Settings","Exportar la configuración"
"Export File Information","Información de archivo de exportación"
"Export Failed Emails","Exportar emails fallados"
"File Format","Formato de Archivo"
"Entity Attributes","Atributos de la entidad"
"Import Settings","Importar configuración"
"Import File Information","Información del archivo de importación"
"Import Failed Emails","Importar Emails Fallados"
"Import Behavior","Importar comportamiento"
"Field separator","Separador de campos"
"Multiple value separator","Separador de valor múltiple"
"On Error","En Error"
"File Name","Nombre de archivo"
"Images File Directory","Directorio de archivos de imágenes"
"Clean Now","Limpiar ahora"
"Scheduled Imports/Exports","Importaciones y exportaciones programadas"
"The operation ran.","La operación funcionó."
"We can't run the operation right now, see error log for details.","No podemos ejecutar la operación en este momento, ver registro de errores para obtener más información."
"We can't delete the scheduled operation right now.","No podemos eliminar la operación programada en este momento."
"No valid data sent","Los datos enviados no son válidos"
"You deleted the history files.","Eliminó los archivos de historial."
"We can't delete the history files right now.","No podemos eliminar los archivos de historial en este momento."
"A total of %1 record(s) have been updated.","Se han actualizado un total de %1 registro(s)."
"We cannot change status for all items.","No podemos cambiar el estado de todos los elementos."
"You deleted a total of %1 record(s).","Ha eliminado un total de %1 registro(s)."
"We can't delete all the items right now.","No podemos eliminar todos los elementos en este momento."
"We can't save the scheduled operation right now.","No podemos guardar la operación programada en este momento."
"We can't create directory ""%1""","No podemos crear directorio ""%1"""
"The directory ""%1"" is not writable.","El directorio ""%1"" no es modificable."
"We can't delete ""%1"" because the directory is not writable.","No podemos borrar ""%1"" porque el directorio no es escribible."
"Scheduled Import","Importación programada"
"New Scheduled Import","Nueva importación programada"
"Scheduled Export","Exportación programada"
