"Add Scheduled Export","උපලේඛනගත අපනයන එක් කරන්න"
"Add Scheduled Import","උපලේඛනගත ආයාත එක් කරන්න"
"Scheduled Import/Export","උපලේඛනගත ආනයන/අපනයන"
"Please correct the scheduled operation type.","කරුණාකර කාලසටහන්ගත මෙහෙයුම් වර්ගය නිවැරදි කරන්න."
"Name","නම"
"Description","විස්තර"
"Entity Type","ආයතන වර්ගය"
"Start Time","ආරම්භක වේලාව"
"Frequency","සංඛ්යාතය"
"Status","තත්ත්වය"
"Server Type","සේවාදායක වර්ගය"
"File Directory","ගොනු නාමාවලිය"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP සත්කාරක[:Port]"
"User Name","පරිශීලක නාමය"
"Password","මුරපදය"
"File Mode","ගොනු මාදිලිය"
"Passive Mode","Passive Mode"
"Failed Email Receiver","අසමත් වූ ඊමේල් ලබන්නා"
"Failed Email Sender","අසමත් වූ ඊමේල් යවන්නා"
"Failed Email Template","අසාර්ථක විද්‍යුත් තැපැල් අච්චුව"
"Send Failed Email Copy To","අසාර්ථක ඊමේල් පිටපතක් යවන්න"
"Send Failed Email Copy Method","අසාර්ථක විද්‍යුත් තැපෑල යවන්න පිටපත් කිරීමේ ක්‍රමය"
"Export Settings","අපනයන සැකසුම්"
"Export File Information","ගොනු තොරතුරු අපනයනය කරන්න"
"Export Failed Emails","අසාර්ථක ඊමේල් අපනයනය කරන්න"
"File Format","ගොනු ආකෘතිය"
"Entity Attributes","ආයතන ගුණාංග"
"Import Settings","ආයාත සැකසුම්"
"Import File Information","ගොනු තොරතුරු ආයාත කරන්න"
"Import Failed Emails","අසාර්ථක ඊමේල් ආයාත කරන්න"
"Import Behavior","ආයාත හැසිරීම"
"Field separator","ක්ෂේත්ර බෙදුම්කරු"
"Multiple value separator","බහු අගය බෙදුම්කරු"
"On Error","දෝෂයක් මත"
"File Name","ගොනුවේ නම"
"Images File Directory","පින්තූර ගොනු නාමාවලිය"
"Clean Now","දැන් පිරිසිදු කරන්න"
"Scheduled Imports/Exports","උපලේඛනගත ආනයන/අපනයන"
"The operation ran.","මෙහෙයුම ක්‍රියාත්මක විය."
"We can't run the operation right now, see error log for details.","අපට දැන් මෙහෙයුම ක්‍රියාත්මක කළ නොහැක, විස්තර සඳහා දෝෂ ලොගය බලන්න."
"We can't delete the scheduled operation right now.","අපට දැන් නියමිත මෙහෙයුම මකා දැමිය නොහැක."
"No valid data sent","වලංගු දත්ත යවා නැත"
"You deleted the history files.","ඔබ ඉතිහාස ගොනු මකා ඇත."
"We can't delete the history files right now.","අපට දැන් ඉතිහාස ගොනු මකා දැමිය නොහැක."
"A total of %1 record(s) have been updated.","මුළු වාර්තා(ය) %1 ක් යාවත්කාලීන කර ඇත."
"We cannot change status for all items.","අපට සියලු අයිතම සඳහා තත්ත්වය වෙනස් කළ නොහැක."
"You deleted a total of %1 record(s).","ඔබ %1 වාර්තා (ය) මකා ඇත."
"We can't delete all the items right now.","අපට දැන් සියලුම අයිතම මකා දැමිය නොහැක."
"We can't save the scheduled operation right now.","අපට දැන් නියමිත මෙහෙයුම සුරැකිය නොහැක."
"We can't create directory ""%1""","අපට ""%1"" නාමාවලිය සෑදිය නොහැක"
"The directory ""%1"" is not writable.","""%1"" නාමාවලිය ලිවිය නොහැක."
"We can't delete ""%1"" because the directory is not writable.","නාමාවලිය ලිවිය නොහැකි නිසා අපට ""%1"" මකා දැමිය නොහැක."
"Scheduled Import","නියමිත ආනයනය"
"New Scheduled Import","නව කාලසටහන්ගත ආනයනය"
"Scheduled Export","උපලේඛනගත අපනයනය"
"New Scheduled Export","නව උපලේඛනගත අපනයනය"
"You saved the scheduled import.","ඔබ නියමිත ආයාත කිරීම සුරකින ලදී."
"You saved the scheduled report.","ඔබ නියමිත වාර්තාව සුරකින ලදී."
"You deleted the scheduled import.","ඔබ නියමිත ආයාත කිරීම මකා ඇත."
"You deleted the scheduled export.","ඔබ නියමිත නිර්යාතය මකා ඇත."
"Are you sure you want to delete this scheduled import?","ඔබට මෙම කාලසටහන්ගත ආයාත මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure you want to delete this scheduled export?","ඔබට මෙම කාලසටහන්ගත නිර්යාත මැකීමට අවශ්‍ය බව විශ්වාසද?"
"We were unable to save the cron expression.","අපට ක්‍රෝන් ප්‍රකාශනය සුරැකීමට නොහැකි විය."
"Unable to delete the cron task.","ක්‍රෝන් කාර්යය මැකීමට නොහැකිය."
"Please correct the cron job task","කරුණාකර ක්‍රෝන් රැකියා කාර්යය නිවැරදි කරන්න"
"File has been not created","ගොනුව නිර්මාණය කර නැත"
