"Add Scheduled Export","Tambahkan Dijadwal Ekspor"
"Add Scheduled Import","Add Scheduled Import"
"Scheduled Import/Export","Impor/Ekspor Terjadwal"
"Please correct the scheduled operation type.","Silahkan Periksa Kembali Jadwal Jenis Operasi."
"Name","Nama"
"Description","Deskripsi"
"Entity Type","Jenis Entity"
"Start Time","Waktu mulai"
"Frequency","Frekuensi"
"Status","Subjek"
"Server Type","Jenis Server"
"File Directory","Beranda Direktori"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","Host FTP [: Port]"
"User Name","Nama Pengguna"
"Password","Kata sandi"
"File Mode","Mode File"
"Passive Mode","Mode Pasif"
"Failed Email Receiver","Penerimaan Email Gagal"
"Failed Email Sender","Pengiriman Email Gagal"
"Failed Email Template","Gagal Email Template"
"Send Failed Email Copy To","Pengiriman Email gagal salinan ke"
"Send Failed Email Copy Method","Pengiriman Email gagal Metode Salinan"
"Export Settings","Pengaturan Ekspor"
"Export File Information","Berkas Informasi Ekspor"
"Export Failed Emails","Email Eksport Gagal"
"File Format","Format Berkas"
"Entity Attributes","Atribut Entitas"
"Import Settings","Pengaturan Impor"
"Import File Information","Informasi Berkas Import"
"Import Failed Emails","Impor Email Gagal"
"Import Behavior","Tatacara Impor"
"Field separator","Pemisah Bidang"
"Multiple value separator","Beberapa Nilai Pemisah"
"On Error","Kesalahan"
"File Name","Nama Berkas"
"Images File Directory","Berkas Direktori Foto"
"Clean Now","Bersihkan Sekarang"
"Scheduled Imports/Exports","Jadwal Impor/Eksport"
"The operation ran.","Operasi Sudah dijalankan."
"We can't run the operation right now, see error log for details.","Kami tidak bisa menjalankan operasi sekarang juga, lihat log kesalahan untuk rinciannya."
"We can't delete the scheduled operation right now.","Kami tidak dapat menghapus operasi yang dijadwalkan sekarang juga."
"No valid data sent","Tidak ada data valid yang dikirim"
"You deleted the history files.","Anda Menghapus Berkas Terdahulu."
"We can't delete the history files right now.","Kami tidak dapat menghapus file riwayat sekarang."
"A total of %1 record(s) have been updated.","Total %1 catatan telah diperbaharui."
