"Add Scheduled Export","Aggiungi esportazione pianificata"
"Add Scheduled Import","Aggiungi importazione pianificata"
"Scheduled Import/Export","Importazione/esportazione pianificata"
"Please correct the scheduled operation type.","Correggi il tipo di operazione pianificata."
"Name","Nome"
"Description","Descrizione"
"Entity Type","Tipo entità"
"Start Time","Ora di inizio"
"Frequency","Frequenza"
"Status","Stato"
"Server Type","Tipo Server"
"File Directory","Directory del file"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host [: Porta]"
"User Name","Nome utente"
"Password","Password"
"File Mode","Modalità file"
"Passive Mode","Modalità passiva"
"Failed Email Receiver","Destinatario email non riuscito"
"Failed Email Sender","Mittente email non riuscito"
"Failed Email Template","Template email non riuscito"
"Send Failed Email Copy To","Invia copia email non riiuscito a"
"Send Failed Email Copy Method","Metodo invio copia email non riiuscito"
"Export Settings","Esporta impostazioni"
"Export File Information","Esporta informazioni file"
"Export Failed Emails","Esportare email non riuscite"
"File Format","Formato file"
"Entity Attributes","Entità Attributi"
"Import Settings","Importa impostazioni"
"Import File Information","Importa informazioni file"
"Import Failed Emails","Importa email non riuscite"
"Import Behavior","Comportamento importazione"
"Field separator","Separatore campo"
"Multiple value separator","Valori multipli separatori"
"On Error","In caso di errore"
"File Name","Nome file"
"Images File Directory","Directory dei file immagini"
"Clean Now","Pulire ora"
"Scheduled Imports/Exports","Importazioni/esportazioni programmate"
"The operation ran.","L'operazione ha funzionato."
"We can't run the operation right now, see error log for details.","Impossibile eseguire l'operazione in questo momento, consultare i log degli errori per i dettagli."
"We can't delete the scheduled operation right now.","In questo momento è impossibile eliminare l'operazione programmata."
"No valid data sent","Dati non validi inviati"
"You deleted the history files.","Hai cancellato i file di cronologia."
"We can't delete the history files right now.","In questo momento è impossibile eliminare i file di cronologia."
"A total of %1 record(s) have been updated.","Un totale di %1 record sono stati aggiornati."
"We cannot change status for all items.","Impossibile cambiare lo stato per tutti gli articoli."
"You deleted a total of %1 record(s).","Hai eliminato un totale di %1 records."
"We can't delete all the items right now.","Non è possibile eliminare tutti gli elementi in questo momento."
"We can't save the scheduled operation right now.","Non è possibile salvare l'operazione pianificata in questo momento."
"We can't create directory ""%1""","Non è possibile creare una directory ""%1"""
"The directory ""%1"" is not writable.","La directory ""%1"" non è scrivibile."
"We can't delete ""%1"" because the directory is not writable.","Non è possibile eliminare ""%1"" perchè la directory non è scrivibile."
"Scheduled Import","Importazione pianificata"
"New Scheduled Import","Nuova importazione pianificata"
"Scheduled Export","Esportazione pianificata"
"New Scheduled Export","Nuova esportazione pianificata"
"You saved the scheduled import.","Hai salvato l'importazione pianificata."
"You saved the scheduled report.","Hai salvato il report pianificato."
"You deleted the scheduled import.","Hai eliminato l'importazione pianificata."
"You deleted the scheduled export.","Hai eliminato l'esportazione pianificata."
"Are you sure you want to delete this scheduled import?","Sei sicuro di voler eliminare questa importazione pianificata?"
"Are you sure you want to delete this scheduled export?","Sei sicuro di voler eliminare questa esportazione pianificata?"
"We were unable to save the cron expression.","Non è possibile salvare l'espressione cron."
"Unable to delete the cron task.","Impossibile eliminare la cron task."
"Please correct the cron job task","Correggi la task del cron job"
"File has been not created","File non è stato creato"
"Something went wrong and the operation failed.","Qualcosa è andato storto e l'operazione non è riuscita."
"We can't read the file source because the file name is empty.","Non è possibile leggere il file sorgente perchè il nome del file è vuoto."
"Connecting to server","Connessione al server"
"Reading import file","Lettura file di import"
"We can't read the import file.","Non è possibile leggere il file di importazione."
"Save history file content ""%1""","Salva la cronologia del contenuto dei file ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","Non è possibile scrivere il file ""%1"" in ""%2"" con il driver ""%3""."
"Save file content","Salva il contenuto del file"
"Please correct the server type.","Correggi il tipo di server."
"Import path %1 not exists","Il percorso di importazione %1 non esiste"
"We can't read the file.","Non è possibile leggere il file."
"We can't save the file history file.","Non è possibile salvare il file della cronologia file."
"Unknown file format","Formato file sconosciuto"
"Enabled","Abilitato"
"Disabled","Disabilitato"
"Import","Importa"
"Export","Esporta"
"Daily","Giornalmente"
"Weekly","Settimanalmente"
"Monthly","Mensilmente"
"Local Server","Server locale"
"Remote FTP","FTP remoto"
"Binary","Binario"
"ASCII","ASCII"
"Stop Import","Interrompere l'importazione"
"Continue Processing","Continuare l'elaborazione"
"Failed","Fallito"
"Successful","Riuscito"
"Pending","In attesa"
"label","etichetta"
"Can not open file","Non è possibile aprire file"
"%store_name - Scheduled Export Failed","%store_name - Esportazione pianificata non riuscita"
"%operation_name - Scheduled Export Failed","%operation_name - esportazione pianificata non riuscita"
"Operation name:","Nome dell'operazione:"
"Entity type:","Tipo entità:"
"File history path:","Percorso file cronologia:"
"Date & Time:","Data e Ora:"
"Log trace:","Log traccia:"
"Scheduled Import/Export File History Cleanup Warnings","Importazione/esportazione pianificata pulizia file cronologia avvisi"
"%store_name  - Scheduled Import Failed","%store_name - Importazione pianificata non riuscita"
"%operation_name - Scheduled Import Failed","%operation_name - importazione pianificata non riuscita"
"Scheduled Import/Export File History Cleaning","Pulizia cronologia file importazione/esportazione programmata"
"Save Files, Days","Salva i file, giorni"
"Enable Scheduled File History Cleaning","Abilita pulizia cronologia file programmata"
"Error Email Recipient","Destinatario Email di errore"
"Error Email Sender","Mittente Email di errore"
"Error Email Template","Template Email di errore"
"Delete","Elimina"
"Are you sure you want to delete the selected scheduled imports/exports?","Sei sicuro di che voler eliminare le importazioni/esportazioni pianificate selezionate?"
"Change Status","Modifica stato"
"Operation","Operazione"
"Last Run","Ultima Esecuzione"
"Last Outcome","Ultimo risultato"
"Action","Azione"
"Edit","Modifica"
"Run","Esegui"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
