"Delete Rule","Remover Regra"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Reset","Repor"
"Save and Apply","Gravar e Aplicar"
"Save and Continue Edit","Gravar e Continuar Edição"
"Save","Gravar"
"Catalog Price Rule","Regra de Preço de Catálogo"
"Add New Rule","Adicionar Nova Regra"
"Apply Rules","Aplicar Regras"
"Conditions","Condições"
"Conditions (don't add conditions if rule is applied to all products)","Condições (não adicionar condições se a regra é aplicada a todos os produtos)"
"ID","Id."
"Type","Tipo"
"Attribute Set","Conjunto de Atributos"
"SKU","REF"
"Product","Produto"
"Promotions","Promoções"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Achámos regras atualizadas que não foram aplicadas. Por favor clique em ""Aplicar Regras"" para atualizar o seu catálogo."
"We can't apply the rules.","Não é possível aplicar as regras."
"You deleted the rule.","Apagou a regra."
"We can't delete this rule right now. Please review the log and try again.","De momento não é possível remover essa regra. Por favor consulte o log e tente novamente."
"We can't find a rule to delete.","Não foi encontrada uma regra para eliminar."
"This rule no longer exists.","Esta regra já não existe."
"New Catalog Price Rule","Nova Regra de Preço de Catálogo"
"Edit Rule","Editar Regra"
"New Rule","Nova Regra"
"Catalog","Catálogo"
"You saved the rule.","Gravou a regra."
"Something went wrong while saving the rule data. Please review the error log.","Algo correu mal ao gravar os dados da regra. Por favor consulte o log de erros."
"Promo","Promoção"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Não é possível reconstruir o índice para uma lista de produtos vazia"
"We can't rebuild the index for an undefined product.","Nós não podemos recriar o índice para um produto indefinido."
"Catalog rule indexing failed. See details in exception log.","Regra de indexação do catálogo falhou. Veja detalhes no log de exceções."
"Percentage discount should be between 0 and 100.","O desconto percentual deve ser entre 0 e 100."
"Discount value should be 0 or greater.","O valor de desconto deve ser um valor igual ou superior a 0."
"Unknown action.","Acção desconhecida."
"Update the Product","Atualizar o Produto"
"Rule price","Preço de Regra"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Update product's %1 %2: %3","Atualizar o %1 %2 do produto: %3"
"Apply as percentage of original","Aplicar como percentagem do original"
"Apply as fixed amount","Aplicar como montante fixo"
"Adjust final price to this percentage","Ajustar o preço final para esta percentagem"
"Adjust final price to discount value","Ajustar o preço final para o valor de desconto"
"Conditions Combination","Combinação de Condições"
"Product Attribute","Atributo do Produto"
"Updated rules applied.","Regras atualizadas aplicadas."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Você desativou as Regras de Preço do Catálogo %1 com base no atributo ""%2""."
"Catalog Rule Product","Produto de Regra de Catálogo"
"Indexed rule/product association","Regra indexada/associação de produto"
"Catalog Product Rule","Regra de Produto de Catálogo"
"Indexed product/rule association","Produto indexado/associação de regra"
"Rule","Regra"
"Start","Ínicio"
"End","Fim"
"Status","Estado"
"Active","Ativo"
"Inactive","Inativo"
"Web Site","Website"
"Back","Voltar"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Description","Descrição"
"Websites","Sites"
"Customer Groups","Grupos de Clientes"
"From","De"
"To","Para"
"Priority","Prioridade"
"Actions","Ações"
"Apply","Aplicar"
"Discount Amount","Desconto"
"Discard subsequent rules","Excluir regras subsequentes"
"Yes","Sim"
"No","Não"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Passado indefinido condição tipo ""%1""."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Operador SQL indefinido ""%1"" passado. Os operadores válidos são: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Operador SQL indefinido ""%1"" passado. Os operadores válidos são: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Operador SQL indefinido ""%1"" passado. Os operadores válidos são: %2"
"The ""%1"" rule was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","O grupo com o ID ""%1"" não existe. Verifique o ID e tente novamente."
"The ""%1"" rule couldn't be removed.","O arquivo ""%1"" não pode ser movido."
