"Delete Rule","Eliminar Regla"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Reset","Restablecer"
"Save and Apply","Guardar y aplicar"
"Save and Continue Edit","Guardar y continuar editando"
"Save","Guardar"
"Catalog Price Rule","Regla de precio de catálogo"
"Add New Rule","Añadir nueva regla"
"Apply Rules","Aplicar las reglas"
"Conditions","Condiciones"
"Conditions (don't add conditions if rule is applied to all products)","Condiciones (no agregue condiciones si la regla se aplica a todos los artículos)"
"ID","Número de Identificación (ID)"
"Type","Tipo"
"Attribute Set","Conjunto de atributos"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Product","Producto"
"Promotions","Promociones"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Hay reglas actualizadas que no se aplican. Por favor, haz clic en ""Aplicar las reglas"" para actualizar su catálogo."
"We can't apply the rules.","No se puede aplicar las reglas."
"You deleted the rule.","Ha eliminado la regla."
"We can't delete this rule right now. Please review the log and try again.","No se puede eliminar esta regla ahora. Por favor, revise el registro y vuelva a intentarlo."
"We can't find a rule to delete.","No se puede encontrar una regla para eliminar."
"This rule no longer exists.","Esta regla ya no existe."
"New Catalog Price Rule","Nueva regla de precio de catálogo"
"Edit Rule","Editar regla"
"New Rule","Nueva regla"
"Catalog","Catálogo"
"You saved the rule.","Ha guardado la regla."
"Something went wrong while saving the rule data. Please review the error log.","Algo salió mal al guardar los datos de la regla. Por favor, revise el registro de errores."
"Promo","Werbeaktion"
"Unable to save rule %1","No se puede guardar regla %1"
"Rule with specified ID ""%1"" not found.","Regla con la ID especificada ""%1"" no encontrada."
"Unable to remove rule %1","No se puede remover la regla %1"
"Could not rebuild index for empty products array","No se pudo reconstruir el índice de una matriz de productos vacía"
"We can't rebuild the index for an undefined product.","No se puede reconstruir el índice para un artículo no definido."
"Catalog rule indexing failed. See details in exception log.","La indexación de la regla del catálogo falló. Ver detalles en el registro de excepciones."
"Percentage discount should be between 0 and 100.","El porcentaje de descuento debe estar entre 0 y 100."
"Discount value should be 0 or greater.","El valor del descuento debe ser 0 o mayor."
"Unknown action.","Acción desconocida."
"Update the Product","Actualizar el artículo"
"Rule price","Precio de la regla"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Update product's %1 %2: %3","Actualización artículos %1 de %2: %3"
"Apply as percentage of original","Se aplica como porcentaje del original"
"Apply as fixed amount","Se aplica como valor fijo"
"Adjust final price to this percentage","Ajustar el precio final a este porcentaje"
"Adjust final price to discount value","Ajustar el precio final al valor de descuento"
"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributos del artículo"
"Updated rules applied.","Ha aplicado las reglas actualizadas."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Se desactiva %1 reglas de precio de catálogo basadas en el atributo ""%2""."
"Catalog Rule Product","Producto de regla de catálogo"
"Indexed rule/product association","Asociación de regla/producto indexada"
"Catalog Product Rule","Regla del producto Catálogo"
"Indexed product/rule association","Asociación de regla a artículo indexada"
"Rule","Regla"
"Start","Comenzar"
"End","Fin"
"Status","Estatus"
"Active","Activo"
"Inactive","Inactivo"
"Web Site","Sitio web"
"Back","Atrás"
"Rule Information","Información sobre la regla"
"Rule Name","Nombre de la regla"
"Description","Descripción"
"Websites","Sitios web"
"Customer Groups","Grupos de cliente"
"From","Desde"
"To","Hasta"
"Priority","Prioridad"
"Actions","Acciones"
"Apply","Aplicar"
"Discount Amount","Monto de descuento"
"Discard subsequent rules","Deseche las reglas subsecuentes"
"Yes","Sí"
"No","No 	"
"Edit Rule '%1'","Editar regla '%1'"
"Pricing Structure Rules","Reglas de estructura de precios"
"Subproduct discounts","Descuentos de subproducto"
"General Information","Información general"
"Wrong rule specified.","Regla especificada incorrecta."
"Undefined condition type ""%1"" passed in.","Condiciones indefinidas para ""%1"" han terminado."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Condiciones indefinidas para el operador SQL ""%1"" han terminado. Los operadores validos son %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Condiciones indefinidas para el operador ""%1"" han terminado. Los operadores validos son %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Regla indefinidas para ""%1"" han terminado. Los operadores validos son %2"
"The ""%1"" rule was unable to be saved. Please try again.","La regla ""%1"" no pudo guardarse. Por favor, inténtelo de nuevo."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","La regla con el ID ""%1"" no se ha encontrado. Verificar el ID y vuelva a intentarlo."
"The ""%1"" rule couldn't be removed.","No se puede quitar la regla ""%1""."
