"Delete Rule","Видалити правило"
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"Reset","Очистити"
"Save and Apply","Зберегти та Застосувати"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Save","Зберегти"
"Catalog Price Rule","Правило цін каталога"
"Add New Rule","Додати нове правило"
"Apply Rules","Застосувати правила"
"Conditions","Умови"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","Ідентифікатор"
"Type","Тип"
"Attribute Set","Набір атрибутів"
"SKU","Артикул"
"Product","Продукт"
"Promotions","Заохочення"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Ми знайшли оновлені правила, що не застосовуються. Будь ласка, натисніть ""Застосувати правила"" для оновлення каталогу."
"We can't apply the rules.","Ми не можемо застосовувати правила."
"You deleted the rule.","Ви видалили правило."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","Ми не можемо знайти правило для видалення."
"This rule no longer exists.","Це правило більше не існує."
"New Catalog Price Rule","Нове правило цін каталогу"
"Edit Rule","Редагувати правило"
"New Rule","Нове правило"
"Catalog","Каталог"
"You saved the rule.","Ви зберегли правило."
"Something went wrong while saving the rule data. Please review the error log.","Щось пішло не так під час збереження правила. Будь-ласка, перегляньте журнал помилок."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Не вдалося перебудувати індекс для порожнього масиву продуктів"
"We can't rebuild the index for an undefined product.","Ми не можемо перебудувати індекс для невизначеного продукту."
"Catalog rule indexing failed. See details in exception log.","Помилка при індексуванні правила каталогу. Дивіться детальніше в журналі винятків."
"Percentage discount should be between 0 and 100.","Відсоток знижки має бути від 0 до 100."
"Discount value should be 0 or greater.","Значення знижки має бути 0 або більше."
"Unknown action.","Невідома операція."
"Update the Product","Оновити товар"
"Rule price","Цінове правило"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Оновлення товарів %1 %2: %3"
"Apply as percentage of original","Застосувати як відсоток від оригіналу"
"Apply as fixed amount","Застосувати як фіксовану суму"
"Adjust final price to this percentage","Привести остаточну ціну до цього відсотку"
"Adjust final price to discount value","Привести остаточну ціну відповідно до значення знижки"
"Conditions Combination","Умови комбінації"
"Product Attribute","Атрибут товару"
"Updated rules applied.","Оновлені правила застосовані."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Правило"
"Start","Початок"
"End","Закінчення"
"Status","Статус"
"Active","Активний"
"Inactive","Неактивний"
"Web Site","Веб-сайт"
"Back","Назад"
"Rule Information","Інформація про правило"
"Rule Name","Назва правила"
"Description","Опис"
"Websites","Веб-сайти"
"Customer Groups","Групи Покупців"
"From","Від"
"To","До"
"Priority","Пріоритет"
"Actions","Дії"
"Apply","Застосувати"
"Discount Amount","Сума знижки"
"Discard subsequent rules","Скасувати наступні правила"
"Yes","Так"
"No","Ні"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
