"Delete Rule","מחיקת כלל"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Reset","איפוס"
"Save and Apply","לשמור ולאשר"
"Save and Continue Edit","שמור והמשך בעריכה"
"Save","שמור"
"Catalog Price Rule","כללי תמחור קטלוג"
"Add New Rule","הוסף כלל חדש"
"Apply Rules","להחיל כללים"
"Conditions","תנאים"
"Conditions (don't add conditions if rule is applied to all products)","תנאים (לא להוסיף תנאים אם כלל זה יחול על כל המוצרים)"
"ID","מזהה"
"Type","סוג"
"Attribute Set","קבוצת תכונות"
"SKU","מק''ט"
"Product","מוצר"
"Promotions","מבצעים"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","מצאנו עודכני כללים שאינם מוחלים. אנא לחץ על ""החל כללים"" כדי לעדכן את הקטלוג."
"We can't apply the rules.","אנחנו לא יכולים לאשר את הכללים."
"You deleted the rule.","מחקת את החוק."
"We can't delete this rule right now. Please review the log and try again.","אנחנו לא יכולים למחוק את הכלל הזה עכשיו. נא לבדוק את הלוג ונסה שוב."
"We can't find a rule to delete.","אנו לא יכולים למצוא כלל לשם מחיקתו."
"This rule no longer exists.","הכלל לא קיים יותר."
"New Catalog Price Rule","כלל מחיר קטלוג חדש"
"Edit Rule","ערוך כלל"
"New Rule","כלל חדש"
"Catalog","קטלוג"
"You saved the rule.","שמרת את הכלל."
"Something went wrong while saving the rule data. Please review the error log.","משהו השתבש תוך שמירת נתוני הכלל. נא סקור את לוג רישום השגיאות."
"Promo","פרומו"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","לא יכול לבנות מחדש אינדקס עבור מערך מוצרים ריק"
"We can't rebuild the index for an undefined product.","אנחנו לא יכולים לאנדקס מחדש מוצר לא מוגדר."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","אחוז הנחה צריך להיות בין 0 ל- 100."
"Discount value should be 0 or greater.","הנחה ערך צריך להיות 0 או יותר."
"Unknown action.","פעולה לא ידועה."
"Update the Product","עדכון המוצר"
"Rule price","כלל המחיר"
"To Fixed Value","לערך קבוע"
"To Percentage","אחוז"
"By Fixed value","על ידי ערך קבוע"
"By Percentage","לפי אחוזים"
"Update product's %1 %2: %3","עדכון %1 %2 של המוצר: %3"
"Apply as percentage of original","החל בתור באחוז מהמקור"
"Apply as fixed amount","החל בתור כמות קבועה"
"Adjust final price to this percentage","להתאים את המחיר הסופי לאחוז זה"
"Adjust final price to discount value","להתאים את המחיר הסופי כדי הנחה ערך"
"Conditions Combination","שילוב תנאים"
"Product Attribute","תכונות מוצר"
"Updated rules applied.","הוחלו כללים מעודכן."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","אתה נטרלת %1 כללי המחיר של הקטלוג המבוסס על תכונת ""%2""."
"Catalog Rule Product","המוצר של כלל הקטלוג"
"Indexed rule/product association","התאחדות הכלל אינדקס/מוצר"
"Catalog Product Rule","כלל מוצר הקטלוג"
"Indexed product/rule association","הקשר אינדוקס כלל/מוצר"
"Rule","כלל"
"Start","התחלה"
"End","סיום"
"Status","סטטוס"
"Active","פעיל"
"Inactive","לא פעיל"
"Web Site","אתר"
"Back","חזור"
"Rule Information","מידע על הכלל"
"Rule Name","שם כלל"
"Description","תיאור"
"Websites","אתרים"
"Customer Groups","קבוצות לקוחות"
"From","מ-"
"To","ל-"
"Priority","עדיפות"
"Actions","פעולות"
"Apply","החל"
"Discount Amount","סכום הנחה"
"Discard subsequent rules","בטל כללים עתידיים"
"Yes","כן"
"No","לא"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
