"Delete Rule","حذف قانون"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Reset","بازنشانی"
"Save and Apply","ذخیره و اعمال"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Save","ذخيره"
"Catalog Price Rule","قانون قیمت کاتالوگ"
"Add New Rule","افزودن قانون جدید"
"Apply Rules","اعمال قوانین"
"Conditions","شرایط"
"Conditions (don't add conditions if rule is applied to all products)","شرایط (شرایط قانون را اضافه نکنید که به تمام محصولات اعمال می شود)"
"ID","شناسه"
"Type","نوع"
"Attribute Set","مجموعه ویژگی"
"SKU","کد محصول"
"Product","محصول"
"Promotions","تبلیغات"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","ما قوانین به روز شده ای پیدا کردیم که مورد استفاده قرار نگرفته اند. لطفا برای به روز رسانی کاتالوگ خود روی ""اعمال قوانین"" کلیک کنید."
"We can't apply the rules.","ما نمی توانیم قوانین را اعمال کنیم."
"You deleted the rule.","شما قانون را حذف کردید."
"We can't delete this rule right now. Please review the log and try again.","ما اکنون نمی توانیم این قانون را حذف کنیم. لطفا سعی کنید و دوباره امتحان کنید."
"We can't find a rule to delete.","ما نمی توانیم یک ویژگی را برای حذف پیدا کنیم."
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"New Catalog Price Rule","قانون قیمت کاتالوگ جدید"
"Edit Rule","ویرایش قانون"
"New Rule","قانون جدید"
"Catalog","فهرست"
"You saved the rule.","شما این قانون را ذخیره کردید."
"Something went wrong while saving the rule data. Please review the error log.","یک خطا در حین ذخیره سازی رخ داد. لطفا گزارش خطا را بازبینی نمایید."
"Promo","تبلیغ"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","فهرست برای آرایه خالی محصولات بازسازی نمی شود"
"We can't rebuild the index for an undefined product.","ما نمی توانیم شاخص را برای محصول نامشخص بازسازی کنیم."
"Catalog rule indexing failed. See details in exception log.","فهرست سازی قوانین کاتالوگ ناموفق بود. جزئیات را در لیست استثنائات مشاهده کنید."
"Percentage discount should be between 0 and 100.","درصد تخفیف باید بین 0 تا 100 باشد."
"Discount value should be 0 or greater.","مقدار تخفیف باید 0 یا بیشتر باشد."
"Unknown action.","عملکرد ناشناخته."
"Update the Product","به روز رسانی محصول"
"Rule price","قانون قيمت"
"To Fixed Value","به مقدار ثابت"
"To Percentage","به درصدی"
"By Fixed value","با مقدار ثابت"
"By Percentage","با درصدی"
"Update product's %1 %2: %3","به روز رسانی محصول %1 %2: %3"
"Apply as percentage of original","اعمال به عنوان درصد اصلی"
"Apply as fixed amount","اعمال به عنوان مقدار ثابت"
"Adjust final price to this percentage","تنظیم قیمت نهایی با این درصد"
"Adjust final price to discount value","تنظیم قیمت نهایی با مقدار تخفیف"
"Conditions Combination","ترکیب شرط‌ها"
"Product Attribute","ویژگی محصول"
"Updated rules applied.","قوانین به روز شده اعمال شد."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","شما قوانین قیمت کاتالوگ %1 را بر اساس ویژگی ""%2"" غیرفعال کردید."
"Catalog Rule Product","کاتالوگ قانون محصولات"
"Indexed rule/product association","وابستگی قانون/ محصول فهرست بندی شده"
"Catalog Product Rule","قوانین محصول کاتالوگ"
"Indexed product/rule association","وابستگی محصول/ قانون فهرست بندی شده"
"Rule","قانون"
"Start","شروع"
"End","پایان"
"Status","وضعيت"
"Active","فعال"
"Inactive","غیرفعال"
"Web Site","وب سایت"
"Back","بازگشت"
"Rule Information","اطلاعات قانون"
"Rule Name","نام قانون"
"Description","توصیف"
"Websites","وب سایت ها"
"Customer Groups","گروه‌های مشتری"
"From","از"
"To","به"
"Priority","اولویت"
"Actions","کنش‌ها"
"Apply","اعمال"
"Discount Amount","مبلغ تخفیف"
"Discard subsequent rules","قوانین بعدی را حذف کنید"
"Yes","بله"
"No","خیر"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
