"Delete Rule","ルールの削除"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Reset","リセット"
"Save and Apply","保存と適用"
"Save and Continue Edit","保存して編集を続ける"
"Save","保存"
"Catalog Price Rule","カタログ価格ルール"
"Add New Rule","新規ルールの追加"
"Apply Rules","ルールの反映"
"Conditions","条件"
"Conditions (don't add conditions if rule is applied to all products)","条件 (ルールが全ての商品に適用される場合条件を追加しないでください)"
"ID","ID"
"Type","種別"
"Attribute Set","属性セット"
"SKU","商品番号"
"Product","商品"
"Promotions","プロモーション"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","適用されていないアップデートされたルールを見つけました。 ""ルール適用""を押してカタログをアップデートしてください。"
"We can't apply the rules.","ルールが適用できません"
"You deleted the rule.","ルールを削除しました。"
"We can't delete this rule right now. Please review the log and try again.","現在このルールを削除できません。 ログを再度確認して試して下さい。"
"We can't find a rule to delete.","削除するルールが見つかりません"
"This rule no longer exists.","このルールは存在していません。"
"New Catalog Price Rule","新しいカタログ値ルール"
"Edit Rule","ルールの編集"
"New Rule","新しいルール"
"Catalog","カタログ"
"You saved the rule.","ルールを保存しました。"
"Something went wrong while saving the rule data. Please review the error log.","ルールデータを保存中に問題が発生しました。 エラーログを確認してください。"
"Promo","プロモーション"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","空の製品のアレイのためのインデックスを再構築できませんでした"
"We can't rebuild the index for an undefined product.","未定義製品のためのインデックスを再構築できません。"
"Catalog rule indexing failed. See details in exception log.","カタログルールのインデックシングに失敗しました。例外ログで詳細を参照してください。"
"Percentage discount should be between 0 and 100.","パーセンテージディスカウントは0から100の間でなければなりません。"
"Discount value should be 0 or greater.","ディスカウント値は0かそれ以上でなければなりません。"
"Unknown action.","不明なアクション。"
"Update the Product","商品を更新"
"Rule price","値引き"
"To Fixed Value","固定値"
"To Percentage","割合"
"By Fixed value","固定値"
"By Percentage","固定率"
"Update product's %1 %2: %3","商品の %1 %2: %3 更新"
"Apply as percentage of original","オリジナルのパーセンテージとして適用"
"Apply as fixed amount","固定価格として適用"
"Adjust final price to this percentage","このパーセンテージに最終価格を調整"
"Adjust final price to discount value","ディスカウント値に最終価格を調整"
"Conditions Combination","条件の組み合わせ"
"Product Attribute","商品属性"
"Updated rules applied.","更新したルールが適用されました。"
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","""%2""属性が元のカタログプライスルール%1が無効化されました。"
"Catalog Rule Product","カタログルール商品"
"Indexed rule/product association","インデックス化された　ルール/商品 アソシエイション"
"Catalog Product Rule","カタログ商品ルール"
"Indexed product/rule association","インデックス化された　商品/ルール　アソシエイション"
"Rule","ルール"
"Start","開始"
"End","終了"
"Status","ステータス"
"Active","アクティブ"
"Inactive","未アクティブ"
"Web Site","ウェブサイト"
"Back","戻る"
"Rule Information","ルール情報"
"Rule Name","ルール名"
"Description","概要"
"Websites","ウェブサイト"
"Customer Groups","顧客グループ"
"From","開始"
"To","終了"
"Priority","優先度"
"Actions","アクション"
"Apply","適用"
"Discount Amount","割引価格"
"Discard subsequent rules","このルールより優先度の低いルールの適用を行わない"
"Yes","Yes"
"No","No"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","未定義の条件タイプ ""%1""が渡されました。"
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","未定義のSQL演算子 ""%1""が渡されました。有効な演算子: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","未定義のルール演算子 ""%1""が渡されました。有効な演算子: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","未定義のルールアグリゲータ ""%1""が渡されました。有効な演算子: %2"
"The ""%1"" rule was unable to be saved. Please try again.","""%1"" ルールを保存できませんでした。再度お試し下さい。"
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","ID ""%1"" のルールが見つかりませんでした。IDを確認して再度お試し下さい。"
"The ""%1"" rule couldn't be removed.","""%1""ルールを削除できませんでした。"
