"Delete Rule","Regel löschen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Reset","Zurücksetzen"
"Save and Apply","Speichern und anwenden"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Save","Speichern"
"Catalog Price Rule","Katalog-Preisregel"
"Add New Rule","Neue Regel"
"Apply Rules","Regeln anwenden"
"Conditions","Bedingungen"
"Conditions (don't add conditions if rule is applied to all products)","Bedingungen (Bedingungen nicht hinzufügen, wenn sich die Regel auf alle Produkte bezieht)"
"ID","Id"
"Type","Typ"
"Attribute Set","Attribut-Set"
"SKU","Artikelnummer"
"Product","Produkt"
"Promotions","Preisregeln"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Wir haben aktualisierte Regeln gefunden, die nicht angewendet werden. Bitte klicken Sie auf ""Regeln anwenden"", um Ihren Katalog zu aktualisieren."
"We can't apply the rules.","Regeln konnten nicht angewendet werden."
"You deleted the rule.","Sie haben die Regel gelöscht."
"We can't delete this rule right now. Please review the log and try again.","Wir können diese Regel nicht löschen. Bitte überprüfen Sie das Log, und versuchen Sie es erneut."
"We can't find a rule to delete.","Es konnte keine Regel zum Löschen gefunden werden."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"New Catalog Price Rule","Neue Katalogpreisregel"
"Edit Rule","Regel bearbeiten"
"New Rule","Neue Regel"
"Catalog","Katalog"
"You saved the rule.","Regel wurde gespeichert."
"Something went wrong while saving the rule data. Please review the error log.","Während dem Speichern ist ein Fehler aufgetreten. Bitte error Log prüfen."
"Promo","Promo"
"Unable to save rule %1","Regel %1 kann nicht gespeichert werden"
"Rule with specified ID ""%1"" not found.","Regel mit der angegebenen ID ""%1"" wurde nicht gefunden."
"Unable to remove rule %1","Regel %1 konnte nicht gelöscht werden"
"Could not rebuild index for empty products array","Der Index für leere Produkte konnte nicht neu aufgebaut werden"
"We can't rebuild the index for an undefined product.","Wir können den Index für ein undefiniertes Produkt nicht neu erstellen."
"Catalog rule indexing failed. See details in exception log.","Die Indizierung der Katalogregeln ist fehlgeschlagen. Für Details siehe ExceptionLog."
"Percentage discount should be between 0 and 100.","Prozentualer Rabatt sollte zwischen 0% und 100% sein."
"Discount value should be 0 or greater.","Rabatt muss größer 0 sein."
"Unknown action.","Unbekannte Aktion."
"Update the Product","Produkt aktualisieren"
"Rule price","Regel-Preis"
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"By Fixed value","Um festen Wert"
"By Percentage","Um einen Prozentsatz"
"Update product's %1 %2: %3","Aktualisiere %1 %2 des Artikels: %3"
"Apply as percentage of original","Als Prozentsatz des Originals anwenden"
"Apply as fixed amount","Als festen Wert anwenden"
"Adjust final price to this percentage","Endpreis auf diesen Prozentsatz anpassen"
"Adjust final price to discount value","Endpreis auf diesen Rabattwert anpassen"
"Conditions Combination","Bedingungs-Kombination"
"Product Attribute","Artikelattribut"
"Updated rules applied.","Aktualisierte Regeln wurden angewandt."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Sie haben %1 Katalog-Preisregeln basierend auf ""%2"" Attribut deaktiviert."
"Catalog Rule Product","Katalogregelprodukt"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Katalog-Produktregel"
"Indexed product/rule association","Indizierte Produkt/Regel-Verbindung"
"Rule","Regel"
"Start","Starten"
"End","Ende"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Web Site","Website"
"Back","Zurück"
"Rule Information","Regelinformationen"
"Rule Name","Regelname"
"Description","Beschreibung"
"Websites","Webseiten"
"Customer Groups","Kundengruppen"
"From","Von"
"To","Bis"
"Priority","Priorität"
"Actions","Aktionen"
"Apply","Anwenden"
"Discount Amount","Rabattbetrag"
"Discard subsequent rules","Nachfolgende Regeln verwerfen"
"Yes","Ja"
"No","Nein"
"Edit Rule '%1'","Regelname"
"Pricing Structure Rules","Artikel aktualisieren"
"Subproduct discounts","Rabatt des Teilprodukts"
"General Information","Allgemeine Information"
"Wrong rule specified.","Falsche Regel angegeben."
"Undefined condition type ""%1"" passed in.","Undefinierte Bedingung ""%1"" übergeben."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Unbekannter SQL-Operator ""%1"" übergeben. Gültige Operatoren sind: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Unbekannter Regel-Operator ""%1"" übergeben. Gültige Operatoren sind: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefinierter Regel-Aggregator ""%1"" übergeben. Gültige Operatoren sind: %2"
"The ""%1"" rule was unable to be saved. Please try again.","Die Regel ""%1"" konnte nicht gespeichert werden. Bitte versuchen Sie es erneut."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","Die Regel mit der ID ""%1"" wurde nicht gefunden. Überprüfen Sie die ID und versuchen Sie es erneut."
"The ""%1"" rule couldn't be removed.","Die Regel ""%1"" konnte nicht entfernt werden."
