"Delete Rule","Supprimer la règle"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Reset","Réinitialiser"
"Save and Apply","Sauvegarder et appliquer"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Save","Sauvegarder"
"Catalog Price Rule","Règle de prix catalogue"
"Add New Rule","Ajouter une nouvelle règle"
"Apply Rules","Appliquer les règles"
"Conditions","Conditions"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (ne pas ajouter de conditions si la règle est appliquée à tous les produits)"
"ID","Identifiant"
"Type","Type"
"Attribute Set","Jeu d'attributs"
"SKU","REF"
"Product","Produit"
"Promotions","Promotions"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Nous avons mis à jour les règles qui ne sont pas appliquées. Veuillez cliquez sur ""Appliquer les Règles"" pour mettre à jour votre catalogue."
"We can't apply the rules.","Nous ne pouvons pas appliquer les règles."
"You deleted the rule.","Vous avez supprimé la règle."
"We can't delete this rule right now. Please review the log and try again.","Nous ne pouvons pas supprimer cette règle dès maintenant. Veuillez vérifier le journal et réessayer."
"We can't find a rule to delete.","Nous ne pouvons pas trouver une règle à supprimer."
"This rule no longer exists.","Cette règle n'existe plus."
"New Catalog Price Rule","Nouvelle règle de prix catalogue"
"Edit Rule","Éditer la règle"
"New Rule","Nouvelle règle"
"Catalog","Catalogue"
"You saved the rule.","Vous avez enregistré la règle."
"Something went wrong while saving the rule data. Please review the error log.","Quelque chose s'est mal passé lors de la sauvegarde des données de la règle. Veuillez consulter le journal des erreurs."
"Promo","Promo"
"Unable to save rule %1","Impossible d'enregistrer la règle %1"
"Rule with specified ID ""%1"" not found.","Règle avec l'ID spécifié ""%1"" introuvable."
"Unable to remove rule %1","Impossible de supprimer la règle %1"
"Could not rebuild index for empty products array","Impossible de charger le fichier : ""%s""."
"We can't rebuild the index for an undefined product.","Votre commande est en cours de traitement et vous recevrez bientôt un mail avec les détails de la commande. Quand la commande sera expédiée, vous recevrez un autre mail avec un lien pour suivre l'avancement de la livraison."
"Catalog rule indexing failed. See details in exception log.","Catalogue de la règle d'indexation a échoué. Voir les détails dans le journal des exceptions."
"Percentage discount should be between 0 and 100.","Le pourcentage de remise doit être compris entre 0 et 100."
"Discount value should be 0 or greater.","La valeur de la remise doit être 0 ou supérieure."
"Unknown action.","Action inconnue."
"Update the Product","Mettre à jour le produit"
"Rule price","prix"
"To Fixed Value","Valeur fixe"
"To Percentage","En pourcentage"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise en %%"
"Update product's %1 %2: %3","Mettre à jour les produits : %1 %2 : %3"
"Apply as percentage of original","Appliquer en tant que pourcentage de l’original"
"Apply as fixed amount","Appliquer en tant que montant fixe"
"Adjust final price to this percentage","Ajuster le prix final à ce pourcentage"
"Adjust final price to discount value","Ajuster le prix final à la valeur de la remise"
"Conditions Combination","Combinaison de conditions"
"Product Attribute","Attribut du produit"
"Updated rules applied.","Règles mises à jour appliquées."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Vous avez désactivé les règles du catalogue de prix %1 basé sur l’attribut ""%2""."
"Catalog Rule Product","Produit de règle catalogue"
"Indexed rule/product association","Index des associations règle/produit"
"Catalog Product Rule","Règle de produit catalogue"
"Indexed product/rule association","Index des associations produit/règle"
"Rule","Règle"
"Start","Commencer"
"End","Clé de cryptage"
"Status","Statut"
"Active","Actif"
"Inactive","Inactif"
"Web Site","Site Web"
"Back","Retour"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Description","Description"
"Websites","Sites web"
"Customer Groups","Groupes clients"
"From","Depuis"
"To","À"
"Priority","Priorité"
"Actions","Actions"
"Apply","Appliquer"
"Discount Amount","Remise"
"Discard subsequent rules","Supprimer les règles suivantes"
"Yes","Oui"
"No","Non"
"Edit Rule '%1'","Éditer la règle '%1'"
"Pricing Structure Rules","Mettre à jour le %1 du produit %2 : %3"
"Subproduct discounts","Remise sous-produit"
"General Information","Informations générales"
"Wrong rule specified.","Mauvaise règle spécifiée"
"Undefined condition type ""%1"" passed in.","La condition non-définie ""%1"" a été adoptée."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","L'opérateur SQL non-défini ""%1"" a été adopté. Les opérateurs valides sont : %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","L'agrégateur dé règle non-défini ""%1"" a été adopté. Les opérateurs valides sont : %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","L'opérateur dé règle non-défini ""%1"" a été adopté. Les opérateurs valides sont : %2"
"The ""%1"" rule was unable to be saved. Please try again.","La règle ""%1"" n'a pas pu être enregistrée. Veuillez réessayer."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","La règle avec l'ID ""%1"" n'a pas été trouvée. Vérifiez l'ID et réessayez."
"The ""%1"" rule couldn't be removed.","La règle ""%1"" n'a pas pu être supprimée."
