"Delete Rule","Usuń regułę"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Reset","Resetuj"
"Save and Apply","Zapisz i zastosuj"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save","Zapisz"
"Catalog Price Rule","Reguły cenowe katalogu"
"Add New Rule","Dodaj regułę"
"Apply Rules","Zastosuj reguły"
"Conditions","Warunki"
"Conditions (don't add conditions if rule is applied to all products)","Warunki (nie dodawaj warunków, jeśli reguła jest zastosowana do wszystkich produktów)"
"ID","Identyfikator"
"Type","Rodzaj"
"Attribute Set","Zestaw cech"
"SKU","SKU"
"Product","Produkt"
"Promotions","Promocje"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Znaleźliśmy zaktualizowane reguły, które nie zostały zastosowane. Kliknij ""Zastosuj reguły"", aby zaktualizować katalog."
"We can't apply the rules.","Nie możemy zastosować podanych reguł."
"You deleted the rule.","Możesz usunąć regułę."
"We can't delete this rule right now. Please review the log and try again.","Nie możemy teraz usunąć reguły. Przejrzyj dziennik i spróbuj ponownie."
"We can't find a rule to delete.","Nie możemy odnaleźć reguły do usunięcia."
"This rule no longer exists.","Ta reguła już nie istnieje."
"New Catalog Price Rule","Nowa reguła cen w katalogu"
"Edit Rule","Edytuj regułę"
"New Rule","Nowa reguła"
"Catalog","Katalog"
"You saved the rule.","Zapisałeś regułę."
"Something went wrong while saving the rule data. Please review the error log.","Coś się zepsuło podczas zapisywania danych reguły. Przejrzyj logi błędów."
"Promo","Promocja"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Nie można odbudować indeksu do pustej tablicy produktów"
"We can't rebuild the index for an undefined product.","Nie można przebudować indeksu dla niezdefiniowanego produktu."
"Catalog rule indexing failed. See details in exception log.","Indeksowanie reguły katalogu nie powiodła się. Zobacz szczegóły w dzienniku wyjątków."
"Percentage discount should be between 0 and 100.","Zniżka procentowa powinno zawierać się między 0 i 100."
"Discount value should be 0 or greater.","Wartość znizki powinno być 0 lub większa."
"Unknown action.","Nieznane działanie."
"Update the Product","Aktualizuj produkt"
"Rule price","Reguła ceny"
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Update product's %1 %2: %3","Aktualizacja produktu %1 %2: %3"
"Apply as percentage of original","Zastosowanie jako procent oryginału"
"Apply as fixed amount","Zastosowanie jako stała kwota"
"Adjust final price to this percentage","Dostosuj cenę końcową do tego procentu"
"Adjust final price to discount value","Dostosuj cenę końcową na wartość rabatu"
"Conditions Combination","Kombinacja warunków"
"Product Attribute","Cecha produktu"
"Updated rules applied.","Zaktualizowane reguły zostały zastosowane."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Wyłączono %1, katalog cena zasad w oparciu o atrybut ""%2""."
"Catalog Rule Product","Produkt reguły katalogu"
"Indexed rule/product association","Indeksowane powiązanie reguła/produkt"
"Catalog Product Rule","Reguła produktu katalogu"
"Indexed product/rule association","Indeksowane powiązanie produkt/reguła"
"Rule","Reguła"
"Start","Start"
"End","Koniec"
"Status","Stan"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Web Site","Witryna"
"Back","Powrót"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Description","Opis"
"Websites","Witryny"
"Customer Groups","Grupy klientów"
"From","Od"
"To","Do"
"Priority","Priorytet"
"Actions","Operacje"
"Apply","Zastosuj"
"Discount Amount","Zniżka"
"Discard subsequent rules","Odrzuć kolejne reguły"
"Yes","Tak"
"No","Nie"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
