"Delete Rule","刪除規則"
"Are you sure you want to do this?","你確定你想要這樣做？"
"Reset","重置"
"Save and Apply","儲存並套用"
"Save and Continue Edit","保存並繼續編輯"
"Save","儲存"
"Catalog Price Rule","目錄價格規則"
"Add New Rule","添加新規則"
"Apply Rules","應用規則"
"Conditions","條件"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","編號"
"Type","類別"
"Attribute Set","屬性集"
"SKU","商品編號"
"Product","商品"
"Promotions","促銷"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","我們發現不適用的更新的規則。請按一下""應用規則""來更新您的目錄。"
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","您刪除該規則。"
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","此規則不再存在。"
"New Catalog Price Rule","新目錄價格規則"
"Edit Rule","編輯規則"
"New Rule","新規則"
"Catalog","目錄"
"You saved the rule.","你保存的規則。"
"Something went wrong while saving the rule data. Please review the error log.","保存規則資料時出了錯。請查看錯誤日誌。"
"Promo","促銷"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","我們不能為未定義的產品重建索引。"
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Apply as fixed amount"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","Conditions Combination"
"Product Attribute","產品屬性"
"Updated rules applied.","Updated rules applied."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","規則"
"Start","Start"
"End","End"
"Status","狀態"
"Active","激活"
"Inactive","閒置"
"Web Site","網站"
"Back","上一步"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Description","描述"
"Websites","網站"
"Customer Groups","客戶群組"
"From","由"
"To","至"
"Priority","Priority"
"Actions","動作"
"Apply","套用"
"Discount Amount","折扣金額"
"Discard subsequent rules","Discard subsequent rules"
"Yes","是"
"No","否"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
