"Delete Rule","රීතිය මකන්න"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Reset","යළි පිහිටුවන්න"
"Save and Apply","සුරකින්න සහ අයදුම් කරන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Save","සුරකින්න"
"Catalog Price Rule","නාමාවලි මිල රීතිය"
"Add New Rule","නව රීතිය එක් කරන්න"
"Apply Rules","රීති යොදන්න"
"Conditions","කොන්දේසි"
"Conditions (don't add conditions if rule is applied to all products)","කොන්දේසි (සියලු නිෂ්පාදන සඳහා රීතිය යොදන්නේ නම් කොන්දේසි එකතු නොකරන්න)"
"ID","හැඳුනුම්පත"
"Type","ටයිප් කරන්න"
"Attribute Set","ගුණාංග කට්ටලය"
"SKU","SKU"
"Product","නිෂ්පාදන"
"Promotions","උසස්වීම්"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","අදාළ නොවන යාවත්කාලීන කළ නීති අපට හමු විය. ඔබගේ නාමාවලිය යාවත්කාලීන කිරීමට කරුණාකර ""රීති යොදන්න"" ක්ලික් කරන්න."
"We can't apply the rules.","අපිට නීති ක්‍රියාත්මක කරන්න බැහැ."
"You deleted the rule.","ඔබ රීතිය මකා ඇත."
"We can't delete this rule right now. Please review the log and try again.","අපට දැන් මෙම රීතිය මකා දැමිය නොහැක. කරුණාකර ලොගය සමාලෝචනය කර නැවත උත්සාහ කරන්න."
"We can't find a rule to delete.","අපට මැකීමට රීතියක් සොයාගත නොහැක."
"This rule no longer exists.","මෙම රීතිය තවදුරටත් නොපවතී."
"New Catalog Price Rule","නව නාමාවලිය මිල රීතිය"
"Edit Rule","රීතිය සංස්කරණය කරන්න"
"New Rule","නව රීතිය"
"Catalog","නාමාවලිය"
"You saved the rule.","ඔබ රීතිය සුරැකුවා."
"Something went wrong while saving the rule data. Please review the error log.","රීති දත්ත සුරැකීමේදී යම් දෙයක් වැරදී ඇත. කරුණාකර දෝෂ ලොගය සමාලෝචනය කරන්න."
"Promo","ප්‍රවර්ධන"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","හිස් නිෂ්පාදන අරාව සඳහා දර්ශකය නැවත ගොඩනැගිය නොහැකි විය"
"We can't rebuild the index for an undefined product.","නිර්වචනය නොකළ නිෂ්පාදනයක් සඳහා අපට දර්ශකය නැවත ගොඩනැගිය නොහැක."
"Catalog rule indexing failed. See details in exception log.","නාමාවලි රීති සුචිගත කිරීම අසාර්ථක විය. ව්යතිරේක ලොගයේ විස්තර බලන්න."
"Percentage discount should be between 0 and 100.","ප්‍රතිශත වට්ටම් 0 සහ 100 අතර විය යුතුය."
"Discount value should be 0 or greater.","වට්ටම් අගය 0 හෝ ඊට වැඩි විය යුතුය."
"Unknown action.","නොදන්නා ක්‍රියාවක්."
"Update the Product","නිෂ්පාදනය යාවත්කාලීන කරන්න"
"Rule price","රීති මිල"
"To Fixed Value","ස්ථාවර අගයට"
"To Percentage","ප්‍රතිශතයට"
"By Fixed value","ස්ථාවර අගය අනුව"
"By Percentage","ප්‍රතිශතය අනුව"
"Update product's %1 %2: %3","නිෂ්පාදනයේ %1 %2: %3යාවත්කාලීන කරන්න"
"Apply as percentage of original","මුල් පිටපතේ ප්‍රතිශතයක් ලෙස අයදුම් කරන්න"
"Apply as fixed amount","ස්ථාවර මුදලක් ලෙස අයදුම් කරන්න"
"Adjust final price to this percentage","මෙම ප්‍රතිශතයට අවසාන මිල ගළපන්න"
"Adjust final price to discount value","අවසාන මිල වට්ටම් අගයට සකසන්න"
"Conditions Combination","කොන්දේසි සංයෝජනය"
"Product Attribute","නිෂ්පාදන ගුණාංගය"
"Updated rules applied.","යාවත්කාලීන කරන ලද රීති යොදන ලදී."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","ඔබ ""%2"" ගුණාංගය මත පදනම්ව නාමාවලි මිල රීති %1 ක් අබල කර ඇත."
"Catalog Rule Product","නාමාවලි රීති නිෂ්පාදනය"
"Indexed rule/product association","සුචිගත රීතිය/නිෂ්පාදන සංගමය"
"Catalog Product Rule","නාමාවලි නිෂ්පාදන රීතිය"
"Indexed product/rule association","සුචිගත නිෂ්පාදන/නීති සංගමය"
"Rule","නීතිය"
"Start","ආරම්භ කරන්න"
"End","අවසානය"
"Status","තත්ත්වය"
"Active","ක්රියාකාරී"
"Inactive","අක්රියයි"
"Web Site","වෙබ් අඩවිය"
"Back","ආපසු"
"Rule Information","රීති තොරතුරු"
