"Delete Rule","Изтрий правилото"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Reset","Изчисти"
"Save and Apply","Запази и приложи"
"Save and Continue Edit","Запази и продължи редактиране"
"Save","Запиши"
"Catalog Price Rule","Правило за цени в каталога"
"Add New Rule","Добави ново правило"
"Apply Rules","Приложи правила"
"Conditions","Условия"
"Conditions (don't add conditions if rule is applied to all products)","Условия (не добавяйте условия ако правилото се прилага за всички продукти)"
"ID","ИД"
"Type","Тип"
"Attribute Set","Групи атрибути"
"SKU","Кат. номер"
"Product","Продукт"
"Promotions","Промоции"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Намерихме актуализирани правила, които не са приложени. Моля натиснете ""Приложи правила"" за да актуализирате Вашия каталог."
"We can't apply the rules.","Не може да приложи правилата."
"You deleted the rule.","Вие изтрихте това правило."
"We can't delete this rule right now. Please review the log and try again.","Не може да изтриете това правило сега. Прегледайте регистрационния файл и опитайте отново."
"We can't find a rule to delete.","Не можем да намерим страница за изтриване."
"This rule no longer exists.","Това правило вече не съществува."
"New Catalog Price Rule","Ново ценово правило в каталог"
"Edit Rule","Промени правило"
"New Rule","Ново правило"
"Catalog","Каталог"
"You saved the rule.","Запазихте правилото."
"Something went wrong while saving the rule data. Please review the error log.","Нещо се обърка при записване на данните на правилото. Прегледайте регистрационния файл на грешките."
"Promo","Промоция"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Не можем да конструираме отново индекс за празен продуктов масив"
"We can't rebuild the index for an undefined product.","Не може да създадете отново индекса за неопределен продукт."
"Catalog rule indexing failed. See details in exception log.","Каталог правило индексиране е неуспешно. Вижте подробности в регистрационния файл за изключение."
"Percentage discount should be between 0 and 100.","Процента на отстъпката трябва да бъде между 0 и 100."
"Discount value should be 0 or greater.","Стойността на отстъпката трябва да е 0 или повече."
"Unknown action.","Непознато действие"
"Update the Product","Актуализирай продукта"
"Rule price","Правило цена"
"To Fixed Value","Фиксирана стойност"
"To Percentage","Процент"
"By Fixed value","по фиксирана стойност"
"By Percentage","С процент"
"Update product's %1 %2: %3","Актуализирай продукти %1 %2: %3"
"Apply as percentage of original","Приложи като процент от оригинала"
"Apply as fixed amount","Приложи като фиксирана сума"
"Adjust final price to this percentage","Настройте крайната цена за този процент"
"Adjust final price to discount value","Корекция на крайната цена до отстъпка на стойност"
"Conditions Combination","Комбинация от условия"
"Product Attribute","Продукт атрибут"
"Updated rules applied.","Приложени са актуализираните правила."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Деактивирали сте %1 Каталожни Ценови Правила основани на ""%2"" атибута."
"Catalog Rule Product","Правило за продукт в каталога"
"Indexed rule/product association","Индексирана правило/продукт асоциация"
"Catalog Product Rule","Правило за продукт в каталога"
"Indexed product/rule association","Индексирана продукт/правило асоциация"
"Rule","Правило"
"Start","Старт"
"End","Край"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивен"
"Web Site","Уеб сайт"
"Back","Обратно"
"Rule Information","Информация за правилото"
"Rule Name","Име на правило"
"Description","Описание"
"Websites","Уеб сайтове"
"Customer Groups","Клиентски групи"
"From","От"
"To","До"
"Priority","Приоритет"
"Actions","Действия"
"Apply","Приложи"
"Discount Amount","Размер на отстъпката"
"Discard subsequent rules","Отхвърляне на следващи правила"
"Yes","Да"
"No","Не"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Подаден е недефиниран тип условие ""%1""."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Подаден е недефиниран SQL опертатор ""%1"". Валидни опратори са: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Подаден е недефиниран оператор на правило ""%1"". Валидни оператори са: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Подаден е недефиниран агрегатор на правило ""%1"". Валидни оператори са: %2"
"The ""%1"" rule was unable to be saved. Please try again.","Правилото ""%1"" не може д абъде записано. Моля опитайте пак."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","Правилото с ID ""%1"" не е намерено. Проверете ID и опитайте отново."
"The ""%1"" rule couldn't be removed.","Правило ""%1"" не може да бъде изтрито."
