"All","Tout"
"None","Aucun"
"Allowed Scopes","Portées autorisées"
"You need more permissions to delete this item(s): %1.","You need more permissions to delete this item(s): %1."
"You need more permissions to apply some of the rule updates.","Permissions insuffisantes pour appliquer certaines règles de mises à jour."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","Vous n'avez pas les droits requis pour accéder au site web « %1 »."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","Plage de rôles"
"Custom","Personnalisé"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","Des permissions supplémentaires sont nécessaires pour supprimer l'élément ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Cette entité doit être assignée à une vue magasin. Vérifiez l'affectation de l'entité et réessayez."
"Orders can only be completed in an active store. Verify the store and try again.","Les commandes ne peuvent être effectuées que dans une boutique active. Vérifiez la boutique et réessayez."
"This item needs to be assigned to a store view. Assign item and try again.","Cet article doit être assigné à une vue magasin. Assignez un article et réessayez."
"More permissions are needed to save this item.","Vous avez besoin de plus de droits pour sauvegarder cet élément."
"More permissions are needed to delete this item.","Plus de permissions sont nécessaires pour supprimer cet élément."
"More permissions are needed to view this item.","Des permissions supplémentaires sont nécessaires pour voir cet élément."
"At least one website or store group needs to be selected. Select and try again.","Au moins un site web ou un groupe de boutiques doit être sélectionné. Sélectionnez et réessayez."
"More permissions are needed to set All Scopes to a Role.","Plus d'autorisations sont nécessaires pour définir toutes les portées à un rôle."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","L’identifiant du site ""%1"" est incorrect. Veuillez le vérifier et réessayer."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","L'ID de magasin ""%1"" est incorrect. Vérifiez l'ID du magasin et réessayez."
"More permissions are needed to save this setting.","Plus de permissions sont nécessaires pour enregistrer ce paramètre."
