"All","Όλα"
"None","Κανένα"
"Allowed Scopes","Επιτρεπόμενο εύρος"
"You need more permissions to delete this item(s): %1.","Χρειάζεστε περισσότερα δικαιώματα για τη διαγραφή στοιχείου(ων): %1."
"You need more permissions to apply some of the rule updates.","Χρειάζεστε περισσότερα δικαιώματα να εφαρμόσει κάποιες από τις ενημερωμένες εκδόσεις του κανόνα."
"Please assign this entity to a store view.","Παρακαλώ αντιστοιχίσετε αυτή την οντότητα στην προβολή ενός καταστήματος."
"You can create orders only in an active store.","Μπορείτε να δημιουργήσετε παραγγελίες μόνο σε ένα ενεργό χώρο αποθήκευσης."
"Please assign this item to a store view.","Παρακαλώ εκχωρήστε αυτό το στοιχείο σε μία προβολή καταστήματος."
"You need more permissions to save this item.","Χρειάζεστε περισσότερα δικαιώματα για να αποθηκεύσετε αυτό το στοιχείο."
"You need more permissions to delete this item.","Χρειάζεστε περισσότερα δικαιώματα για να διαγράψετε αυτό το στοιχείο."
"You need more permissions to view this item.","Χρειάζεστε περισσότερα δικαιώματα για να προβάλετε αυτό το στοιχείο."
"Please specify at least one website or one store group.","Παρακαλώ καθορίστε τουλάχιστον μία ιστοσελίδα ή ομάδα καταστήματος."
"You need more permissions to set All Scopes to a Role.","Χρειάζεστε περισσότερα δικαιώματα για να ορίσετε Όλα τα Πεδία σε ένα Ρόλο."
"Incorrect website ID: %1","Εσφαλμένο ID ιστοσελίδας: %1"
"You need more permissions to access website ""%1"".","Χρειάζεστε περισσότερα δικαιώματα για να έχετε πρόσβαση στην ιστοσελίδα ""%1""."
"Incorrect store ID: %1","Εσφαλμένο ID καταστήματος: %1"
"You need more permissions to save this setting.","Χρειάζεστε περισσότερα δικαιώματα για να αποθηκεύσετε αυτή τη ρύθμιση."
"Role Scopes","Πεδία Ρόλων"
"Custom","Προσαρμοσμένο"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","Περισσότερα δικαιώματα είναι απαραίτητα για να διαγράψετε το στοιχείο «%1»."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Η οντότητα αυτή πρέπει να αντιστοιχιστεί σε μια προβολή του καταστήματος. Επαληθεύστε την αντιστοίχιση οντότητας και προσπαθήστε ξανά."
"Orders can only be completed in an active store. Verify the store and try again.","Οι παραγγελίες μπορούν να ολοκληρωθούν μόνο σε ένα ενεργό κατάστημα. Επαληθεύστε το κατάστημα και προσπαθήστε ξανά."
"This item needs to be assigned to a store view. Assign item and try again.","Αυτό το στοιχείο πρέπει να αντιστοιχιστεί σε μια προβολή του καταστήματος. Αντιστοιχίστε το στοιχείο και προσπαθήστε ξανά."
"More permissions are needed to save this item.","Περισσότερα δικαιώματα είναι απαραίτητα για να αποθηκεύσετε αυτό το στοιχείο."
"More permissions are needed to delete this item.","Περισσότερα δικαιώματα είναι απαραίτητα για να διαγράψετε αυτό το στοιχείο."
"More permissions are needed to view this item.","Περισσότερα δικαιώματα είναι απαραίτητα για να προβάλετε αυτό το στοιχείο."
"At least one website or store group needs to be selected. Select and try again.","Πρέπει να επιλεγεί τουλάχιστον ένα κατάστημα ή ομάδα καταστήματος. Επιλέξτε και δοκιμάστε ξανά."
"More permissions are needed to set All Scopes to a Role.","Περισσότερα δικαιώματα απαιτούνται για να ορίσετε όλα τα πεδία σε ένα ρόλο."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Η ταυτότητα ID της ιστοσελίδας «%1» είναι εσφαλμένη. Επιβεβαιώστε την ταυτότητα ID της ιστοσελίδας και προσπαθήστε ξανά."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Το ID αναγνωριστικό «%1» του καταστήματος είναι εσφαλμένο. Επαληθεύστε το αναγνωριστικό ID και προσπαθήστε ξανά."
"More permissions are needed to save this setting.","Περισσότερα δικαιώματα είναι απαραίτητα για να αποθηκεύσετε αυτήν τη ρύθμιση."
