"All","Alla"
"None","Inga"
"Allowed Scopes","Tillåten omfattning"
"You need more permissions to delete this item(s): %1.","Du behöver högre behörighet för att ta bort objekt(en): %1."
"You need more permissions to apply some of the rule updates.","Du behöver högre behörighet för att tillämpa några av regeluppdateringarna."
"Please assign this entity to a store view.","Vänligen tilldela denna enhet till en butikspresentation."
"You can create orders only in an active store.","Du kan enbart skapa order i en aktiv butik."
"Please assign this item to a store view.","Vänligen tilldela objektet till en butikspresentation."
"You need more permissions to save this item.","Du behöver högre behörighet för att spara detta objekt."
"You need more permissions to delete this item.","Du behöver högre behörighet för att radera detta objekt."
"You need more permissions to view this item.","Du behöver högre behörighet för att visa objektet."
"Please specify at least one website or one store group.","Vänligen ange åtminstone en webbsida eller en butiksgrupp."
"You need more permissions to set All Scopes to a Role.","Behöver du fler behörigheter att ställa in alla scope på en roll."
"Incorrect website ID: %1","Felaktigt webbplats-ID: %1"
"You need more permissions to access website ""%1"".","Du behöver högre behörighet för att visa webbsidan ""%1""."
"Incorrect store ID: %1","Felaktigt butiks-ID: %1"
"You need more permissions to save this setting.","Du behöver högre behörighet för att spara inställningen."
"Role Scopes","Roll-omfattning"
"Custom","Anpassad"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","Ytterligare rättigheter behövs för att ta bort objektet ”%1”."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Denna enhet måste tilldelas en butiksvy. Kontrollera enhetens tilldelning och försök igen."
"Orders can only be completed in an active store. Verify the store and try again.","Beställningar kan endast färdigställas i en aktiv butik. Verifiera butik och försök igen."
"This item needs to be assigned to a store view. Assign item and try again.","Detta objekt måste tilldelas en butiksvy. Tilldela objektet och försök igen."
"More permissions are needed to save this item.","Mer rättigheter behövs för att spara detta objekt."
"More permissions are needed to delete this item.","Mer rättigheter behövs för att radera detta objekt."
"More permissions are needed to view this item.","Mer rättigheter behövs för att visa detta objekt."
"At least one website or store group needs to be selected. Select and try again.","Minst en webbplats eller butiksgrupp måste väljas. Välj och försök igen."
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","”%1” webbplats-ID är felaktigt. Kontrollera webbplatsen ID och försök igen."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","”%1” butiks-ID är felaktigt. Kontrollera butiks-ID och försök igen."
"More permissions are needed to save this setting.","Mer rättigheter behövs för att spara denna inställning."
