"All","Të gjitha"
"None","Asnjë"
"Allowed Scopes","Fushat e Lejuara"
"You need more permissions to delete this item(s): %1.","Ju nevojiten më shumë leje për të fshirë këtë artikull: %1."
"You need more permissions to apply some of the rule updates.","Ju nevojiten më shumë leje për të zbatuar disa nga përditësimet e rregullave."
"Please assign this entity to a store view.","Ju lutemi caktoni këtë njësi në një dyqan."
"You can create orders only in an active store.","Ju mund të krijoni porosi vetëm në një dyqan aktiv."
"Please assign this item to a store view.","Ju lutemi caktoni këtë njësi në një dyqan."
"You need more permissions to save this item.","Ju nevojiten më shumë leje për të ruajtur këtë artikull."
"You need more permissions to delete this item.","Ju nevojiten më shumë leje për të fshirë këtë artikull."
"You need more permissions to view this item.","Ju nevojiten më shumë leje për të parë këtë artikull."
"Please specify at least one website or one store group.","Ju lutemi specifikoni të paktën një faqe interneti ose një grup dyqanesh."
"You need more permissions to set All Scopes to a Role.","Ju nevojiten më shumë leje për të vendosur të gjitha Fushat në një Rol."
"Incorrect website ID: %1","ID-ja e faqes së internetit është e pasaktë: %1"
"You need more permissions to access website ""%1"".","Ju nevojiten më shumë leje për të hyrë në faqen e internetit ""%1""."
"Incorrect store ID: %1","ID-ja e dyqanit është e pasaktë: %1"
"You need more permissions to save this setting.","Ju nevojiten më shumë leje për të ruajtur këtë konfigurim."
"Role Scopes","Fushat e Rolit"
"Custom","E personalizuar"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Ju nuk keni leje për të ruajtur këtë artikull në fushën e pamjes aktuale të dyqanit. Ju lutemi, kaloni te pamja e lejuar e dyqanit."
"More permissions are needed to delete the ""%1"" item.","Nevojiten më shumë leje për të fshirë artikullin ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Kjo njësi duhet të caktohet në një pamje dyqani. Verifikoni caktimin e njësisë dhe provoni përsëri."
"Orders can only be completed in an active store. Verify the store and try again.","Porositë mund të përfundohen vetëm në një dyqan aktiv. Verifikoni dyqanin dhe provoni përsëri."
"This item needs to be assigned to a store view. Assign item and try again.","Ky artikull duhet të caktohet në një pamje dyqani. Caktoni artikullin dhe provoni përsëri."
"More permissions are needed to save this item.","Nevojiten më shumë leje për të ruajtur këtë artikull."
"More permissions are needed to delete this item.","Nevojiten më shumë leje për të fshirë këtë artikull."
"More permissions are needed to view this item.","Nevojiten më shumë leje për të parë këtë artikull."
"At least one website or store group needs to be selected. Select and try again.","Të paktën një faqe interneti ose grup dyqanesh duhet të zgjidhet. Zgjidhni dhe provoni përsëri."
"More permissions are needed to set All Scopes to a Role.","Nevojiten më shumë leje për të vendosur të gjitha Fushat në një Rol."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ID-ja e faqes së internetit ""%1"" është e pasaktë. Verifikoni ID-në e faqes dhe provoni përsëri."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","ID-ja e dyqanit ""%1"" është e pasaktë. Verifikoni ID-në e dyqanit dhe provoni përsëri."
"More permissions are needed to save this setting.","Nevojiten më shumë leje për të ruajtur këtë konfigurim."
