"All","બધા"
"None","કંઈ નહીં"
"Allowed Scopes","માન્ય અવકાશ"
"You need more permissions to delete this item(s): %1.","તમારે આ આઇટમ (ઓ) ને કાઢી નાખવા માટે વધુ પરવાનગીની જરૂર છે."
"You need more permissions to apply some of the rule updates.","કેટલાક નિયમ સુધારાઓ લાગુ કરવા માટે તમારે વધુ પરવાનગીની જરૂર છે."
"Please assign this entity to a store view.","કૃપા કરીને આ અસ્તિત્વ ધરાવનાર વસ્તુને સ્ટોર વ્યૂ પર સોંપો."
"You can create orders only in an active store.","તમે ફક્ત સક્રિય સ્ટોરમાં ઑર્ડર બનાવી શકો છો."
"Please assign this item to a store view.","કૃપા કરીને આ વસ્તુને સંગ્રહ મા સમાવિષ્ટ કરો."
"You need more permissions to save this item.","આ વસ્તુ ને સેવ કરવા માટે તમને વધુ પરવાનગીઓની જરૂર છે."
"You need more permissions to delete this item.","આ વસ્તુ ને કાઢી નાખવા માટે તમને વધુ પરવાનગીઓની જરૂર છે."
"You need more permissions to view this item.","તમારે આ આઇટમ જોવા માટે વધુ પરવાનગીઓની જરૂર છે."
"Please specify at least one website or one store group.","કૃપા કરીને ઓછામાં ઓછી એક વેબસાઇટ અથવા એક સ્ટોર જૂથનો ઉલ્લેખ કરો."
"You need more permissions to set All Scopes to a Role.","તમારે બધા સ્કોપ્સને રોલમાં સેટ કરવા માટે વધુ પરવાનગીઓની જરૂર છે."
"Incorrect website ID: %1","ખોટી વેબસાઇટ આઈડી: %1"
"You need more permissions to access website ""%1"".","તમને વેબસાઇટ ""%1"" ઍક્સેસ કરવા માટે વધુ પરવાનગીઓની જરૂર છે."
"Incorrect store ID: %1","ખોટો સંગ્રહ આઇડી: %1"
"You need more permissions to save this setting.","તમારે આ સેટિંગને સાચવવા માટે વધુ પરવાનગીઓની જરૂર છે."
"Role Scopes","ભૂમિકા સ્કોપ્સ"
"Custom","શિરસ્તો"
"More permissions are needed to save this item.","આ આઇટમને સાચવવા માટે વધુ પરવાનગીઓની જરૂર છે."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
