"All","Све"
"None","Ништа"
"Allowed Scopes","Дозвољена стања"
"You need more permissions to delete this item(s): %1.","Потребно вам је више дозвола да обришете овај артикал(артикле): %1."
"You need more permissions to apply some of the rule updates.","Потребне су Вам дозволе вишег нивоа да примените неку од правила допуне."
"Please assign this entity to a store view.","Молим доделите овај ентитет приказу продавнице."
"You can create orders only in an active store.","Поруџбине можете правити само у активној продавници."
"Please assign this item to a store view.","Молим доделите овај артикал приказу продавнице."
"You need more permissions to save this item.","Потребне су Вам веће привилегије да снимите овај артикал."
"You need more permissions to delete this item.","Потребне су Вам веће привилегије да обришете овај артикал."
"You need more permissions to view this item.","Потребне су Вам веће привилегије да прикажете овај артикал."
"Please specify at least one website or one store group.","Молимо да наведете барем један wебсајт или групу продавница."
"You need more permissions to set All Scopes to a Role.","Потребне су Вам веће првилегије да поставите Све Области у ову Улогу."
"Incorrect website ID: %1","Неисправан wебсајт ИД: %1"
"You need more permissions to access website ""%1"".","Потребне су Вам више дозволе да приступите wебсајту ""%1""."
"Incorrect store ID: %1","Неисправан ИД продавнице: %1"
"You need more permissions to save this setting.","Потребне су Вам веће привилегије да снимите ово подешавање."
"Role Scopes","Све Области"
"Custom","Изборно"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Немате дозволу да сачувате овај артикал на тренутном нивоу приказа продавнице. Молимо вас, пребаците се на дозвољени приказ продавнице"
"More permissions are needed to delete the ""%1"" item.","Потребно је више дозвола да бисте обрисали ставку ""%1”."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Овај ентитет мора бити додељен приказу продавнице. Проверите коме је додељен ентитет и покушајте поново."
"Orders can only be completed in an active store. Verify the store and try again.","Поруџбине могу бити извршене само у активној продавници. Проверите продавницу и покушајте поново."
"This item needs to be assigned to a store view. Assign item and try again.","Овај артикал мора бити додељен приказу продавнице. Доделите артикал и покушајте поново."
"More permissions are needed to save this item.","Треба вам више дозвола да бисте сачували овај артикал."
"More permissions are needed to delete this item.","Потребно је више дозвола да бисте обрисали ову ставку."
"More permissions are needed to view this item.","Потребно је више дозвола да бисте видели ову ставку."
"At least one website or store group needs to be selected. Select and try again.","Барем један вебсајт или група продавница мора бити изабрана. Изаберите и покушајте поново."
"More permissions are needed to set All Scopes to a Role.","Потребно је више дозвола да бисте поставили све опсеге на Улогу."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" ИД вебсајта је неисправан. Проверите ИД вебсајта и покушајте поново."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ИД продавнице је неисправан. Проверите ИД продавнице и покушајте поново."
"More permissions are needed to save this setting.","Потребно је више дозвола да бисте сачували ово подешавање."
