"All","Todos"
"None","Ninguno"
"Allowed Scopes","Vistas permitidas"
"You need more permissions to delete this item(s): %1.","Necesitas más permisos para eliminar este artículo(s): %1."
"You need more permissions to apply some of the rule updates.","Necesitas más permisos para aplicar algunas de las actualizaciones de las reglas."
"Please assign this entity to a store view.","Por favor asigne esta entidad a una vista de la tienda."
"You can create orders only in an active store.","Sólo puedes crear pedidos en una tienda activada."
"Please assign this item to a store view.","Por favor, asigna una vista de tienda a éste elemento."
"You need more permissions to save this item.","Necesita más permisos para guardar este artículo."
"You need more permissions to delete this item.","Necesita más permisos para eliminar este artículo."
"You need more permissions to view this item.","Necesita más permisos para ver este artículo."
"Please specify at least one website or one store group.","Especifique al menos un sitio web o un grupo de tienda."
"You need more permissions to set All Scopes to a Role.","Necesita más permisos para establecer todos los ámbitos en un rol."
"Incorrect website ID: %1","ID de sitio incorrecto: %1"
"You need more permissions to access website ""%1"".","Necesitas más permisos para acceder a la página web ""%1""."
"Incorrect store ID: %1","ID de tienda incorrecta: %1"
"You need more permissions to save this setting.","Necesitas más permisos para guardar esta configuración."
"Role Scopes","Alcance del Role"
"Custom","Personalizado"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","No tiene permisos para guardar este artículo en el alcance de la vista de tienda actual. Por favor, cambie a la vista de tienda permitida"
"More permissions are needed to delete the ""%1"" item.","Se necesitan más permisos para eliminar el elemento ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Esta entidad debe ser asignada a una vista de la tienda. Verificar la asignación de entidad e inténtelo de nuevo."
"Orders can only be completed in an active store. Verify the store and try again.","Los pedidos sólo se pueden completar en una tienda activa. Verifique la tienda e inténtelo de nuevo."
"This item needs to be assigned to a store view. Assign item and try again.","Este elemento necesita ser asignado a una vista de la tienda. Asigne un elemento y vuelva a intentarlo."
"More permissions are needed to save this item.","Se necesitan más permisos para guardar este elemento."
"More permissions are needed to delete this item.","Más permisos son necesarios para eliminar este elemento."
"More permissions are needed to view this item.","Se necesitan más permisos para guardar este elemento."
"At least one website or store group needs to be selected. Select and try again.","Debe seleccionarse al menos un sitio web o grupo de tienda. Seleccione e inténtelo de nuevo."
"More permissions are needed to set All Scopes to a Role.","Más permisos son necesarios para fijar en todos los ámbitos en un Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","El ID de la Página Web ""%1"" es incorrecto. Verificar el ID de la página web e inténtelo de nuevo."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","El ID de la tienda ""%1"" es incorrecto. Verificar el ID de la página web e inténtelo de nuevo."
"More permissions are needed to save this setting.","Más permisos son necesarios para guardar esta configuración."
