"All","Toate"
"None","Niciunul"
"Allowed Scopes","Scopuri Permise"
"You need more permissions to delete this item(s): %1.","Aveți nevoie de mai multe permisiuni pentru a șterge acest(e) articol(e): %1."
"You need more permissions to apply some of the rule updates.","Aveți nevoie de mai multe permisiuni pentru a aplica unele actualizări ale regulilor."
"Please assign this entity to a store view.","Vă rugăm să atribuiți această entitate unei vizualizări de magazin."
"You can create orders only in an active store.","Puteți crea comenzi doar într-un magazin activ."
"Please assign this item to a store view.","Vă rugăm să atribuiți acest articol unei vizualizări din magazin."
"You need more permissions to save this item.","Aveți nevoie de mai multe permisiuni pentru a salva acest articol."
"You need more permissions to delete this item.","Aveți nevoie de mai multe permisiuni pentru a șterge acest articol."
"You need more permissions to view this item.","Aveți nevoie de mai multe permisiuni pentru a vizualiza acest articol."
"Please specify at least one website or one store group.","Vă rugăm să specificați cel puțin un site web sau un grup de magazine."
"You need more permissions to set All Scopes to a Role.","Aveți nevoie de mai multe permisiuni pentru a seta toate scopurile pentru un rol."
"Incorrect website ID: %1","ID-ul website-ului este incorect: %1"
"You need more permissions to access website ""%1"".","Aveți nevoie de mai multe permisiuni pentru a accesa site-ul web ""%1""."
"Incorrect store ID: %1","ID-ul magazinului este incorect: %1"
"You need more permissions to save this setting.","Aveți nevoie de mai multe permisiuni pentru a salva acestă setare."
"Role Scopes","Scopuri de rol"
"Custom","Personalizat"
"More permissions are needed to save this item.","Sunt necesare mai multe permisiuni pentru a salva acest element."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
