"All","Alle"
"None","Keine"
"Allowed Scopes","Zulässige Bereiche"
"More permissions are needed to delete the ""%1"" item.","Weitere Berechtigungen sind erforderlich, um das Element ""%1"" zu löschen."
"You need more permissions to apply some of the rule updates.","Sie benötigen weitere Berechtigungen, um diese Regel-Änderungen anzuwenden."
"More permissions are needed to view this item.","Weitere Berechtigungen sind erforderlich, um dieses Element anzuzeigen."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Die Entität muss einer Store View zugeordnet werden. Überprüft die Zuordnung und versucht es erneut."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Dieser Artikel muss einer Shopansicht zugewiesen werden.
                Bitte wählt eine Website für dieses Produkt unter ""Produkt in Websites"" aus."
"Orders can only be completed in an active store. Verify the store and try again.","Bestellungen können nur in einer aktiven Shop-Ansicht abgeschlossen werden. Überprüfen Sie die Shop-Ansicht und versuchen Sie es erneut."
"This item needs to be assigned to a store view. Assign item and try again.","Dieses Element muss ein Shop-Ansicht zugeordnet werden. Weisen Sie den Artikel zu und versuchen Sie es erneut."
"More permissions are needed to save this item.","Weitere Berechtigungen sind erforderlich, um dieses Element zu speichern."
"More permissions are needed to delete this item.","Sie haben keine ausreichenden Berechtigungen, um dieses Element zu löschen."
"Not allowed to edit the category's design attributes","Not allowed to edit the category's design attributes"
"At least one website or store group needs to be selected. Select and try again.","Mindestens eine Webseite oder Shop-Gruppe muss ausgewählt werden. Wählen Sie und versuchen Sie es erneut."
"More permissions are needed to set All Scopes to a Role.","Weitere Berechtigungen werden benötigt, um alle Bereiche auf eine Rolle zu setzen."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Die ""%1"" Website-ID ist nicht korrekt. Überprüfen Sie die Website-ID und wiederholen Sie den Vorgang."
"You need more permissions to access website ""%1"".","Sie benötigen weitere Berechtigungen, um auf die Website ""%1"" zugreifen zu können."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Die ""%1"" Store-ID ist nicht korrekt. Überprüfen Sie die Store-ID und versuchen Sie es erneut."
"More permissions are needed to save this setting.","Sie haben keine ausreichenden Berechtigungen, um dieses Element zu speichern."
"Role Scopes","Bereich der Rolle"
"Custom","Benutzerdefiniert"
