"All","Tümü"
"None","Hiçbiri"
"Allowed Scopes","İzin Verilen Kapsamlar"
"You need more permissions to delete this item(s): %1.","Bu öğe(ler)i silmek için daha fazla izine ihtiyacınız var: %1."
"You need more permissions to apply some of the rule updates.","Kural güncellemelerinden bazılarını uygulamak için daha fazla izine ihtiyacınız var."
"Please assign this entity to a store view.","Lütfen bu varlığı bir mağaza görünümüne atayın."
"You can create orders only in an active store.","Yalnızca etkin bir mağazada sipariş oluşturabilirsiniz."
"Please assign this item to a store view.","Lütfen bu öğeyi bir mağaza görünümüne atayın."
"You need more permissions to save this item.","Bu öğeyi kaydetmek için daha fazla izine ihtiyacınız var."
"You need more permissions to delete this item.","Bu öğeyi silebilmek için daha fazla izine ihtiyacınız var."
"You need more permissions to view this item.","Bu öğeyi görebilmek için daha fazla izine ihtiyacınız var."
"Please specify at least one website or one store group.","Lütfen en az bir websitesi veya bir mağaza grubu belirtin."
"You need more permissions to set All Scopes to a Role.","Tüm Kapasamları bir Role atayabilmek için daha fazla izine ihtiyacınız var."
"Incorrect website ID: %1","Hatalı websitesi kimliği: %1"
"You need more permissions to access website ""%1"".","""%1"" websitesine erişebilmek için daha fazla izine ihtiyacınız var."
"Incorrect store ID: %1","Hatalı mağaza kimliği: %1"
"You need more permissions to save this setting.","Bu ayarı kaydedebilmek için daha fazla izine ihtiyacınız var."
"Role Scopes","Rol Kapsamları"
"Custom","Özel"
"More permissions are needed to save this item.","Bu ürünü kaydetmek için daha fazla izne ihtiyacınız var."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
