"All","Tutti"
"None","Nessuno"
"Allowed Scopes","Ambiti consentiti"
"More permissions are needed to delete the ""%1"" item.","Sono necessari più permessi per eliminare l'elemento ""%1""."
"You need more permissions to apply some of the rule updates.","Non hai permessi sufficienti per applicare alcuni aggiornamenti alle regole."
"More permissions are needed to view this item.","Non hai i permessi necessari per visualizzare questo elemento."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Questa entità deve essere assegnata a una vista negozio. Verifica l'assegnazione dell'entità e riprova."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Questo elemento deve essere assegnato a una vista negozio.
                Si prega di selezionare un sito web per questo prodotto in ""Prodotto nei siti Web""."
"Orders can only be completed in an active store. Verify the store and try again.","Gli ordini possono essere completati solo in un negozio attivo. Verifica il negozio e riprova."
"This item needs to be assigned to a store view. Assign item and try again.","Questo elemento deve essere assegnato a una vista negozio. Assegna l'elemento e riprova."
"More permissions are needed to save this item.","Non hai i permessi necessari per salvare questo elemento."
"More permissions are needed to delete this item.","Sono necessari più permessi per eliminare questo elemento."
"Not allowed to edit the category's design attributes","Non è consentito modificare gli attributi di design della categoria"
"At least one website or store group needs to be selected. Select and try again.","È necessario selezionare almeno un sito web o un gruppo di negozi. Selezionare e riprovare."
"More permissions are needed to set All Scopes to a Role.","Sono necessari ulteriori permessi per impostare tutti gli ambiti in un ruolo."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","L'ID del sito Web ""%1"" non è corretto. Verificare l'ID del sito Web e riprovare."
"You need more permissions to access website ""%1"".","Non hai permessi sufficienti per accedere al sito web: ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","L'ID del negozio di ""%1"" non è corretto. Verificare l'ID del negozio e riprovare."
"More permissions are needed to save this setting.","Non hai i permessi necessari per salvare queste impostazioni."
"Role Scopes","Ambiti del ruolo"
"Custom","Personalizzato"
