"All","Todos"
"None","Nenhum"
"Allowed Scopes","Âmbitos permitidos"
"You need more permissions to delete this item(s): %1.","You need more permissions to delete this item(s): %1."
"You need more permissions to apply some of the rule updates.","Precisa de mais permissões para aplicar algumas das atualizações de regras."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","Precisa de mais permissões para aceder ao website ""%1""."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","Escopos da Função"
"Custom","Personalizado"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","São necessárias mais permissões para excluir o item ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Esta entidade precisa de ser atribuída a uma visão de loja. Verifique a atribuição da entidade e tente novamente."
"Orders can only be completed in an active store. Verify the store and try again.","Apenas poderá concluir encomendas numa loja ativa. Verifique se a loja está ativa e tente novamente."
"This item needs to be assigned to a store view. Assign item and try again.","Este item precisa ser atribuído a uma visão de loja. Atribuir o item e tente novamente."
"More permissions are needed to save this item.","São necessárias mais permissões para salvar este item."
"More permissions are needed to delete this item.","São necessárias mais permissões para excluir este item."
"More permissions are needed to view this item.","São necessárias mais permissões para visualizar este item."
"At least one website or store group needs to be selected. Select and try again.","Necessita selecionar pelo menos um site ou grupo de loja. Selecione e tente novamente."
"More permissions are needed to set All Scopes to a Role.","São necessárias mais permissões para definir todos os âmbitos a uma Regra."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","O ID do site ""%1"" está incorreto. Verifique se o ID do site e tente novamente."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","A identificação de loja ""%1"" está incorreta. Verifique se o ID da loja e tente novamente."
"More permissions are needed to save this setting.","Necessita de mais permissões poder salvar esta configuração."
