"All","সকল"
"None","কোনটাই না"
"Allowed Scopes","অনুমোদিত সুযোগগুলি"
"You need more permissions to delete this item(s): %1.","এটি(এগুলি) মুছতে আপনার আরও অনুমতি দরকার: %1."
"You need more permissions to apply some of the rule updates.","You need more permissions to apply some of the rule updates."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","ভুল website ID: %1"
"You need more permissions to access website ""%1"".","ওয়েবসাইটটিতে প্রবেশ করার জন্য আপনার আরও অনুমতি দরকার ""%1""."
"Incorrect store ID: %1","22/5000
ভুল স্টোর আইডি:%1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","Role Scopes"
"Custom","নিজের মতো করে"
"More permissions are needed to save this item.","More permissions are needed to save this item."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
