"All","Kaikki"
"None","Poista valinnat"
"Allowed Scopes","Sallitut kauppanäkymät"
"You need more permissions to delete this item(s): %1.","Tämän kohte(en/iden) poistaminen vaatii enemmän käyttöoikeuksia: %1."
"You need more permissions to apply some of the rule updates.","Joidenkin sääntöpäivitysten lisääminen vaatii enemmän käyttöoikeuksia."
"Please assign this entity to a store view.","Määritä tämä entiteetti kauppanäkymään."
"You can create orders only in an active store.","Voit luoda tilauksia vain aktiivisessa kaupassa."
"Please assign this item to a store view.","Määritä tämä nimike kauppanäkymään."
"You need more permissions to save this item.","Tämän kohteen tallentaminen vaatii enemmän käyttöoikeuksia."
"You need more permissions to delete this item.","Tämän kohteen poistaminen vaatii enemmän käyttöoikeuksia."
"You need more permissions to view this item.","Tämän kohteen tarkasteleminen vaatii enemmän käyttöoikeuksia."
"Please specify at least one website or one store group.","Määritä vähintään yksi sivusto tai yksi kaupparyhmä."
"You need more permissions to set All Scopes to a Role.","Tarvitset enemmän oikeuksia asettaaksesi kaikki toimintaoikeudet roolille."
"Incorrect website ID: %1","Virheellinen sivuston tunnus: %1"
"You need more permissions to access website ""%1"".","Lisää käyttöoikeuksia tarvitaan pääsemiseksi sivustolle ""%1""."
"Incorrect store ID: %1","Virheellinen kaupan tunnus: %1"
"You need more permissions to save this setting.","Tämän asetuksen tallentaminen vaatii laajemmat käyttöoikeudet."
"Role Scopes","Roolien toimintaoikeudet"
"Custom","Mukautettu"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Sinulla ei ole käyttöoikeuksia tämän tuotteen tallentamiseen nykyisessä kauppanäkymässä. Ole hyvä ja vaihda sallittuun kauppanäkymään"
"More permissions are needed to delete the ""%1"" item.","Lisää käyttöoikeuksia tarvitaan kohteen ”%1” poistamiseen."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Tämä kohde on varattava kauppa-näkymään. Tarkista kohteen määritys ja yritä uudelleen."
"Orders can only be completed in an active store. Verify the store and try again.","Tilauksia voidaan suorittaa vain aktiivisessa kaupassa. Tarkista kaupan voimassaolo ja yritä uudelleen."
"This item needs to be assigned to a store view. Assign item and try again.","Tämä kohde on määritettävä kauppa-näkymään. Määritä kohde ja yritä uudelleen."
"More permissions are needed to save this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen tallentamiseen."
"More permissions are needed to delete this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen poistamiseen."
"More permissions are needed to view this item.","Lisää käyttöoikeuksia tarvitaan tämän kohteen näyttämiseen."
"At least one website or store group needs to be selected. Select and try again.","Ainakin yksi verkkosivu- tai myymäläryhmä on valittava. Valitse ja yritä uudelleen."
"More permissions are needed to set All Scopes to a Role.","Kaikkien toimintaoikeuksien asettamiseen roolille tarvitaan lisää oikeuksia."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Sivuston ”%1” tunnus on virheellinen. Tarkista sivuston tunnus ja yritä uudelleen."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Myymälän ”%1” tunnus on virheellinen. Tarkista myymälän tunnus ja yritä uudelleen."
"More permissions are needed to save this setting.","Lisää käyttöoikeuksia tarvitaan tämän asetuksen tallentamiseen."
