"All","Всі"
"None","Жоден"
"Allowed Scopes","Дозволені межі"
"You need more permissions to delete this item(s): %1.","Вам потрібно більше дозволів для видалення таких елементів: %1."
"You need more permissions to apply some of the rule updates.","Вам потрібно більше дозволів щоб застосувати деякі оновлення правил."
"Please assign this entity to a store view.","Будь ласка, призначте цей об'єкт до виду крамниці."
"You can create orders only in an active store.","Ви можете створювати замовлення тільки в активній крамниці."
"Please assign this item to a store view.","Будь ласка, призначте цей елемент до виду крамниці."
"You need more permissions to save this item.","Вам потрібно більше дозволів для збереження цього елементу."
"You need more permissions to delete this item.","Вам потрібно більше дозволів для видалення цього елементу."
"You need more permissions to view this item.","Вам потрібно більше дозволів для перегляду цього елементу."
"Please specify at least one website or one store group.","Будь ласка, вкажіть принаймні один веб-сайт або одну групу крамниць."
"You need more permissions to set All Scopes to a Role.","Вам потрібно мати більше прав для встановлення усіх меж для ролі."
"Incorrect website ID: %1","Невірний ID веб-сайту: %1"
"You need more permissions to access website ""%1"".","Вам потрібно більше дозволів для доступу до веб-сайту ""%1""."
"Incorrect store ID: %1","Невірний ID крамниці: %1"
"You need more permissions to save this setting.","Вам потрібно більше дозволів щоб зберегти це налаштування."
"Role Scopes","Межі застосування ролі"
"Custom","Користувацький"
"More permissions are needed to save this item.","Додаткові дозволи необхідні для збереження цього елемента."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
