"All","سب"
"None","کوئی بھی نہیں"
"Allowed Scopes","اجازت سکوپس"
"You need more permissions to delete this item(s): %1.","اس شے کو ختم کرنے کے لئے آپ کو مزید اجازت کی ضرورت ہے: %1."
"You need more permissions to apply some of the rule updates.","رول کے کچھ اپ ڈیٹس کو لاگو کرنے کیلئے آپ کو مزید اجازت کی ضرورت ہے."
"Please assign this entity to a store view.","برائے مہربانی اس ادارے کو ایک اسٹور منظر میں تفویض کریں."
"You can create orders only in an active store.","آپ صرف ایک فعال اسٹور میں آرڈر بنا سکتے ہیں."
"Please assign this item to a store view.","اس آئٹم کو ایک اسٹور منظر میں تفویض کریں."
"You need more permissions to save this item.","آپ کو اس آئٹم کو بچانے کے لئے مزید اجازت کی ضرورت ہے."
"You need more permissions to delete this item.","آپ کو اس آئٹم کو ختم کرنے کے لئے مزید اجازت کی ضرورت ہے."
"You need more permissions to view this item.","آپ کو یہ آئٹم دیکھنے کے لئے مزید اجازت کی ضرورت ہے."
"Please specify at least one website or one store group.","براہ مہربانی کم از کم ایک ویب سائٹ یا ایک اسٹور گروپ کی وضاحت کریں."
"You need more permissions to set All Scopes to a Role.","آپ کو تمام سکوپس کو ایک رول میں سیٹ کرنے کے لئے مزید اجازت کی ضرورت ہے."
"Incorrect website ID: %1","ویب سائٹ ID غلط ہے: %1"
"You need more permissions to access website ""%1"".","آپ کو ویب سائٹ تک رسائی حاصل کرنے کے لئے مزید اجازت کی ضرورت ہے ""%1""."
"Incorrect store ID: %1","اسٹور ID غلط ہے:%1"
"You need more permissions to save this setting.","اس ترتیب کو بچانے کے لئے آپ کو مزید اجازت کی ضرورت ہے."
"Role Scopes","رول سکوپس"
"Custom","اپنی مرضی کے مطابق"
"More permissions are needed to save this item.","شے کو حذف کرنے کے لیے مزید اجازت کی ضرورت ہے."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
