"All","الكل"
"None","لا شئ"
"Allowed Scopes","النطاقات المسموح بها"
"You need more permissions to delete this item(s): %1.","تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر (عناصر): %1."
"You need more permissions to apply some of the rule updates.","تحتاج إلى مزيد من الصلاحيات لتطبيق بعض تحديثات القاعدة."
"Please assign this entity to a store view.","الرجاء ربط هذا الكيان بطريقة عرض متجر."
"You can create orders only in an active store.","يمكنك إنشاء طلبات فقط في المتجر النشط."
"Please assign this item to a store view.","الرجاء ربط هذا العنصر إلى طريقة عرض متجر."
"You need more permissions to save this item.","تحتاج إلى مزيد من الصلاحيات لحفظ هذا العنصر."
"You need more permissions to delete this item.","تحتاج إلى مزيد من الصلاحيات لحذف هذا العنصر."
"You need more permissions to view this item.","تحتاج إلى مزيد من الصلاحيات لعرض هذا العنصر."
"Please specify at least one website or one store group.","الرجاء تحديد موقع واحد على الأقل أو مجموعة متاجر واحدة."
"You need more permissions to set All Scopes to a Role.","تحتاج لسماحية اكثر لتعيين كافة النطاقات الى واحد من الادوار."
"Incorrect website ID: %1","معرف الموقع غير صحيح: %1"
"You need more permissions to access website ""%1"".","تحتاج لمزيد من الصلاحيات للوصول إلى الموقع ""%1""."
"Incorrect store ID: %1","معرف المتجر غير صحيح: %1"
"You need more permissions to save this setting.","تحتاج إلى مزيد من الصلاحيات لحفظ هذا الإعداد."
"Role Scopes","نطاقات الدور"
"Custom","مخصص"
"More permissions are needed to save this item.","يلزم مزيد من الصلاحيات لحفظ هذا العنصر."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
