"All","Alle"
"None","Keine"
"Allowed Scopes","Zulässige Bereiche"
"You need more permissions to delete this item(s): %1.","Sie benötigen weitere Berechtigungen, um diese(s) Element(e) zu löschen: %1."
"You need more permissions to apply some of the rule updates.","Sie benötigen weitere Berechtigungen, um diese Regel-Änderungen anzuwenden."
"Please assign this entity to a store view.","Bitte weisen Sie diesen Eintrag einem Store View zu."
"You can create orders only in an active store.","Sie können Bestellungen ausschließlich in einem aktiven Store anlegen."
"Please assign this item to a store view.","Bitte weisen Sie diesen Eintrag einem Store View zu."
"You need more permissions to save this item.","Sie benötigen weitere Berechtigungen, um dieses Element zu speichern."
"You need more permissions to delete this item.","Sie benötigen weitere Berechtigungen, um dieses Element zu löschen."
"You need more permissions to view this item.","Sie benötigen weitere Berechtigungen, um dieses Element anzuzeigen."
"Please specify at least one website or one store group.","Bitte geben Sie mindestens eine Website oder Store-Group an."
"You need more permissions to set All Scopes to a Role.","Sie benötigen weitere Berechtigungen, um alle Bereiche einer Rolle zuzuweisen."
"Incorrect website ID: %1","Falsche Website-ID: %1"
"You need more permissions to access website ""%1"".","Sie benötigen weitere Berechtigungen, um auf die Website ""%1"" zugreifen zu können."
"Incorrect store ID: %1","Ungültige Store-ID: %1"
"You need more permissions to save this setting.","Sie benötigen weitere Berechtigungen, um diese Einstellung zu speichern."
"Role Scopes","Bereich der Rolle"
"Custom","Benutzerdefiniert"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Sie haben nicht die Berechtigung diese Position im aktuellen Store-View zu speichern. Bitte wechseln Sie zum erlaubten Store-View"
"More permissions are needed to delete the ""%1"" item.","Weitere Berechtigungen sind erforderlich, um das Element ""%1"" zu löschen."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Die Entität muss einer Store View zugeordnet werden. Überprüfen Sie die Zuordnung und versuchen Sie es erneut."
"Orders can only be completed in an active store. Verify the store and try again.","Bestellungen können nur in einem aktiven Shop abgeschlossen werden. Überprüfen Sie den Shop und versuchen Sie es erneut."
"This item needs to be assigned to a store view. Assign item and try again.","Dieses Element muss ein Shop-Ansicht zugeordnet werden. Weisen Sie den Artikel zu und versuchen Sie es erneut."
"More permissions are needed to save this item.","Weitere Berechtigungen sind erforderlich, um dieses Element zu speichern."
"More permissions are needed to delete this item.","Weitere Berechtigungen sind erforderlich, um dieses Element zu löschen."
"More permissions are needed to view this item.","Weitere Berechtigungen sind erforderlich, um dieses Element anzuzeigen."
"At least one website or store group needs to be selected. Select and try again.","Mindestens eine Webseite oder Shop-Gruppe muss ausgewählt werden. Wählen Sie und versuchen Sie es erneut."
"More permissions are needed to set All Scopes to a Role.","Weitere Berechtigungen sind erforderlich um alle Bereiche auf eine Rolle festzulegen."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Die ""%1"" Website-ID ist nicht korrekt. Überprüfen Sie die Website-ID und wiederholen Sie den Vorgang."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Die ""%1"" Store-ID ist nicht korrekt. Überprüfen Sie die Store-ID und versuchen Sie es erneut."
"More permissions are needed to save this setting.","Weitere Berechtigungen sind erforderlich, um diese Einstellung zu speichern."
