"All","සියලුම"
"None","කිසිවක් නැත"
"Allowed Scopes","අවසර ලත් විෂය පථයන්"
"You need more permissions to delete this item(s): %1.","You need more permissions to delete this item(s): %1."
"You need more permissions to apply some of the rule updates.","රීති යාවත්කාලීන සමහරක් යෙදීමට ඔබට තවත් අවසර අවශ්‍ය වේ."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","""%1"" වෙබ් අඩවියට පිවිසීමට ඔබට තවත් අවසර අවශ්‍ය වේ."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","භූමිකාව විෂය පථයන්"
"Custom","අභිරුචි"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","""%1"" අයිතමය මැකීමට තවත් අවසර අවශ්‍ය වේ."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","මෙම ආයතනය ගබඩා දසුනකට පැවරිය යුතුය. ආයතන පැවරුම තහවුරු කර නැවත උත්සාහ කරන්න."
"Orders can only be completed in an active store. Verify the store and try again.","ඇනවුම් සම්පූර්ණ කළ හැක්කේ සක්‍රිය ගබඩාවක පමණි. ගබඩාව තහවුරු කර නැවත උත්සාහ කරන්න."
"This item needs to be assigned to a store view. Assign item and try again.","මෙම අයිතමය ගබඩා දසුනකට පැවරිය යුතුය. අයිතමය පවරා නැවත උත්සාහ කරන්න."
"More permissions are needed to save this item.","මෙම අයිතමය සුරැකීමට තවත් අවසර අවශ්‍ය වේ."
"More permissions are needed to delete this item.","මෙම අයිතමය මැකීමට තවත් අවසර අවශ්‍ය වේ."
"More permissions are needed to view this item.","මෙම අයිතමය බැලීමට තවත් අවසර අවශ්‍ය වේ."
"At least one website or store group needs to be selected. Select and try again.","අවම වශයෙන් එක් වෙබ් අඩවියක් හෝ ගබඩා කණ්ඩායමක් තෝරා ගැනීමට අවශ්‍ය වේ. තෝරා නැවත උත්සාහ කරන්න."
"More permissions are needed to set All Scopes to a Role.","සියලුම විෂය පථයන් භූමිකාවකට සැකසීමට තවත් අවසර අවශ්‍ය වේ."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" වෙබ් අඩවියේ ID වැරදියි. වෙබ් අඩවි හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ගබඩා හැඳුනුම්පත වැරදියි. ගබඩා හැඳුනුම්පත තහවුරු කර නැවත උත්සාහ කරන්න."
"More permissions are needed to save this setting.","මෙම සැකසීම සුරැකීමට තවත් අවසර අවශ්‍ය වේ."
