"Invitations","ಆಹ್ವಾನಗಳು"
"Add Invitations","ಆಹ್ವಾನಗಳನ್ನು ಸೇರಿಸಿ"
"New Invitations","ಹೊಸ ಆಹ್ವಾನಗಳು"
"Invitations Information","ಆಹ್ವಾನಗಳ ಮಾಹಿತಿ"
"Enter Each Email on New Line","Enter Each Email on New Line"
"Message","ಸಂದೇಶ"
"Send From","Send From"
"Invitee Group","ಆಹ್ವಾನಿತರ ಗುಂಪು"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Save","ಉಳಿಸಿ"
"View Invitation for %1 (ID: %2)","View Invitation for %1 (ID: %2)"
"Back","ಹಿಂದೆ"
"Discard Invitation","ಆಹ್ವಾನವನ್ನು ವಿಸರ್ಜಿಸಿ"
"Are you sure you want to discard this invitation?","ಈ ಆಹ್ವಾನವನ್ನು ವಿಸರ್ಜಿಸಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Save Invitation","ಆಹ್ವಾನವನ್ನು ಉಳಿಸಿ"
"Send Invitation","ಆಹ್ವಾನವನ್ನು ಕಳಿಸಿ"
"General","ಸಾಮಾನ್ಯ"
"Default from System Configuration","Default from System Configuration"
"N/A","N/A"
"Status History","ಸ್ಥಿತಿ ಇತಿಹಾಸ"
"Customers","ಗ್ರಾಹಕರು"
"Order Conversion Rate","Order Conversion Rate"
"We can't find this invitation.","We can't find this invitation."
"Please select invitations.","ದಯವಿಟ್ಟು ಆಹ್ವಾನಗಳನ್ನು ಆರಿಸಿ."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Something went wrong while sending invitations.","Something went wrong while sending invitations."
"No invitations have been resent.","No invitations have been resent."
"You sent %1 of %2 invitation(s).","You sent %1 of %2 invitation(s)."
"Something went wrong while sending %1 invitations.","Something went wrong while sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","We sent %1 invitation(s)."
"Something went wrong while sending %1 of %2 invitations.","Something went wrong while sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for these email addresses."
"The invitation has been saved.","The invitation has been saved."
"Reports","ವರದಿಗಳು"
"Invitation Report by Customers","Invitation Report by Customers"
"Invited Customers Report","Invited Customers Report"
"General Report","ಸಾಮಾನ್ಯ ವರದಿ"
"Invitations Report","ಆಹ್ವಾನಗಳ ವರದಿ"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Conversion Rate Report","Conversion Rate Report"
"The wrong customer account is specified.","The wrong customer account is specified."
"Please enter a correct confirmation key.","Please enter a correct confirmation key."
"Bad request.","ಕೆಟ್ಟ ವಿನಂತಿ."
"Your invitation is not valid. Please create an account.","Your invitation is not valid. Please create an account."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"We can't save this customer.","We can't save this customer."
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"My Invitations","ನನ್ನ ಆಹ್ವಾನಗಳು"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong while sending an email to %1.","Something went wrong while sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Send Invitations"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","Same as Inviter"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"By Invitation Only","ಆಹ್ವಾನದ ಮೂಲಕ ಮಾತ್ರ"
